identifier1	identifier2	annotator	judgment	comment	lemma
отрывок-0	отрывок-1	annotator1	4		отрывок
отрывок-0	отрывок-1	annotator2	4		отрывок
отрывок-0	отрывок-1	annotator3	3		отрывок
отрывок-0	отрывок-1	annotator4	4		отрывок
отрывок-0	отрывок-1	annotator5	4		отрывок
отрывок-2	отрывок-3	annotator1	4		отрывок
отрывок-2	отрывок-3	annotator2	4		отрывок
отрывок-2	отрывок-3	annotator3	4		отрывок
отрывок-2	отрывок-3	annotator4	2		отрывок
отрывок-2	отрывок-3	annotator5	3		отрывок
отрывок-4	отрывок-5	annotator1	4		отрывок
отрывок-4	отрывок-5	annotator2	4		отрывок
отрывок-4	отрывок-5	annotator3	4		отрывок
отрывок-4	отрывок-5	annotator4	4		отрывок
отрывок-4	отрывок-5	annotator5	4		отрывок
отрывок-6	отрывок-7	annotator1	2		отрывок
отрывок-6	отрывок-7	annotator2	1		отрывок
отрывок-6	отрывок-7	annotator3	2		отрывок
отрывок-6	отрывок-7	annotator4	4		отрывок
отрывок-6	отрывок-7	annotator5	1		отрывок
отрывок-8	отрывок-9	annotator1	4		отрывок
отрывок-8	отрывок-9	annotator2	4		отрывок
отрывок-8	отрывок-9	annotator3	4		отрывок
отрывок-8	отрывок-9	annotator4	1		отрывок
отрывок-8	отрывок-9	annotator5	2		отрывок
отрывок-10	отрывок-11	annotator1	4		отрывок
отрывок-10	отрывок-11	annotator2	3		отрывок
отрывок-10	отрывок-11	annotator3	3		отрывок
отрывок-10	отрывок-11	annotator4	3		отрывок
отрывок-10	отрывок-11	annotator5	4		отрывок
отрывок-12	отрывок-13	annotator1	4		отрывок
отрывок-12	отрывок-13	annotator2	4		отрывок
отрывок-12	отрывок-13	annotator3	3		отрывок
отрывок-12	отрывок-13	annotator4	4		отрывок
отрывок-12	отрывок-13	annotator5	4		отрывок
отрывок-14	отрывок-15	annotator1	4		отрывок
отрывок-14	отрывок-15	annotator2	4		отрывок
отрывок-14	отрывок-15	annotator3	3		отрывок
отрывок-14	отрывок-15	annotator4	4		отрывок
отрывок-14	отрывок-15	annotator5	1		отрывок
отрывок-16	отрывок-17	annotator1	4		отрывок
отрывок-16	отрывок-17	annotator2	4		отрывок
отрывок-16	отрывок-17	annotator3	4		отрывок
отрывок-16	отрывок-17	annotator4	4		отрывок
отрывок-16	отрывок-17	annotator5	4		отрывок
отрывок-18	отрывок-19	annotator1	4		отрывок
отрывок-18	отрывок-19	annotator2	3		отрывок
