lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
отрывок	NOUN	1682-1916	1	отрывок-0		-- Я вот вам прочту несколько отрывков, -- сказал ему редактор, -- а вы послушайте и скажите мне, откуда это.	30:38	0:109
отрывок	NOUN	1682-1916	1	отрывок-1		Глаза и тем, и другим открыл, по словам Рода, парижский корреспондент "Всемирной библиотеки", издававшейся в Швейцарии: В статье корреспондента приводились, между прочим, отрывки из критических заметок Золя, а потому понятен скандал, который произвела корреспонденция в парижских литературных кругах.	171:178	0:300
отрывок	NOUN	1918-1990	2	отрывок-2		.." А Ю. Катин-Ярцев, в роли которого были эти слова, умел произнести их так, что вся сцена становилась возвышенной, а его текст звучал, как отрывок из японской поэзии.	141:148	0:168
отрывок	NOUN	1918-1990	2	отрывок-3		Это -- только маленькие отрывки из перечня дел Вишневского, отраженные в его письмах.	24:31	0:85
отрывок	NOUN	1682-1916	1	отрывок-4		Отрывок "Ленин" может служить отличной иллюстрацией этих известных стихов.	0:7	0:74
отрывок	NOUN	1918-1990	2	отрывок-5		Репертуар был для своего времени довольно прогрессивный: не только "коцебятина", но и отрывки из "Разбойников" Шиллера.	86:93	0:119
отрывок	NOUN	1682-1916	1	отрывок-6		Gnadige Frau, заправлявшая по просьбе Егора Егорыча всем хозяйством, почти прибежала в залу послушать игру Музы и после нескольких отрывков, сыгранных юною музыкантшей, пришла в восторг.	19:20	0:186
отрывок	NOUN	1682-1916	1	отрывок-7		Наконец, сербы княжества не могут и народом назваться: это лишь отрывок народа, не имеющий органического значения.	64:71	0:114
отрывок	NOUN	1682-1916	1	отрывок-8		Без всякой руководящей линии, с возмутительным подбором и расположением материала, с заголовками, ни на йоту не соответствующими тому, что находится под ними, с самыми удивительными сообщениями; это была не газета, а какой-то калейдоскоп механически втиснутых в полосы отрывков.	269:277	0:278
отрывок	NOUN	1918-1990	2	отрывок-9		Павлова и Кякшт вызвали восторг своими танцами, а Яворская декламацией отрывков из русских авторов.	71:79	0:99
отрывок	NOUN	1682-1916	1	отрывок-10		Буду писать кусками, отрывками.	21:30	0:31
отрывок	NOUN	1918-1990	2	отрывок-11		Вот несколько отрывков из журнала, веденного надзирателями Нежинского гимназического пансиона: .	14:22	0:96
отрывок	NOUN	1682-1916	1	отрывок-12		В архиве ЦГАОР есть копия устава; это любопытное сочинение, стоит привести из него отрывки: "Общие указания.	83:90	0:108
