identifier1	identifier2	annotator	judgment	comment	lemma
пакет-0	пакет-1	annotator1	1		пакет
пакет-0	пакет-1	annotator2	1		пакет
пакет-0	пакет-1	annotator3	4		пакет
пакет-0	пакет-1	annotator4	1		пакет
пакет-0	пакет-1	annotator5	1		пакет
пакет-2	пакет-3	annotator1	1		пакет
пакет-2	пакет-3	annotator2	1		пакет
пакет-2	пакет-3	annotator3	1		пакет
пакет-2	пакет-3	annotator4	1		пакет
пакет-2	пакет-3	annotator5	1		пакет
пакет-4	пакет-5	annotator1	4		пакет
пакет-4	пакет-5	annotator2	3		пакет
пакет-4	пакет-5	annotator3	1		пакет
пакет-4	пакет-5	annotator4	4		пакет
пакет-4	пакет-5	annotator5	2		пакет
пакет-6	пакет-7	annotator1	2		пакет
пакет-6	пакет-7	annotator2	1		пакет
пакет-6	пакет-7	annotator3	1		пакет
пакет-6	пакет-7	annotator4	1		пакет
пакет-6	пакет-7	annotator5	1		пакет
пакет-8	пакет-9	annotator1	4		пакет
пакет-8	пакет-9	annotator2	4		пакет
пакет-8	пакет-9	annotator3	4		пакет
пакет-8	пакет-9	annotator4	4		пакет
пакет-8	пакет-9	annotator5	1		пакет
пакет-10	пакет-11	annotator1	4		пакет
пакет-10	пакет-11	annotator2	4		пакет
пакет-10	пакет-11	annotator3	4		пакет
пакет-10	пакет-11	annotator4	4		пакет
пакет-10	пакет-11	annotator5	4		пакет
пакет-12	пакет-13	annotator1	1		пакет
пакет-12	пакет-13	annotator2	1		пакет
пакет-12	пакет-13	annotator3	1		пакет
пакет-12	пакет-13	annotator4	1		пакет
пакет-12	пакет-13	annotator5	1		пакет
пакет-14	пакет-15	annotator1	1		пакет
пакет-14	пакет-15	annotator2	1		пакет
пакет-14	пакет-15	annotator3	1		пакет
пакет-14	пакет-15	annotator4	1		пакет
пакет-14	пакет-15	annotator5	2		пакет
пакет-16	пакет-17	annotator1	1		пакет
пакет-16	пакет-17	annotator2	4		пакет
пакет-16	пакет-17	annotator3	1		пакет
пакет-16	пакет-17	annotator4	2		пакет
пакет-16	пакет-17	annotator5	4		пакет
пакет-18	пакет-19	annotator1	1		пакет
пакет-18	пакет-19	annotator2	1		пакет
пакет-18	пакет-19	annotator3	2		пакет
пакет-18	пакет-19	annotator4	1		пакет
пакет-18	пакет-19	annotator5	1		пакет
пакет-20	пакет-21	annotator1	4		пакет
пакет-20	пакет-21	annotator2	4		пакет
пакет-20	пакет-21	annotator3	4		пакет
пакет-20	пакет-21	annotator4	4		пакет
пакет-20	пакет-21	annotator5	4		пакет
пакет-22	пакет-23	annotator1	1		пакет
пакет-22	пакет-23	annotator2	1		пакет
пакет-22	пакет-23	annotator3	1		пакет
пакет-22	пакет-23	annotator4	1		пакет
пакет-22	пакет-23	annotator5	1		пакет
пакет-24	пакет-25	annotator1	1		пакет
пакет-24	пакет-25	annotator2	1		пакет
пакет-24	пакет-25	annotator3	1		пакет
пакет-24	пакет-25	annotator4	2		пакет
пакет-24	пакет-25	annotator5	1		пакет
пакет-26	пакет-27	annotator1	1		пакет
пакет-26	пакет-27	annotator2	2		пакет
пакет-26	пакет-27	annotator3	1		пакет
пакет-26	пакет-27	annotator4	1		пакет
пакет-26	пакет-27	annotator5	4		пакет
пакет-28	пакет-29	annotator1	4		пакет
пакет-28	пакет-29	annotator2	4		пакет
пакет-28	пакет-29	annotator3	4		пакет
пакет-28	пакет-29	annotator4	4		пакет
пакет-28	пакет-29	annotator5	1		пакет
пакет-30	пакет-31	annotator1	4		пакет
пакет-30	пакет-31	annotator2	3		пакет
пакет-30	пакет-31	annotator3	4		пакет
пакет-30	пакет-31	annotator4	4		пакет
пакет-30	пакет-31	annotator5	4		пакет
пакет-32	пакет-33	annotator1	4		пакет
пакет-32	пакет-33	annotator2	4		пакет
пакет-32	пакет-33	annotator3	4		пакет
пакет-32	пакет-33	annotator4	4		пакет
пакет-32	пакет-33	annotator5	4		пакет
