lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
палата	NOUN	1682-1916	1	палата-0		-- Князь ваш Ярополк остался гостить у Князя в палате, а вас ласковый наш Князь указал честить и кормить в палате Боярской!	47:53	0:123
палата	NOUN	1682-1916	1	палата-1		Не диво, что мы сами скоро пригляделись, как вдруг бледнел товарищ, когда его выкликали по имени; как матери, сестры, отцы и братья становились на колени, пока вели его в палату, и молились господу, чтобы он помиловал их; как старуха мать падала потом без памяти, когда раздавалось в палате: "Лоб!" и это страшное слово переходило из уст в уста по лестнице и передавалось в народ; и как потом начинался вой и плач, когда нового рекрута выводили с забритым лбом, накинув на него солдатскую шинель; и дюжина рук хваталась за него, как за мертвого, и дюжина голосов высчитывала свои прошлые радости и свое прежнее счастье...	171:177	0:621
палата	NOUN	1682-1916	1	палата-2		-- Не так, не так... -- ворчит Никодим Петрович, сидя на своей койке, тоже завернутый в одеяло -- в палате прохладно, а халатов нет.	100:106	0:132
палата	NOUN	1918-1990	2	палата-3		Кто может, кроме вас, обличить изверга -- по званию и месту, стоящего выше закона, -- изверга вроде нашего председателя (казенной, уголовной, удельной палаты.	151:157	0:158
палата	NOUN	1682-1916	1	палата-4		-- Согласны, согласны! -- раздалось в собрании. -- сказал царь, встал и вышел из палаты с сыном своим.	81:87	0:102
палата	NOUN	1682-1916	1	палата-5		-- Так вы и в палате депутатов побывали -- любопытствует Павел Матвеич.	14:20	0:71
палата	NOUN	1918-1990	2	палата-6		Палатой снова проходил стольник, царь приказал ему: -- Боярин Никита, не вели нынче рындам приходить.	0:7	0:101
палата	NOUN	1918-1990	2	палата-7		Я ничего не мог понять в чудовищной тарабарщине, которую он выпаливал, пользуясь тем что мы в палате одни.	94:100	0:106
палата	NOUN	1918-1990	2	палата-8		А в первой палате были всякие пьяницы, шумницы, и они пили со смехом и хохотаньем, им было все равно.	11:17	0:101
палата	NOUN	1918-1990	2	палата-9		В разумно обставленной палате сидел пополневший, розовый, отлично выбритый и совершенно сумасшедший Александр Яковлевич, в резиновых туфлях, и непромокаемом плаще с куколем.	23:29	0:173
палата	NOUN	1682-1916	1	палата-10		Андрей поднялся и пошел из палаты, сгорбившись.	27:33	0:47
палата	NOUN	1918-1990	2	палата-11		О нем знали, что в Харькове он искал популярности в интеллигентных кружках до университета включительно, знали, что он был руководим и вдохновляем весьма известным по своему либерализму прокурором судебной палаты; знали про его злосчастный прием харьковского дворянства, которое к нему, в день выборов, явилось с губернским предводителем дворянства во главе, в мундирах и к которому граф Лорис-Меликов вышел в халате, с длинною трубкою в руках; знали, наконец, что он ни одной энергичной меры не принял, и, зная все это, что могли мы предвидеть нового от появления его уже на самой вершине управления, с полномочиями всероссийского диктатора.	206:212	0:642
палата	NOUN	1918-1990	2	палата-12		Бояре и окольничие сидят -- думают в шутовской палате, принимают послов, приговаривают прешпургские указы, горя со стыда.	47:53	0:121
палата	NOUN	1918-1990	2	палата-13		Она упала прямо в коридоре, неподалеку от поста, уронив бутылку с микстурой Бурже -- несла кому-то в палату, и уже ничего не видела, не чувствовала, не слышала, как закричала Алевтина, как бросилась к ней Клавдия Петровна и как ее перенесли в палату, положили на кровать.	101:107	0:271
палата	NOUN	1682-1916	1	палата-14		В палате открыли окна и двери, не только для свежего воздуха -- день был знойный, предгрозный, -- но и для того, чтобы суд имел вид всенародный.	2:8	0:144
палата	NOUN	1682-1916	1	палата-15		За этими стенами находились, кроме обширных построенных итальянским зодчим каменных палат государя, палаты митрополита Даниила, дома князей и вельмож, хотя и деревянные по большей части, но просторные и затейливые, с резными украшениями и пестрой раскраской.	84:89	0:258
палата	NOUN	1682-1916	1	палата-16		В палате узнали про это и стали смеяться надо мной.	2:8	0:51
палата	NOUN	1682-1916	1	палата-17		Получивший увольнительное свидетельство обязан приписаться к тому сельскому или городскому обществу, от которого он получил приемный приговор, и представить в Казенную палату просьбу о приписке установленным в ст.147-й порядке не позже как в шестимесячный срок со дня получения увольнительного свидетельства. 140.	168:174	0:313
палата	NOUN	1682-1916	1	палата-18		В палату быстро вошли Софья, Василий Васильевич Голицын и Хованский.	2:8	0:68
палата	NOUN	1918-1990	2	палата-19		Купленное мною место от Фридрихсовой вдовы я отдаю на всегда Елисавете Васильевне в придачу к тому, которое она имеет рядом от казенной палаты из платежа поземельных денег.	136:142	0:172
палата	NOUN	1918-1990	2	палата-20		В каждой музейной палате сидело по иноку-сторожу, музейные работники вполне могли на них положиться.	18:24	0:100
палата	NOUN	1918-1990	2	палата-21		Кинув бараньи шапки на лавки, не доходя царской приемной, бороздя атаманскими и есаульскими посохами по полу, кланяясь царю ниже пояса, вошли в палату казаки: седой и бритый с усами вниз, с серебряной серьгой в ухе атаман Корней Яковлев, в бархатном красном жупане с кованым кружевом по подолу, длинном до пят, и под жупаном в голубом запоясанном кафтане; с ним рядом, худощавый, бородатый и костистый, в таком же наряде, Михаил Самаренин и так же точно одетый, с хитрыми глазами, полуседой и рыжеватый Логин Семенов.	144:150	0:517
палата	NOUN	1682-1916	1	палата-22		Все же другой член оппозиции граф Розбери задал вопрос: не обманул ли благородный лорд эту палату и эту страну, назвав совершенно недостоверным и не заслуживающим доверия палаты одно сообщение, появившееся в одной газете Маркиз Солсбери так же невозмутимо произнес в ответ нечто совершенно печати же кто-то добавил морально-политический комментарий: если бы маркиз Солсбери, в ответ на вопрос графа Грея, подтвердил появившееся в газете "Глоб" сообщение об англо-русском соглашении, то его голову надо было бы сначала увенчать венком за верность правде, а затем отрубить за измену государству.	91:97	0:593
палата	NOUN	1918-1990	2	палата-23		Да казали нам казенные палаты, палата с сосудами одно -- золотыми и с вещами драгими, кресла княжие с каменьем драгим и с жемчугом большим, жемчуг иной в орех есть..."	23:29	0:167
