identifier1	identifier2	annotator	judgment	comment	lemma
переулок-0	переулок-1	annotator1	4		переулок
переулок-0	переулок-1	annotator2	2		переулок
переулок-0	переулок-1	annotator3	4		переулок
переулок-0	переулок-1	annotator4	3		переулок
переулок-0	переулок-1	annotator5	4		переулок
переулок-2	переулок-3	annotator1	4		переулок
переулок-2	переулок-3	annotator2	4		переулок
переулок-2	переулок-3	annotator3	4		переулок
переулок-2	переулок-3	annotator4	4		переулок
переулок-2	переулок-3	annotator5	4		переулок
переулок-4	переулок-5	annotator1	4		переулок
переулок-4	переулок-5	annotator2	4		переулок
переулок-4	переулок-5	annotator3	4		переулок
переулок-4	переулок-5	annotator4	4		переулок
переулок-4	переулок-5	annotator5	4		переулок
переулок-6	переулок-7	annotator1	4		переулок
переулок-6	переулок-7	annotator2	2		переулок
переулок-6	переулок-7	annotator3	1		переулок
переулок-6	переулок-7	annotator4	1		переулок
переулок-6	переулок-7	annotator5	4		переулок
переулок-8	переулок-9	annotator1	4		переулок
переулок-8	переулок-9	annotator2	4		переулок
переулок-8	переулок-9	annotator3	4		переулок
переулок-8	переулок-9	annotator4	4		переулок
переулок-8	переулок-9	annotator5	4		переулок
переулок-10	переулок-11	annotator1	4		переулок
переулок-10	переулок-11	annotator2	4		переулок
переулок-10	переулок-11	annotator3	4		переулок
переулок-10	переулок-11	annotator4	4		переулок
переулок-10	переулок-11	annotator5	4		переулок
переулок-12	переулок-13	annotator1	3		переулок
переулок-12	переулок-13	annotator2	2		переулок
переулок-12	переулок-13	annotator3	4		переулок
переулок-12	переулок-13	annotator4	2		переулок
переулок-12	переулок-13	annotator5	2		переулок
переулок-14	переулок-15	annotator1	4		переулок
переулок-14	переулок-15	annotator2	4		переулок
переулок-14	переулок-15	annotator3	3		переулок
переулок-14	переулок-15	annotator4	4		переулок
переулок-14	переулок-15	annotator5	4		переулок
переулок-16	переулок-17	annotator1	4		переулок
переулок-16	переулок-17	annotator2	4		переулок
переулок-16	переулок-17	annotator3	3		переулок
переулок-16	переулок-17	annotator4	4		переулок
переулок-16	переулок-17	annotator5	4		переулок
переулок-18	переулок-19	annotator1	4		переулок
переулок-18	переулок-19	annotator2	4		переулок
переулок-18	переулок-19	annotator3	4		переулок
переулок-18	переулок-19	annotator4	4		переулок
переулок-18	переулок-19	annotator5	4		переулок
переулок-20	переулок-21	annotator1	4		переулок
переулок-20	переулок-21	annotator2	3		переулок
переулок-20	переулок-21	annotator3	2		переулок
переулок-20	переулок-21	annotator4	4		переулок
переулок-20	переулок-21	annotator5	4		переулок
переулок-22	переулок-23	annotator1	3		переулок
переулок-22	переулок-23	annotator2	4		переулок
переулок-22	переулок-23	annotator3	4		переулок
переулок-22	переулок-23	annotator4	1		переулок
переулок-22	переулок-23	annotator5	3		переулок
переулок-24	переулок-25	annotator1	3		переулок
переулок-24	переулок-25	annotator2	4		переулок
переулок-24	переулок-25	annotator3	4		переулок
переулок-24	переулок-25	annotator4	4		переулок
переулок-24	переулок-25	annotator5	4		переулок
переулок-26	переулок-27	annotator1	4		переулок
переулок-26	переулок-27	annotator2	4		переулок
переулок-26	переулок-27	annotator3	4		переулок
переулок-26	переулок-27	annotator4	4		переулок
переулок-26	переулок-27	annotator5	3		переулок
переулок-28	переулок-29	annotator1	3		переулок
переулок-28	переулок-29	annotator2	3		переулок
переулок-28	переулок-29	annotator3	4		переулок
переулок-28	переулок-29	annotator4	4		переулок
переулок-28	переулок-29	annotator5	4		переулок
переулок-30	переулок-31	annotator1	4		переулок
переулок-30	переулок-31	annotator2	4		переулок
переулок-30	переулок-31	annotator3	4		переулок
переулок-30	переулок-31	annotator4	2		переулок
переулок-30	переулок-31	annotator5	3		переулок
переулок-32	переулок-33	annotator1	4		переулок
переулок-32	переулок-33	annotator2	4		переулок
переулок-32	переулок-33	annotator3	4		переулок
переулок-32	переулок-33	annotator4	3		переулок
переулок-32	переулок-33	annotator5	4		переулок
переулок-34	переулок-35	annotator1	4		переулок
переулок-34	переулок-35	annotator2	4		переулок
переулок-34	переулок-35	annotator3	4		переулок
переулок-34	переулок-35	annotator4	4		переулок
переулок-34	переулок-35	annotator5	4		переулок
переулок-36	переулок-37	annotator1	2		переулок
переулок-36	переулок-37	annotator2	3		переулок
переулок-36	переулок-37	annotator3	3		переулок
переулок-36	переулок-37	annotator4	4		переулок
переулок-36	переулок-37	annotator5	4		переулок
переулок-38	переулок-39	annotator1	4		переулок
переулок-38	переулок-39	annotator2	4		переулок
