lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
переулок	NOUN	1918-1990	2	переулок-0		-- В гости не зову пока, Гела... вот на новую квартеру переберусь, тогда и съедемся, -- говорил Заварихин, и тут за разговором оказалось, что они почти достигли того самого переулка, откуда началось их нынешнее свадебное путешествие.	173:181	0:233
переулок	NOUN	1918-1990	2	переулок-1		("В десять минут добегу по Моховой и Волхонке до Пречистенских ворот, а там пять минут переулками до Молчановки, только и всего.	87:97	0:128
переулок	NOUN	1682-1916	1	переулок-2		-- Нам должно идти вот этим переулком.	28:37	0:38
переулок	NOUN	1682-1916	1	переулок-3		На площади против дворца -- другая картина: под небом почти черным, темная вода вертелась как в огромном водовороте; по воздуху, высоко и быстро крутясь, носились широкие листы железа, сорванные с крыши нового строения Главного штаба; буря играла ими как пухом; два длинные деревянные тротуара, поперек между заборов недоконченного здания, сделали плотину, на которую волны упирали с ревом, и достигнув высоты ее, полились в Малую Миллионную; в Большую Миллионную, через узкий переулок, выходящий на Неву, вдвинуло водой огромную барку, перегородившую улицу.	477:485	0:558
переулок	NOUN	1918-1990	2	переулок-4		А потом я остался один в переулке.	25:33	0:34
переулок	NOUN	1918-1990	2	переулок-5		Народный артист Качалов идет вечером по Камергерскому переулку в театр играть "Воскресение".	54:62	0:92
переулок	NOUN	1682-1916	1	переулок-6		А утром снова отплыл с удочками в какой-то кривоколенный озерной переулок.	65:73	0:74
переулок	NOUN	1918-1990	2	переулок-7		Вот мы проехали Загородный проспект, вот въехали на Измайловский, вот в переулке ее дом, и на ее окне направо выставлен знак безопасности -- подсвечник, -- снимавшийся на ночь.	72:80	0:176
переулок	NOUN	1682-1916	1	переулок-8		Безайс свернул в переулок, но там стоял целый обоз.	17:25	0:51
переулок	NOUN	1918-1990	2	переулок-9		Страшное дело кровавой красавицы Коротенький Гусев переулок, соединяющий Лиговку со Знаменской улицей, в то время не был еще застроен пятиэтажными домами и казался огороженным с двух сторон заборами.	51:59	0:199
переулок	NOUN	1682-1916	1	переулок-10		Близко подошла вода к Титовскому переулку, к Андреевской богадельне, к дрожжевому заводу Афремова.	33:41	0:98
переулок	NOUN	1682-1916	1	переулок-11		Я отправился в редакцию "Кошницы", которая помещалась в Троицком переулке.	65:73	0:74
переулок	NOUN	1918-1990	2	переулок-12		В деревне лает собака, квохчет курица, мычит корова, а здесь было беззвучно-тихо, как может быть тихо в пустынной городской квартире на малопроезжем переулке днем, о ту пору, когда дети в школах, а старшие -- на службе.	149:157	0:219
переулок	NOUN	1918-1990	2	переулок-13		Начало отъезда -- два извозчика перед воротами нашего двора в Никольском переулке.	73:81	0:82
переулок	NOUN	1918-1990	2	переулок-14		В этом переулке целый квартал занимали бардаки, ход был прямо с Дерибасовской.	7:15	0:78
переулок	NOUN	1918-1990	2	переулок-15		Апофеоз был в Камергерском переулке.	27:35	0:36
переулок	NOUN	1682-1916	1	переулок-16		Вдруг, с ребяческим наслаждением, я заметил, что Макс наполовину вытащил из кармана револьвер, но всадник повернул в переулок.	117:125	0:126
переулок	NOUN	1918-1990	2	переулок-17		5. [Б. Троицкий пер.	16:19	0:20
переулок	NOUN	1682-1916	1	переулок-18		Владимира Вноровского я мог предупредить еще раньше: он, извозчик, должен был ожидать меня в час дня в Долгоруковском переулке.	118:126	0:127
переулок	NOUN	1682-1916	1	переулок-19		Случайный выстрел 14 марта проживающая в доме Борисова, в Большом Вражеском переулке, кр.	76:84	0:89
переулок	NOUN	1682-1916	1	переулок-20		Во-вторых, кабаков было не больше пяти-шести на весь город; теперь на каждый переулок не менее пяти-шести кабаков.	77:85	0:114
переулок	NOUN	1682-1916	1	переулок-21		А за ним, снизу от Ножовой линии, сбоку из Черкасского переулка, сверху от Ильинских ворот ползет товар, и над этой колышущейся полосой из лошадей, экипажей, возов, людских голов стоит стон: рубль купца, спина мужика поют свою нескончаемую песню.	55:63	0:246
переулок	NOUN	1682-1916	1	переулок-22		Возмутительная кража 4 марта проживающий в доме Матюшина, в 1-м Крутицокм переулке, кр. Алексей Туманов обнаружил, что во время выноса из квартиры гроба с покойной его дочерью, злоумышленники обшарили оставленные без присмотра комнаты, из которых похитили разное платье, стоющее 140 руб.	74:82	0:287
переулок	NOUN	1682-1916	1	переулок-23		Он ушел в переулок, а мы -- своей дорогой.	10:18	0:42
переулок	NOUN	1918-1990	2	переулок-24		Возражений не было, мы отправились в магазин "Скороход" в Столешниковом переулке.	72:80	0:81
переулок	NOUN	1918-1990	2	переулок-25		Наконец, когда начало светать, в переулок ворвался "ситроен", приземистый и дорогой.	33:41	0:84
переулок	NOUN	1682-1916	1	переулок-26		Вокруг него в обоих переулках, переименованных, возвышенных до ранга "улиц" ("улица Рылеева", "улица Танеева"), рушились старые особнячки, возникали безлично-комфортные розовые здания с лоджиями, а этот простоял всю первую половину семидесятых годов, будто забыли о нем.	20:29	0:270
переулок	NOUN	1918-1990	2	переулок-27		Так как видеть Крафта в настоящих обстоятельствах для меня было капитально важно, то я и попросил Ефима тотчас же свести меня к нему на квартиру, которая, оказалось, была в двух шагах, где-то в переулке.	194:202	0:203
переулок	NOUN	1682-1916	1	переулок-28		Восхищаясь разными проявлениями могущества знания, техники и цивилизации, молодой человек вместе с тем поражался вопиющими контрастами кричащей роскоши какой-нибудь большой улицы рядом с поражающей нищетой соседнего узкого глухого переулка, где одичавшие от голода женщины с бледными полуголыми детьми останавливают прохожих, прося милостыню в то время, когда не смотрит полисмен.	231:239	0:380
переулок	NOUN	1682-1916	1	переулок-29		Посланный с товарищем в депо за овсом, он нагрузил подводу, заметил на обратном пути, что пригнездившийся на подводе усталый товарищ уснул, дал лошади идти, а сам без оглядки бросился в смежный переулок.	194:202	0:203
переулок	NOUN	1682-1916	1	переулок-30		Все ребята с Арбата и из переулков знали ее красный с никелем "индиан-скаут", у каждого в душе, как сияющий образ, горели неугасимо ее нечеловечески красивое лицо и летящая фигурка в мужской ковбойке или в жакетике, прекрасные ноги в бриджах и крагах, нежно сжимающие ревущий звероподобный "индиан-скаут"!	25:34	0:305
переулок	NOUN	1918-1990	2	переулок-31		Из этого переулка мы поворачиваем в другой, также смердящий, хотя он и носит название Cite Franeaise и хотя при входе в него красуется вывеска: "Русская бакалейная торговля".	9:17	0:174
переулок	NOUN	1918-1990	2	переулок-32		Всего лучше держатся Пресненский район, Грузины с переулками и Сенной площадью, Малая Бронная с переулками, Долгоруковская.	50:60	0:123
переулок	NOUN	1918-1990	2	переулок-33		Девушка бросилась за угол, в узкий незнакомый переулок, но, пробежав всего несколько шагов, внезапно остановилась.	46:54	0:114
переулок	NOUN	1682-1916	1	переулок-34		Ему бы хотелось домой; но бабушка велела еще повернуть в какой-то переулок.	66:74	0:75
переулок	NOUN	1682-1916	1	переулок-35		Вот что происходило накануне открытия карнавала, в пятницу вечером, в глухом переулке, недалеко от главного рынка Флоренции, в доме еврея Ионафана дель-Гуадо.	77:85	0:158
переулок	NOUN	1918-1990	2	переулок-36		Зимою, как ни в одном городе мира, упадал покой на улицах и переулках и верхнего Города, на горах, и Города нижнего, раскинувшегося в излучине замерзшего Днепра, и весь машинный гул уходил внутрь каменных зданий, смягчался и ворчал довольно глухо.	60:69	0:247
переулок	NOUN	1918-1990	2	переулок-37		Бер были в родстве с Герингами, а у Герингов служила нянина тетка Анна Дмитриевна, вырастившая праправнуков Пушкина, с которыми до последнего времени она жила в писательском доме на Плотниковом переулке.	194:202	0:203
переулок	NOUN	1918-1990	2	переулок-38		И Москвой назывался район, где Пречистенка, улица тихая, тая в сплошных переулках, стояла домами отдельными; там -- в переулках -- дома, отойдя с тротуара в глубь сада, скрывали свои и колонны, и окна листвою.	72:81	0:209
переулок	NOUN	1918-1990	2	переулок-39		Пока мы беседовали, я прошел последний переулок, по которому можно было вернуться к дому.	39:47	0:89
переулок	NOUN	1682-1916	1	переулок-40		И девки рассыпались по переулкам.	23:32	0:33
переулок	NOUN	1918-1990	2	переулок-41		Целые вереницы пестрых барышень мелькали по зеленым переулкам, поглядывая исподлобья на молодых офицеров.	52:61	0:105
переулок	NOUN	1682-1916	1	переулок-42		И только в большом светлом доме, занимающем чуть ли не половину Рахмановского переулка, никто не интересуется нашим "Большим экзаменом", как назвал клинические испытания дед.	78:86	0:174
переулок	NOUN	1918-1990	2	переулок-43		Ее везли по Замоскворечью, переехали два моста, повернули направо, потом в какой-то переулок.	84:92	0:93
переулок	NOUN	1918-1990	2	переулок-44		Из переулка появляется стайка девчат.	3:11	0:37
переулок	NOUN	1918-1990	2	переулок-45		Помещалась комиссия в Рахмановском переулке, в том доме, где прежде находилась биржа труда.	35:43	0:91
переулок	NOUN	1682-1916	1	переулок-46		Известие о том, что галерея открывается, переполошило публику, и вчера Лаврушинский переулок с утра шумел толпой, спешившей попасть в Третьяковскую сокровищницу.	84:92	0:161
переулок	NOUN	1682-1916	1	переулок-47		Как бы современному прогрессу ни казались ненормальными извозчичьи московские волочки 1825 года, но они вполне гармонировали с тогдашним состоянием столичных переулков и моего кармана.	158:167	0:184
переулок	NOUN	1682-1916	1	переулок-48		Калмыков и Листницкий отстали, свернули в первый переулок и через полчаса, миновав шумную часть города, шли, вполголоса разговаривая, опасливо поглядывая вокруг.	49:57	0:161
