lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
пионер	NOUN	1918-1990	2	пионер-0		-- А знаете вы, кто такие юные пионеры -- спросила девушка.	31:38	0:59
пионер	NOUN	1918-1990	2	пионер-1		Пионер!	0:6	0:7
пионер	NOUN	1918-1990	2	пионер-2		-- Васька, -- спросил Федька, лежа на спине и закрывая рукой от солнца круглое веснушчатое лицо, -- что это такое пионеры Почему, например, они идут всегда вместе и в барабан бьют и в трубы трубят А вот один раз отец читал, что пионеры не воруют, не ругаются, не дерутся и еще чего-то там не делают.	114:121	0:299
пионер	NOUN	1918-1990	2	пионер-3		(На снимках, как во время войны, беженцы с тачками, старые "форды" со скарбом на крыше, фургоны времен пионеров.	103:111	0:112
пионер	NOUN	1682-1916	1	пионер-4		-- Да, вот видите, как, -- все надобно знать в нашей стране, -- сказал мне Алексей Максимович, когда пионеры ушли, -- а то и перед детями в смешное положение попадаешь, -- вот как!	101:108	0:180
пионер	NOUN	1682-1916	1	пионер-5		Оценивая эту просветительную деятельность Ломоносова, следует признать, что после Петра Великого вряд ли кому Россия больше обязана своим культурным развитием, чем Михаилу Васильевичу Ломоносову, и, конечно, не на гениального пионера европейского просвещения падает вина, что после его смерти "все его полезные намерения исчезли вместе с ним".	226:233	0:343
пионер	NOUN	1682-1916	1	пионер-6		-- Не надо мне больше помогать, -- как-то раз заявил Борька пионерам.	60:68	0:69
пионер	NOUN	1918-1990	2	пионер-7		Что же за люди эти пионеры и в чем состоит их вина перед историографами В самом начале настоящего письма выражена мысль, что жизнь в провинции изменяется к лучшему.	19:26	0:164
пионер	NOUN	1682-1916	1	пионер-8		-- Нравится ли вам, -- спросили мы, -- сбор, о котором пишет этот пионер -- Да как вам сказать.	66:72	0:95
пионер	NOUN	1918-1990	2	пионер-9		Он пропадет в этом океане всяких свиндлеров и искателей богатств и приключений, сделается там пионером или диггером, шулером или слевгольдером; разбогатеет ли он там, или будет повешен по Lynch law -- все равно, лишь бы не возвратился".	94:102	0:236
пионер	NOUN	1682-1916	1	пионер-10		-- Расскажите нам о товарище Фрунзе! -- хором попросили пионеры, вынимая блокноты.	56:63	0:82
пионер	NOUN	1918-1990	2	пионер-11		Одному из пионеров-застрельщиков удалось соследить "складную душу" и изловить ее на месте преступления.	10:31	0:103
пионер	NOUN	1682-1916	1	пионер-12		Пионеры, делясь впечатлениями в кулуарах, не забывали приглядывать за малышами.	0:7	0:79
пионер	NOUN	1918-1990	2	пионер-13		Финляндия оказалась пионером на этом пути.	20:28	0:42
пионер	NOUN	1918-1990	2	пионер-14		Пионеры исполнили песню первых пионеров Советского Союза "Взвейтесь кострами, синие ночи".	0:7	0:90
