identifier1	identifier2	annotator	judgment	comment	lemma
похищение-52-12	похищение-53-12	annotator1	4		похищение
похищение-60-12	похищение-61-12	annotator1	4		похищение
похищение-28-12	похищение-29-12	annotator1	4		похищение
похищение-30-12	похищение-31-12	annotator1	1		похищение
похищение-108-12	похищение-109-12	annotator1	3		похищение
похищение-110-12	похищение-111-12	annotator1	1		похищение
похищение-32-12	похищение-33-12	annotator1	4		похищение
похищение-112-12	похищение-113-12	annotator1	4		похищение
похищение-70-12	похищение-71-12	annotator1	4		похищение
похищение-50-12	похищение-51-12	annotator1	4		похищение
похищение-72-12	похищение-73-12	annotator1	4		похищение
похищение-48-12	похищение-49-12	annotator1	3		похищение
похищение-74-12	похищение-75-12	annotator1	4		похищение
похищение-68-12	похищение-69-12	annotator1	3		похищение
похищение-90-12	похищение-91-12	annotator1	4		похищение
похищение-58-12	похищение-59-12	annotator1	4		похищение
похищение-62-12	похищение-63-12	annotator1	4		похищение
похищение-56-12	похищение-57-12	annotator1	4		похищение
похищение-34-12	похищение-35-12	annotator1	4		похищение
похищение-40-12	похищение-41-12	annotator1	4		похищение
похищение-118-12	похищение-119-12	annotator1	4		похищение
похищение-38-12	похищение-39-12	annotator1	4		похищение
похищение-100-12	похищение-101-12	annotator1	4		похищение
похищение-22-12	похищение-23-12	annotator1	4		похищение
похищение-24-12	похищение-25-12	annotator1	4		похищение
похищение-102-12	похищение-103-12	annotator1	4		похищение
похищение-104-12	похищение-105-12	annotator1	4		похищение
похищение-98-12	похищение-99-12	annotator1	3		похищение
похищение-18-12	похищение-19-12	annotator1	4		похищение
похищение-12-12	похищение-13-12	annotator1	4		похищение
похищение-64-12	похищение-65-12	annotator1	3		похищение
похищение-92-12	похищение-93-12	annotator1	4		похищение
похищение-94-12	похищение-95-12	annotator1	4		похищение
похищение-16-12	похищение-17-12	annotator1	1		похищение
похищение-96-12	похищение-97-12	annotator1	4		похищение
похищение-26-12	похищение-27-12	annotator1	1		похищение
похищение-106-12	похищение-107-12	annotator1	4		похищение
похищение-114-12	похищение-115-12	annotator1	4		похищение
похищение-36-12	похищение-37-12	annotator1	4		похищение
похищение-116-12	похищение-117-12	annotator1	4		похищение
похищение-14-12	похищение-15-12	annotator1	4		похищение
похищение-54-12	похищение-55-12	annotator1	4		похищение
похищение-20-12	похищение-21-12	annotator1	4		похищение
похищение-4-12	похищение-5-12	annotator1	4		похищение
похищение-10-12	похищение-11-12	annotator1	3		похищение
похищение-66-12	похищение-67-12	annotator1	4		похищение
похищение-8-12	похищение-9-12	annotator1	4		похищение
похищение-44-12	похищение-45-12	annotator1	1		похищение
похищение-86-12	похищение-87-12	annotator1	4		похищение
похищение-42-12	похищение-43-12	annotator1	3		похищение
похищение-78-12	похищение-79-12	annotator1	4		похищение
похищение-6-12	похищение-7-12	annotator1	3		похищение
похищение-0-12	похищение-1-12	annotator1	4		похищение
похищение-84-12	похищение-85-12	annotator1	3		похищение
похищение-80-12	похищение-81-12	annotator1	4		похищение
похищение-88-12	похищение-89-12	annotator1	4		похищение
похищение-76-12	похищение-77-12	annotator1	4		похищение
похищение-2-12	похищение-3-12	annotator1	4		похищение
похищение-46-12	похищение-47-12	annotator1	4		похищение
похищение-82-12	похищение-83-12	annotator1	4		похищение
похищение-34-12	похищение-35-12	annotator2	1		похищение
похищение-106-12	похищение-107-12	annotator2	4		похищение
похищение-114-12	похищение-115-12	annotator2	2		похищение
