lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
похищение	NOUN	1918-1990	2	похищение-0		"Похищение из Сераля" все ниспровергнуло, и в театре никогда не было и речи о нашей, так старательно обработанной пьеске.	1:10	0:121
похищение	NOUN	1918-1990	2	похищение-1		После обеда для разнообразия принимались за "Бахариану" Хераскова -- довольно нелепую смесь всякой всячины из русских и не русских сказок, с привидениями, превращениями, похищениями.	170:181	0:182
похищение	NOUN	1918-1990	2	похищение-2		"Похищение сабинянки" работы Джиованни да Болонья и чудная группа Гектора с двумя женщинами работы Фети, -- ваятель девятнадцатого столетия, удостоившийся места в этом святилище; в мягких складках мрамор спадает как вялая материя.	1:10	0:230
похищение	NOUN	1918-1990	2	похищение-3		Артистка первая рассказала им о самоубийстве Мерилин Монро, о дебюте Лайзы Минелли, о похищении гроба Чарли Чаплина.	86:95	0:116
похищение	NOUN	1918-1990	2	похищение-4		-- Как это было интересно Приключения, опасности, отчаянные кутежи, похищение красивых женщин.	68:77	0:94
похищение	NOUN	1918-1990	2	похищение-5		Мать с дочерью встретились на Рарийской равнине, близ Элевсина; Кора рассказала про свое похищение, называя поименно своих товарок-Океанид, но вместе с ними и обеих девственных богинь Олимпа, Палладу и Артемиду.	89:98	0:211
похищение	NOUN	1682-1916	1	похищение-6		Похищение, как предполагают, сделано одним из канцелярских служителей департамента полиции ("Стр."). неизвестный.	0:9	0:113
похищение	NOUN	1682-1916	1	похищение-7		Каково же это быть постоянно в таких душевных тисках, что нельзя в обществе офицеров побранить взяточничество, похищение экономии и т.п., неделикатно!	111:120	0:150
похищение	NOUN	1918-1990	2	похищение-8		Похищение двух орудий.	0:9	0:22
похищение	NOUN	1918-1990	2	похищение-9		Однако вы не ответили на вопрос: признаете ли себя виновным в похищении ценностей из Исторического музея и в попытке продажи их иностранцам -- Придется, видимо, признаться.	62:71	0:172
похищение	NOUN	1682-1916	1	похищение-10		Похищение красавицы-еврейки португальским экс-королем В высшем еврейском московском обществе много разговоров вызывает внезапное таинственнее исчезновение молодой красавицы-еврейки, блиставшей на всех московских балах.	0:9	0:218
похищение	NOUN	1682-1916	1	похищение-11		Помощник казначея таможни Ромуальд Гейсман, обвиненный в 1910 году в похищении денежного пакета на 20 707 рублей. был приговорен окружным судом в арестантские роты на три года.	69:78	0:176
похищение	NOUN	1682-1916	1	похищение-12		Похищение обычно бывает молниеносно и неожиданно.	0:9	0:49
похищение	NOUN	1918-1990	2	похищение-13		Осужденный на десять лет каторги за участие в похищении Казанской иконы Божией Матери крестьянин Комов заявил прокурорскому надзору, что он укажет за 20 000 р. место, где спрятана похищенная икона без драгоценных украшений.	46:55	0:223
похищение	NOUN	1918-1990	2	похищение-14		Похищение узников, притом столь важных, являлось, с точки зрения надзора, истинным скандалом и обнаруживало крайнюю общую небрежность и неумелость в исполнении обязанностей.	0:9	0:173
похищение	NOUN	1918-1990	2	похищение-15		Откуда ехали эти два человека, вовлекшие меня в похищение "Эспаньолы", я хорошенько не понял, -- так был я возбужден и счастлив, что соленая сухая рыба дядюшки Гро пропала в цветном тумане истинного, неожиданного похождения.	48:57	0:224
похищение	NOUN	1682-1916	1	похищение-16		Аппарат, силы и дарование артистов, их здоровье, нервы, их личная жизнь, машины, сложные технические приспособления -- все это было брошено судорожною тенью на полотно ради краткого возбуждения зрителей, пришедших на час и уходящих, позабыв, в чем состояло представление, -- так противно их внутреннему темпу, так неестественно опережая его, неслись все эти нападения и похищения, пиры и танцы.	370:379	0:394
похищение	NOUN	1918-1990	2	похищение-17		Знаешь ли ты, сколько раз он меня оставлял в дураках Я до сих пор не могу без досады вспомнить, как он провел меня в деле похищения бриллиантов у ювелира Г. Как-то обращается ко мне этот известный ювелир с заявлением, что из его магазина началось частое хищение драгоценных вещей: перстней, булавок, запонок с большими солитерами огромной ценности.	122:131	0:348
похищение	NOUN	1682-1916	1	похищение-18		В Нин-по, например, португальцы целыми шайками отправлялись в соседние деревни для похищения силою женщин и девушек.	83:92	0:116
похищение	NOUN	1682-1916	1	похищение-19		До похищения Кох не было таких строгостей в школе, как потом.	3:12	0:61
похищение	NOUN	1682-1916	1	похищение-20		В истории закономерно повторяются похищения прекрасных сабинянок.	34:43	0:65
похищение	NOUN	1918-1990	2	похищение-21		Он собирается убить ее за кощунственное похищение трупа Лауры но последняя в эту минуту просыпается.	40:49	0:100
похищение	NOUN	1682-1916	1	похищение-22		Вот объяснение события с Еликашвили, и если он действительно даже говорил о замученном ребенке, то и в этом нет ничего удивительного, так как еще накануне все Сачхери знали о пропаже Сарры и о том, что ее похищение приписывается евреям.	205:214	0:236
похищение	NOUN	1682-1916	1	похищение-23		С утра следующего дня Неплюев начал хлопотать и действительно деятельно занялся приготовлениями к похищению крутоярской царевны.	98:107	0:128
похищение	NOUN	1682-1916	1	похищение-24		Вот правдивое соображение о происхождении тех звуков, которые стали вдруг звуками и стонами ребенка, как только разнеслась весть о Похищении Сарры.	131:140	0:147
похищение	NOUN	1682-1916	1	похищение-25		Цель похищения не обнаружена, говорит прокурор, а между тем два раза в том же обвинительном акте он датирует разные обстоятельства кануном еврейской пасхи.	5:14	0:155
похищение	NOUN	1682-1916	1	похищение-26		Все без исключения перечисленные нами моменты романа (в их отвлеченной форме), как сюжетные, так и описательные и риторические, вовсе не новы: все они встречались и были хорошо разработаны в других жанрах античной литературы: любовные мотивы (первая встреча, внезапная страсть, тоска) были разработаны в эллинистической любовной поэзии, другие мотивы (бури, кораблекрушения, войны, похищения) разработаны античным эпосом, некоторые мотивы (узнавание) играли существенную роль в трагедии, описательные мотивы были разработаны в античном географическом романе и в историографических произведениях (например, у Геродота), рассуждения и речи -- в риторических жанрах.	382:391	0:663
похищение	NOUN	1918-1990	2	похищение-27		Чтобы скрыть следы девушка симулировала похищение, оставив в доме отца отрезанную косу, о чем сообщалось в "Русском Слове".	40:49	0:123
похищение	NOUN	1682-1916	1	похищение-28		Главное преступление, за которое они попали под суд, были кража и вообще похищение чужой собственности, но между ними было, однако, и 15 поджигателей, 8 преступников против нравственности и 3 убийцы.	73:82	0:199
похищение	NOUN	1682-1916	1	похищение-29		[1396 г.] Нет сомнения, что Василий Димитриевич с прискорбием видел сие новое похищение российского достояния и не мог быть ослеплен ласками тестя; но ему казалось благоразумнее соблюсти до времени приязнь его и целость хотя Московского княжества, нежели подвергнуть гибели сию единственную надежду отечества войною с государем сильным, мужественным, алчным ко славе и к приобретениям.	78:87	0:385
похищение	NOUN	1682-1916	1	похищение-30		Десятки случаев относятся к "похищению" шаровой молнией драгоценностей и золота.	29:38	0:80
похищение	NOUN	1918-1990	2	похищение-31		Когда-же Наина заявляет ему, что она волшебница, Фарлафом овладевает сильный испуг и он весь дрожит в страхе Наина успокаивает его, обещая ему оказать помощь в похищении Людмилы, и затем с хохотом исчезает.	160:169	0:206
похищение	NOUN	1918-1990	2	похищение-32		Если мы сравним мотив похищения с соответствующими мифами (похищение Зевсом Европы и др.), с одной стороны, и мотив поборов с соответствующими мифами, с другой, то мифы о похищении менее архаичны, чем сказка: похититель-животное здесь преобразован в бога-животное, а миф типа Персея и Андромеды древнее сказки.	22:31	0:310
похищение	NOUN	1918-1990	2	похищение-33		Речь идет о похищении людей.	12:21	0:28
похищение	NOUN	1682-1916	1	похищение-34		Еще все три показали, что лишь необычайным самообладанием и отдачей всех золотых вещей им удалось спасти свою главную драгоценность -- женскую честь, похищения которой вышеуказанные бандиты главным образом домогались.	150:159	0:217
похищение	NOUN	1918-1990	2	похищение-35		Похищение "Джиоконды".	0:9	0:22
похищение	NOUN	1682-1916	1	похищение-36		Звучат выстрелы и взрывы, ежедневно газеты приносят сообщения о похищении детей и взрослых, убийствах полицейских, ограблениях банков, террористических актах, порче картин и скульптур, всевозможных проявлениях вандализма.	64:73	0:221
похищение	NOUN	1918-1990	2	похищение-37		Ведь сам же он предложил князю свое участие, первый подал мысль о похищении.	66:75	0:76
похищение	NOUN	1682-1916	1	похищение-38		Именно здесь экспонировалась картина Рембрандта ван Рейна "Портрет молодого человека", над которым нависла угроза похищения.	114:123	0:124
похищение	NOUN	1918-1990	2	похищение-39		Похищение жениха С. Кулис-Кари, Кутаисск. губ., произошел, по словам "Баку", следующий редкий случай.	0:9	0:101
похищение	NOUN	1682-1916	1	похищение-40		Итак, похищение могло произойти только в промежуток между 6 часов 27-го числа и 10 часов 28-го числа.	6:15	0:101
похищение	NOUN	1682-1916	1	похищение-41		Наказание по военной части и по воровству тяжелее против прочих, потому что кочевые, обитая рассеянно и в малых обществах, не имеют ни пограничных укреплений для содержания военной стражи, ни оград для охранения юрт и скота, что представляет большую удобность и неприятелям к нападению, и ворам к похищению.	297:306	0:307
похищение	NOUN	1918-1990	2	похищение-42		Керн, вероятно, уже знает от Равино о моем прибытии в Париж и участии в похищении мадемуазель Лоран.	72:81	0:100
похищение	NOUN	1918-1990	2	похищение-43		Змей отражает более позднюю форму представлений о смерти, а именно -- смерть как похищение.	81:90	0:91
похищение	NOUN	1918-1990	2	похищение-44		Когда арестовали сего батюшку, тогда он, вынужденный ли страхом или желая своим покаянием смягчить отношение судейской администрации, написал на имя прокурора покаянное письмо, в котором, кроме сего преступления, открыл еще новое: а именно, он сознался в похищении двенадцати тысяч из того госпиталя, где он состоял письмоводителем или делопроизводителем.	255:264	0:355
похищение	NOUN	1918-1990	2	похищение-45		Ясно, что речь идет только об языке метафор, когда в аналогичных случаях мы встречаем мотивы "уводов" и "приводов", исчезновений и появлений, похищений и отвоеваний.	142:151	0:165
похищение	NOUN	1918-1990	2	похищение-46		Когда по распоряжению царя сделана была публикация о пропаже дочери Нардина-Нащокина и велено было похитителю вернуть её под страхом смертной казни, Фрол, сообщив Ловчикову. что он увёз Аннушку и женился на ней, просит его заступничества, угрожая в противном случае его запутать в своё дело, потому что, дав свою карету, Ловчиков тем самым содействовал похищению девушки.	353:362	0:371
похищение	NOUN	1918-1990	2	похищение-47		-- Какое же похищение, когда она сама к нему выбежала.	12:21	0:54
похищение	NOUN	1918-1990	2	похищение-48		Кому в Общевоинском союзе, до похищения генерала Миллера, могло прийти в голову заподозрить в предательстве генерала Скоблина Имя "нашего" провокатора никогда установлено не было.	30:39	0:179
похищение	NOUN	1918-1990	2	похищение-49		Они рассказывали, что в этот день утром, отправившись на охоту, они наткнулись на пять вампу, по-видимому разведчиков, высматривавших возможность похищения оленей.	146:155	0:163
похищение	NOUN	1682-1916	1	похищение-50		Мне остается говорить о внутренней стороне преступления, приписываемого обвиняемым, о побуждениях и целях похищения Сарры Модебадзе.	106:115	0:132
похищение	NOUN	1682-1916	1	похищение-51		Суживает обвинение эту западню,-- Сарра не успевает попасть в нее; расширяет,-- первая группа давно миновала Григория Датикова Модебадзе, козел уже проблеял, ребенок прокричал, похищение, стало быть, совершилось, и на долю второй группы нет ни козла, ни ребенка, ни детского крика.	177:186	0:281
похищение	NOUN	1918-1990	2	похищение-52		Но теперь мне казалось, что ветер, то гудевший под котелком, то раздувавший мне штаны или заворачивавший их так, что мои ноги становились похожи на ноги скелета, -- мне казалось, что этот ветер мешает мне, мешает сосредоточить мысль на картине похищения.	244:253	0:254
похищение	NOUN	1918-1990	2	похищение-53		-- Вот здесь, в портфеле, ждет очереди таинственное убийство вдовы полковника, похищение брильянтов у креолки, пропажа завещания из конторы в Чикаго, два-три дела не меньшей важности.	79:88	0:183
похищение	NOUN	1682-1916	1	похищение-54		О девушке по-прежнему не было ни слуху ни духу, но от ее матери молодые люди узнали, что коррехидор обвиняет в похищении дона Рамона.	111:120	0:133
похищение	NOUN	1918-1990	2	похищение-55		Правда, и ответы гуслиста не обещали уступчивой искренности: но, по крайней мере, дипломатка старалась голосом сирены привлечь в свою область этого нового Язона, хранящего золотое руно, то есть тайну похищения Паткуля.	200:209	0:218
похищение	NOUN	1682-1916	1	похищение-56		Обвинение именно забыло об условиях времени и пространства, как необходимых условиях похищения, и в этом его печальная ошибка.	85:94	0:126
похищение	NOUN	1682-1916	1	похищение-57		Тут просто вопрос: клал в карман или не клал Как же он мог не знать, если б положил Это совершенно справедливо, но вот ведь что может тут быть, и даже наверно: ведь он написал только про одного себя: "Я, дескать, ничего не похитил, и не думал о похищении", -- но ведь могли похитить другие.	245:254	0:290
похищение	NOUN	1918-1990	2	похищение-58		Обмен (сознательный или по ошибке) кастрюлями, сковородами, ложками, ножами, похищения у зазевавшихся целых кастрюль с приготовленной уже едой, яиц и прочей провизии -- таковы были по большей части предметы этих утомительных и нудных, и таких пошлых "судебных процессов".	77:86	0:271
похищение	NOUN	1918-1990	2	похищение-59		Я обнаружил исчезновение одного из моих дневников, причем, по всем признакам, похищение было совершено сегодня.	78:87	0:111
похищение	NOUN	1918-1990	2	похищение-60		Обнаружив похищение, товарищ Кривоносов выбежал на крыльцо, где и был ранен, по-видимому, бродягой.	10:19	0:99
похищение	NOUN	1918-1990	2	похищение-61		Русский текст её восходит к не дошедшему до нас тексту византийского романа X в., возникшего на основе византийского же эпоса о борьбе греков с сарацинами и повествовавшего о похищении сарацинским царём Амиром знатной греческой девушки, на которой он, приняв христианство, женился, и о подвигах и любовных похождениях сына их Дигениса Акрита.	175:184	0:342
похищение	NOUN	1918-1990	2	похищение-62		Обычная форма этих злых вмешательств, как я сказала только что, угон и похищения; вслед за ними идет, вполне понятно, момент боя и отвоевание.	71:80	0:142
похищение	NOUN	1918-1990	2	похищение-63		Это он похитил с Олимпа первое коровье стадо и дал его смертным -- похищение же это имело первоначально глубокий смысл, подобно похищению огня Прометеем, и лишь дурная слава, которой покрыли себя аркадцы в историческое время как бродяги и воры, позволила певцам обратить и это благодетельное деяние их бога в ловкую воровскую проделку -- ведь "много певцы измышляют", чему и сами не верят.	67:76	0:389
похищение	NOUN	1682-1916	1	похищение-64		Он беспрестанно нарушал Уголовный кодекс РСФСР, а именно статью 162-ю, трактующую вопросы тайного похищения чужого имущества (кража).	98:107	0:133
похищение	NOUN	1918-1990	2	похищение-65		Похищения, по-видимому не предполагалось.	0:9	0:41
похищение	NOUN	1682-1916	1	похищение-66		Он, как будто ничего не замечая, громким голосом стал рассказывать про похищение Хаджи-Муратом вдовы Ахмет-хана Мехтулинского: -- Ночью вошел в селенье, схватил, что ему нужно было, и ускакал со всей партией.	71:80	0:208
похищение	NOUN	1682-1916	1	похищение-67		Итак, г. Маликульмульк бранит только сей их поступок, однако ж признается, что он сим похищениям и входам без докладу обязан многими весьма любопытными письмами, которые от них получает и делает благосклонность прочитывать без остатку.	86:96	0:235
похищение	NOUN	1682-1916	1	похищение-68		Она собиралась приказать ему помогать Нилочке только в деле бегства из дома, но в случае обмана со стороны Неплюева не допускать полного похищения и венчаться.	137:146	0:159
похищение	NOUN	1682-1916	1	похищение-69		На другой день после похищения Рогова обратилась тайно к священнику сел.	21:30	0:72
похищение	NOUN	1918-1990	2	похищение-70		Опять бандиты, похищение ребенка, погоня, бешенство автомобиля, несущийся и нарастающий поезд.	15:24	0:94
похищение	NOUN	1918-1990	2	похищение-71		Суходольский охотно взял на себя всю операцию похищения набора.	46:55	0:63
похищение	NOUN	1918-1990	2	похищение-72		Под давлением общественности меры в связи с похищением Леды были приняты экстраординарные, в поиски исчезнувшего сокровища активно включилась не только кипрская полиция, но и Интерпол.	44:54	0:184
