identifier1	identifier2	annotator	judgment	comment	lemma
правитель-62-12	правитель-63-12	annotator1	4		правитель
правитель-70-12	правитель-71-12	annotator1	4		правитель
правитель-28-12	правитель-29-12	annotator1	4		правитель
правитель-26-12	правитель-27-12	annotator1	1		правитель
правитель-72-12	правитель-73-12	annotator1	4		правитель
правитель-24-12	правитель-25-12	annotator1	3		правитель
правитель-66-12	правитель-67-12	annotator1	4		правитель
правитель-60-12	правитель-61-12	annotator1	4		правитель
правитель-4-12	правитель-5-12	annotator1	4		правитель
правитель-6-12	правитель-7-12	annotator1	3		правитель
правитель-2-12	правитель-3-12	annotator1	3		правитель
правитель-12-12	правитель-13-12	annotator1	4		правитель
правитель-64-12	правитель-65-12	annotator1	4		правитель
правитель-10-12	правитель-11-12	annotator1	4		правитель
правитель-8-12	правитель-9-12	annotator1	4		правитель
правитель-74-12	правитель-75-12	annotator1	4		правитель
правитель-22-12	правитель-23-12	annotator1	3		правитель
правитель-88-12	правитель-89-12	annotator1	4		правитель
правитель-16-12	правитель-17-12	annotator1	4		правитель
правитель-68-12	правитель-69-12	annotator1	2		правитель
правитель-114-12	правитель-115-12	annotator1	3		правитель
правитель-112-12	правитель-113-12	annotator1	4		правитель
правитель-104-12	правитель-105-12	annotator1	4		правитель
правитель-94-12	правитель-95-12	annotator1	4		правитель
правитель-92-12	правитель-93-12	annotator1	4		правитель
правитель-106-12	правитель-107-12	annotator1	3		правитель
правитель-90-12	правитель-91-12	annotator1	4		правитель
правитель-96-12	правитель-97-12	annotator1	3		правитель
правитель-108-12	правитель-109-12	annotator1	4		правитель
правитель-102-12	правитель-103-12	annotator1	4		правитель
правитель-100-12	правитель-101-12	annotator1	3		правитель
правитель-110-12	правитель-111-12	annotator1	4		правитель
правитель-98-12	правитель-99-12	annotator1	4		правитель
правитель-118-12	правитель-119-12	annotator1	3		правитель
правитель-20-12	правитель-21-12	annotator1	4		правитель
правитель-18-12	правитель-19-12	annotator1	4		правитель
правитель-14-12	правитель-15-12	annotator1	3		правитель
правитель-116-12	правитель-117-12	annotator1	4		правитель
правитель-46-12	правитель-47-12	annotator1	4		правитель
правитель-78-12	правитель-79-12	annotator1	3		правитель
правитель-56-12	правитель-57-12	annotator1	4		правитель
правитель-36-12	правитель-37-12	annotator1	4		правитель
правитель-42-12	правитель-43-12	annotator1	4		правитель
правитель-32-12	правитель-33-12	annotator1	4		правитель
правитель-44-12	правитель-45-12	annotator1	4		правитель
правитель-86-12	правитель-87-12	annotator1	4		правитель
правитель-58-12	правитель-59-12	annotator1	4		правитель
правитель-52-12	правитель-53-12	annotator1	4		правитель
правитель-40-12	правитель-41-12	annotator1	4		правитель
правитель-54-12	правитель-55-12	annotator1	4		правитель
правитель-80-12	правитель-81-12	annotator1	3		правитель
правитель-30-12	правитель-31-12	annotator1	3		правитель
правитель-34-12	правитель-35-12	annotator1	4		правитель
правитель-84-12	правитель-85-12	annotator1	4		правитель
правитель-38-12	правитель-39-12	annotator1	4		правитель
правитель-48-12	правитель-49-12	annotator1	4		правитель
правитель-76-12	правитель-77-12	annotator1	4		правитель
правитель-0-12	правитель-1-12	annotator1	3		правитель
правитель-50-12	правитель-51-12	annotator1	3		правитель
правитель-82-12	правитель-83-12	annotator1	4		правитель
правитель-100-12	правитель-101-12	annotator2	3		правитель
правитель-30-12	правитель-31-12	annotator2	2		правитель
правитель-98-12	правитель-99-12	annotator2	4		правитель
правитель-50-12	правитель-51-12	annotator2	1		правитель
правитель-90-12	правитель-91-12	annotator2	4		правитель
правитель-102-12	правитель-103-12	annotator2	2		правитель
правитель-42-12	правитель-43-12	annotator2	4		правитель
правитель-40-12	правитель-41-12	annotator2	3		правитель
правитель-92-12	правитель-93-12	annotator2	4		правитель
правитель-94-12	правитель-95-12	annotator2	4		правитель
правитель-38-12	правитель-39-12	annotator2	4		правитель
правитель-104-12	правитель-105-12	annotator2	4		правитель
правитель-112-12	правитель-113-12	annotator2	4		правитель
правитель-36-12	правитель-37-12	annotator2	4		правитель
правитель-58-12	правитель-59-12	annotator2	1		правитель
правитель-34-12	правитель-35-12	annotator2	4		правитель
правитель-18-12	правитель-19-12	annotator2	4		правитель
правитель-48-12	правитель-49-12	annotator2	3		правитель
правитель-8-12	правитель-9-12	annotator2	3		правитель
правитель-10-12	правитель-11-12	annotator2	4		правитель
правитель-46-12	правитель-47-12	annotator2	3		правитель
правитель-12-12	правитель-13-12	annotator2	4		правитель
правитель-6-12	правитель-7-12	annotator2	1		правитель
правитель-0-12	правитель-1-12	annotator2	4		правитель
правитель-114-12	правитель-115-12	annotator2	2		правитель
правитель-2-12	правитель-3-12	annotator2	4		правитель
правитель-4-12	правитель-5-12	annotator2	4		правитель
правитель-56-12	правитель-57-12	annotator2	4		правитель
правитель-14-12	правитель-15-12	annotator2	3		правитель
правитель-28-12	правитель-29-12	annotator2	1		правитель
правитель-22-12	правитель-23-12	annotator2	4		правитель
правитель-54-12	правитель-55-12	annotator2	4		правитель
правитель-24-12	правитель-25-12	annotator2	4		правитель
правитель-26-12	правитель-27-12	annotator2	4		правитель
правитель-52-12	правитель-53-12	annotator2	4		правитель
правитель-44-12	правитель-45-12	annotator2	4		правитель
правитель-16-12	правитель-17-12	annotator2	1		правитель
