lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
правитель	NOUN	1918-1990	2	правитель-0		-- "При мысли о твердом правителе мы наполняемся светлой радостью.	24:33	0:66
правитель	NOUN	1918-1990	2	правитель-1		Никакой деспот, никакой правитель не свободны, поскольку зависимы и от гвардии своей, и от политики, и от иных держав.	24:33	0:118
правитель	NOUN	1918-1990	2	правитель-2		-- Вы считались верховным правителем России -- Я верховный правитель.	26:36	0:69
правитель	NOUN	1918-1990	2	правитель-3		В типографии я написал строк шестьдесят, где высказал удовлетворение, что советские правители, правильно оценив положение, в последний момент присоединились к оппозиции.	84:93	0:169
правитель	NOUN	1682-1916	1	правитель-4		-- И за что они мне не доверяют! за что они мне не доверяют! -- восклицает он, обращаясь к правителю канцелярии, стоящему поодаль с портфелью под мышкой.	91:100	0:153
правитель	NOUN	1682-1916	1	правитель-5		Но как место сне совершенно открытое, то я пробыл у оного несколько часов под парусами и, взяв свежих съестных припасов, отправился к порту Монтерей, где, как я известился здесь, находился капитан-лейтенант Гагемейстер, главный правитель компанейских колоний, с которым я имел нужду говорить о состоянии компании в здешней стране.	228:237	0:330
правитель	NOUN	1682-1916	1	правитель-6		-- Именем его высочества правителя приказываю тебе этих собак увести и привязать.	25:34	0:81
правитель	NOUN	1682-1916	1	правитель-7		Здесь, кстати, поведаю я стародавнюю вещь, правду истинную: На восток от Танаиса, в Азии, был Азаланд, или Азахейм; столица сей земли называлась Асгард, т. е. град Азов, богов; правитель сей земли был Один, муж великий и мудрый.	177:186	0:228
правитель	NOUN	1682-1916	1	правитель-8		-- Мы починяли нашего правителя, господина Дровосека, а у него очень сложный механизм.	22:31	0:86
правитель	NOUN	1918-1990	2	правитель-9		В правление Цин-лун, 233--237, Бинын, глава поколения, был убит области Ю-чжеу правителем Ван Хюн.	79:89	0:98
правитель	NOUN	1682-1916	1	правитель-10		-- По приказу нового правителя все изумруды с башен и стен будут сняты и поступят в личную казну Урфина Джюса.	21:30	0:110
правитель	NOUN	1918-1990	2	правитель-11		Невольно напрашивается вопрос: каким образом, однако, при такой массе примеров, ясно указывающих на очень давнее расстройство умственных способностей короля, он не только мог оставаться королем, но и заслуживать любовь приближенных, расположение окрестных жителей, уважение всех граждан и почтение от иностранных правителей На это мы ответим: король жил крайне уединенно и одиноко.	313:323	0:381
правитель	NOUN	1682-1916	1	правитель-12		I эклога: прощаются два пастуха, один -- изгоняемый из родных мест, другой -- спасенный милостью римского правителя.	106:115	0:116
правитель	NOUN	1918-1990	2	правитель-13		В общем все сходятся в необходимости перемены правителя Персии и поэтому нет ничего удивительного, что нынешний шах укрепляет артиллерией свою летнюю резиденцию и собирает вокруг ее большие отряды войска.	46:55	0:204
правитель	NOUN	1918-1990	2	правитель-14		Большевики не имели сил оказать ей сопротивление и опасались возможности освобождения Верховного правителя из красного плена, что неминуемо произошло бы, если бы армия атаковала Иркутск.	97:106	0:186
правитель	NOUN	1918-1990	2	правитель-15		Он оказался широко осведомлен об интимных сторонах жизни правителей Третьей империи, и, когда они бывали вдвоем, Вайс с интересом слушал его и даже поощрял своим искренним удивлением провинциала.	57:67	0:195
правитель	NOUN	1918-1990	2	правитель-16		Бояре -- "доброхоты" польского короля, "злого супостата" Сигизмунда и его сына Владислава, "а наши злодеи", "земледержьцы и правители", а лучше сказать, -- "землесъедцы и кривители".	124:133	0:182
правитель	NOUN	1918-1990	2	правитель-17		Она нашла правителя на дороге с большим кузнечным молотом в руках.	10:19	0:66
правитель	NOUN	1918-1990	2	правитель-18		В руках у того, кто когда-то был всего лишь пылким, мечтательным юношей, неслыханная власть, о которой не смели и думать легендарные цари и правители прошлых веков.	140:149	0:164
правитель	NOUN	1918-1990	2	правитель-19		Но нужна и судорога; об этом позаботимся мы, правители.	45:54	0:55
правитель	NOUN	1682-1916	1	правитель-20		Ведь если допустить существование Всемогущего, Вездесущего, Вселюбящего, Всемилосердного и Всеведущего Бога в Облике Существа, то мы должны запросить Его -- почему Всемогущий и Вселюбящий правитель всей Вселенной допускает столько вопиющей жестокости и несправедливости Почему вся Природа существует пожиранием друг друга Ведь никто не станет отрицать, что мир, как он сейчас, отвратителен, именно есть самый настоящий Ад!	188:197	0:422
правитель	NOUN	1918-1990	2	правитель-21		Здравый русский ум, весь характер народа и вся его история показали ему, что войны для нас составляют своего рода революционную передрягу, освежающую весь воздух страны и дух ее правителей, а за войнами следуют почти всегда новые внутренние успехи и преобразования.	178:188	0:265
правитель	NOUN	1682-1916	1	правитель-22		Вон Федя Глиночка -- мы Глинку так зовем -- правителем канцелярии у генерал-губернатора, -- так он сообщает нам все донесения тайной полиции, этим только и спасаемся.	44:54	0:166
правитель	NOUN	1918-1990	2	правитель-23		Но с кончиною Льва, Зенон, правитель империи во имя сына своего Льва младшего, снова разрушил тишину церкви.	27:36	0:108
правитель	NOUN	1682-1916	1	правитель-24		Вот это был правитель!	12:21	0:22
