identifier1	identifier2	annotator	judgment	comment	lemma
привет-116-12	привет-117-12	annotator1	3		привет
привет-92-12	привет-93-12	annotator1	3		привет
привет-72-12	привет-73-12	annotator1	2		привет
привет-90-12	привет-91-12	annotator1	2		привет
привет-34-12	привет-35-12	annotator1	4		привет
привет-96-12	привет-97-12	annotator1	2		привет
привет-50-12	привет-51-12	annotator1	4		привет
привет-94-12	привет-95-12	annotator1	3		привет
привет-102-12	привет-103-12	annotator1	4		привет
привет-100-12	привет-101-12	annotator1	4		привет
привет-30-12	привет-31-12	annotator1	4		привет
привет-32-12	привет-33-12	annotator1	3		привет
привет-64-12	привет-65-12	annotator1	4		привет
привет-98-12	привет-99-12	annotator1	3		привет
привет-60-12	привет-61-12	annotator1	1		привет
привет-62-12	привет-63-12	annotator1	4		привет
привет-70-12	привет-71-12	annotator1	4		привет
привет-36-12	привет-37-12	annotator1	2		привет
привет-44-12	привет-45-12	annotator1	3		привет
привет-112-12	привет-113-12	annotator1	4		привет
привет-118-12	привет-119-12	annotator1	4		привет
привет-106-12	привет-107-12	annotator1	4		привет
привет-2-12	привет-3-12	annotator1	2		привет
привет-54-12	привет-55-12	annotator1	2		привет
привет-108-12	привет-109-12	annotator1	4		привет
привет-58-12	привет-59-12	annotator1	4		привет
привет-114-12	привет-115-12	annotator1	3		привет
привет-110-12	привет-111-12	annotator1	4		привет
привет-52-12	привет-53-12	annotator1	4		привет
привет-104-12	привет-105-12	annotator1	4		привет
привет-74-12	привет-75-12	annotator1	4		привет
привет-48-12	привет-49-12	annotator1	4		привет
привет-68-12	привет-69-12	annotator1	4		привет
привет-46-12	привет-47-12	annotator1	1		привет
привет-20-12	привет-21-12	annotator1	4		привет
привет-8-12	привет-9-12	annotator1	1		привет
привет-66-12	привет-67-12	annotator1	4		привет
привет-56-12	привет-57-12	annotator1	4		привет
привет-76-12	привет-77-12	annotator1	4		привет
привет-26-12	привет-27-12	annotator1	4		привет
привет-82-12	привет-83-12	annotator1	4		привет
привет-88-12	привет-89-12	annotator1	4		привет
привет-42-12	привет-43-12	annotator1	4		привет
привет-14-12	привет-15-12	annotator1	4		привет
привет-78-12	привет-79-12	annotator1	4		привет
привет-12-12	привет-13-12	annotator1	4		привет
привет-28-12	привет-29-12	annotator1	2		привет
привет-6-12	привет-7-12	annotator1	2		привет
