lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
привет	NOUN	1682-1916	1	привет-0		-- Гостины живут по привету.	20:27	0:28
привет	NOUN	1682-1916	1	привет-1		Одним, словом -- мне нравится, и я от души шлю свой привет им обоим.	52:58	0:68
привет	NOUN	1682-1916	1	привет-2		-- Муся, привет!	9:15	0:16
привет	NOUN	1918-1990	2	привет-3		Если бы такое желание и не таилось во мне, то одного подобного вдохновенного привета довольно бы было, чтобы воспламенить меня.	77:84	0:127
привет	NOUN	1682-1916	1	привет-4		-- Не откажите в любезности передать мой привет и восхищение вашему рекомендателю.	41:47	0:82
привет	NOUN	1918-1990	2	привет-5		Ей хочется остаться одной и погрустить тихонько, как бывало, а свекровь говорит: "отчего не воешь" Она ищет света, воздуха, хочет помечтать и порезвиться, полить свои цветы, посмотреть на солнце, на Волгу, послать свой привет всему живому, -- а ее держат в неволе, в ней постоянно подозревают нечистые, развратные замыслы.	219:225	0:322
привет	NOUN	1918-1990	2	привет-6		-- Письмо должно содержать информацию, а все эти приветы, поклоны -- это, так сказать, пустой звук.	49:56	0:99
привет	NOUN	1918-1990	2	привет-7		Постоянно выезжая в Европу, я говорю своей пастве об этом, прошу напутственных молитв, испрашиваю согласия на духовный привет, который я всегда передавал, и Вы можете это засвидетельствовать нашим православным людям.	119:125	0:216
привет	NOUN	1682-1916	1	привет-8		-- С приветом, Привалов!	5:13	0:24
привет	NOUN	1918-1990	2	привет-9		Дружески обнимаю Вас заочно и прошу передать мой и женин искренние приветы тетеньке Вашей Татьяне Александровне и Сергею Николаевичу.	67:74	0:133
привет	NOUN	1682-1916	1	привет-10		...Третий съезд РСДРП, выслушав доклад ЦК о постановке партийных типографий в России и принимая во внимание, в частности, деятельность товарищей, работающих в главной типографии ЦК в России с 1901 г., шлет свой привет названным товарищам и выражает надежду в недалеком будущем видеть их в числе тех товарищей, которые войдут в первую открытую легальную типографию РСДРП.	211:217	0:370
привет	NOUN	1918-1990	2	привет-11		Смею надеяться, что Вы примете с свойственным характеру Вашему благодушием мой привет и поклон Ваших Императорских Высочеств всепокорнейший слуга Иван Гончаров Л.Н. Андреев.	79:85	0:173
привет	NOUN	1918-1990	2	привет-12		Привет, наилучшие пожелания в жизни Юре, Леке, Игорьку.	0:6	0:55
привет	NOUN	1918-1990	2	привет-13		Встретитесь с Булгаковым -- передайте ему мой сердечный привет.	56:62	0:63
привет	NOUN	1918-1990	2	привет-14		Привет из веселого города Милана.	0:6	0:33
привет	NOUN	1918-1990	2	привет-15		Привет от Сани Сопровского, до которого временами доходят о тебе слухи.	0:6	0:71
привет	NOUN	1682-1916	1	привет-16		Бывало, под Эриванью, где он командовал брешь-батареей, чуть раздавался любимый привет его: "Батарея!	80:86	0:101
привет	NOUN	1682-1916	1	привет-17		М. А. шлет Вам обоим привет.	21:27	0:28
привет	NOUN	1682-1916	1	привет-18		Внезапно губы его искривила насмешливая улыбка, и с них, вместо обычного привета, сорвалось едко замечание: напрасно, дескать, заношусь я так высоко, не имея на то ни нравственных, ни материальных прав.	73:80	0:202
привет	NOUN	1682-1916	1	привет-19		Передайте мой сердечный привет Вашей супруге.	24:30	0:45
привет	NOUN	1682-1916	1	привет-20		Всем Вашим шлю сердечный привет.	25:31	0:32
привет	NOUN	1682-1916	1	привет-21		Всем Вашим шлю сердечные приветы.	25:32	0:33
привет	NOUN	1682-1916	1	привет-22		Вчера им отправлена в Гаагу на имя Карнеги следующая телеграмма: "Достойнейшему представителю великого народа Эндрью Карнеги шлю дружеский привет.	139:145	0:146
привет	NOUN	1682-1916	1	привет-23		-- Вам Иветта прислала привет, -- сказала Татьяна при первой же встрече в саду; она улыбалась, но глаза ее пытливо следили за мной.	23:29	0:131
привет	NOUN	1682-1916	1	привет-24		Демерт имел удивительно нежное сердце, жаждавшее привета и ласки и всегда готовое на них откликнуться.	49:56	0:102
привет	NOUN	1682-1916	1	привет-25		-- Ответьте мне... ответьте парой слов на мой привет вам...	46:52	0:59
привет	NOUN	1918-1990	2	привет-26		Дорогому о[тцу] Тихону искренно кланяюсь в знак привета и благодарю за любовь.	48:55	0:78
привет	NOUN	1918-1990	2	привет-27		Искренний привет.	10:16	0:17
привет	NOUN	1682-1916	1	привет-28		Если еще раз окажете покорность и вновь встретите воинов с кротким приветом, тогда у Флора не останется никакого предлога для нападения, вы же спасете отечество и сами ничего уже более не претерпите!"	67:75	0:200
привет	NOUN	1682-1916	1	привет-29		Попадёте домой -- передайте сердечный привет всем Вашим.	38:44	0:56
привет	NOUN	1682-1916	1	привет-30		Если увидите Ф. Д. -- привет.	22:28	0:29
привет	NOUN	1682-1916	1	привет-31		Короленко шлет свой, хотя запоздалый, но сердечный привет и поздравление по случаю шестидесятилетия дня рождения мариупольский научно-литературный кружок.	51:57	0:154
привет	NOUN	1682-1916	1	привет-32		Если это верно, то я печатно шлю ему сердечный привет и отсюда протягиваю дружески благодарную руку, от души желая ему здоровья и всякого благополучия.	47:53	0:151
привет	NOUN	1682-1916	1	привет-33		.. куда -- У меня, брат, третьего дня деньги унесли, -- говорю я, вместо привета, входящему ко мне Глумову.	73:80	0:107
привет	NOUN	1918-1990	2	привет-34		И с этой минуты мы не спускаем глаз с высокого человека в бекеше, стоящего под плакатом "Пламенный привет победителям льдов".	99:105	0:125
привет	NOUN	1918-1990	2	привет-35		В этот хам ходили мои родственники еще до первой войны; в этом храме участвовал в службе наш регент отец Михаил, который просил меня передать равный привет и равную любовь хору правому и хору левому.	149:155	0:199
привет	NOUN	1682-1916	1	привет-36		Известно, например, что когда М.И. Глинка (композитор) отправлялся в последний раз за границу, то он послал родной стране энергический, но далеко не лестный прощальный привет (желающих знать подробности отсылаем к запискам г. Шестаковой в "Русской старине"), а между тем Глинка был человек до того кротчайший из кротчайших, что, читая недавно изданные его записки, можно подумать, что таков уж первородный грех, опутавший русских талантливых людей, что в них неразвитость не только не мешает талантливости, но даже служит для последней подспорьем.	168:174	0:547
привет	NOUN	1682-1916	1	привет-37		Вслед за этим приветом цесаревич начал подходить порознь к каждому из присутствовавших (их называл ему поименно губернский предводитель) и каждому сказал несколько благоволительных слов или сделал несколько вопросов и, обойдя всех, возвратился снова к старшему летами и званием, отставному действительному тайному советнику графу Тизенгаузену и повторил ему, сколько считает себя счастливым, что мог передать дворянству милостивый отзыв государя.	14:22	0:446
привет	NOUN	1918-1990	2	привет-38		Как же я поеду, если я работаю И с Пржевуским мы придумали следующее: я лежу больной, он каждый день навещает меня и носит в ТЮЗ от меня записки, где я пишу, как идут мои дела, шлю приветы.	181:188	0:189
привет	NOUN	1918-1990	2	привет-39		Мне уже нужно начинать заниматься, но Байгушевы не шлют мне мои книги, и, что странно, я им написала письмо, а мне ни ответа, ни привета.	129:136	0:137
привет	NOUN	1682-1916	1	привет-40		Как, этот синий простор -- море души Где же глыбы звонкого льдистого холода Неужели они -- в этих волнах, в смеющейся дали, в изменчивой зыбкости водной стихии Солнце встает над водами, как в первые дни мироздания -- первый привет, улыбка, приязнь, удивление.	224:230	0:259
привет	NOUN	1682-1916	1	привет-41		Не сердитесь на мой крутой слог: я считаю Вас в числе друзей, а с друзьями приветы и околичности нетерпимы.	75:82	0:107
привет	NOUN	1918-1990	2	привет-42		Коллектив полярников шлет свой самый горячий, самый искренний привет участникам воздушной экспедиции и четверке отважных -- Папанину, Кренкелю, Федорову, Ширшову, -- которые будут нести свою трудную вахту среди льдов центрального полярного бассейна.	62:68	0:249
привет	NOUN	1918-1990	2	привет-43		С приветом Эмма и Лева.	2:10	0:23
привет	NOUN	1918-1990	2	привет-44		Конечно, она не думала о том, чтобы нечаянно-нарочно столкнуться с милым другом в лесу или на реке, нет, но можно уловить привет в самоварном дымке, всплывшем над садом или потянувшем с опушки леса, в звуках рояля, пронизывающих вечернюю тишину, можно обмениваться скромными знаками внимания: кошелка собственноручно собранных грибов, букетик полевых или лесных цветов, корзиночка земляники.	122:128	0:391
привет	NOUN	1918-1990	2	привет-45		Сказал, что его жена Нина (дочь Подвойского), которую я знала, преуспевает на ответственной комсомольской работе и якобы она, как он выразился, "между прочим", шлет мне привет.	169:175	0:176
привет	NOUN	1682-1916	1	привет-46		Кроме того, он привез привет от Ани Котляр, которая стояла возле тюрьмы на Люстдорфской дороге и держала передачу для своего Иосифа.	22:28	0:132
привет	NOUN	1918-1990	2	привет-47		Будь он ангел, будь человек плоти и крови, все равно -- со смирением и любовью преклонилась бы она перед ним, и скажи ей то существо хоть одно слово привета, без малейшего сожаления оставила бы она дом отца и его богатство, с радостью и весельем устремилась бы к неведомому, мыслями и помышленьями отдалась бы ему и всю жизнь была бы его безответною рабой и верной ученицей, слила бы с ним свою непорочную жизнь.	149:156	0:412
привет	NOUN	1682-1916	1	привет-48		М. А. шлет Вам привет.	15:21	0:22
привет	NOUN	1682-1916	1	привет-49		Мой сердечный привет Княгине М. К. Голицыной.	14:20	0:45
