identifier1	identifier2	annotator	judgment	comment	lemma
присутствие-0	присутствие-1	annotator1	4		присутствие
присутствие-0	присутствие-1	annotator2	2		присутствие
присутствие-0	присутствие-1	annotator3	1		присутствие
присутствие-0	присутствие-1	annotator4	1		присутствие
присутствие-0	присутствие-1	annotator5	2		присутствие
присутствие-2	присутствие-3	annotator1	3		присутствие
присутствие-2	присутствие-3	annotator2	4		присутствие
присутствие-2	присутствие-3	annotator3	4		присутствие
присутствие-2	присутствие-3	annotator4	4		присутствие
присутствие-2	присутствие-3	annotator5	1		присутствие
присутствие-4	присутствие-5	annotator1	1		присутствие
присутствие-4	присутствие-5	annotator2	4		присутствие
присутствие-4	присутствие-5	annotator3	4		присутствие
присутствие-4	присутствие-5	annotator4	1		присутствие
присутствие-4	присутствие-5	annotator5	3		присутствие
присутствие-6	присутствие-7	annotator1	4		присутствие
присутствие-6	присутствие-7	annotator2	1		присутствие
присутствие-6	присутствие-7	annotator3	3		присутствие
присутствие-6	присутствие-7	annotator4	4		присутствие
присутствие-6	присутствие-7	annotator5	4		присутствие
присутствие-8	присутствие-9	annotator1	3		присутствие
присутствие-8	присутствие-9	annotator2	4		присутствие
присутствие-8	присутствие-9	annotator3	4		присутствие
присутствие-8	присутствие-9	annotator4	4		присутствие
присутствие-8	присутствие-9	annotator5	3		присутствие
присутствие-10	присутствие-11	annotator1	4		присутствие
присутствие-10	присутствие-11	annotator2	4		присутствие
присутствие-10	присутствие-11	annotator3	4		присутствие
присутствие-10	присутствие-11	annotator4	4		присутствие
присутствие-10	присутствие-11	annotator5	3		присутствие
присутствие-12	присутствие-13	annotator1	4		присутствие
присутствие-12	присутствие-13	annotator2	3		присутствие
присутствие-12	присутствие-13	annotator3	4		присутствие
присутствие-12	присутствие-13	annotator4	4		присутствие
присутствие-12	присутствие-13	annotator5	4		присутствие
присутствие-14	присутствие-15	annotator1	4		присутствие
присутствие-14	присутствие-15	annotator2	4		присутствие
присутствие-14	присутствие-15	annotator3	4		присутствие
присутствие-14	присутствие-15	annotator4	4		присутствие
присутствие-14	присутствие-15	annotator5	4		присутствие
присутствие-16	присутствие-17	annotator1	4		присутствие
присутствие-16	присутствие-17	annotator2	4		присутствие
присутствие-16	присутствие-17	annotator3	4		присутствие
присутствие-16	присутствие-17	annotator4	3		присутствие
присутствие-16	присутствие-17	annotator5	1		присутствие
присутствие-18	присутствие-19	annotator1	1		присутствие
присутствие-18	присутствие-19	annotator2	1		присутствие
присутствие-18	присутствие-19	annotator3	1		присутствие
присутствие-18	присутствие-19	annotator4	1		присутствие
присутствие-18	присутствие-19	annotator5	2		присутствие
присутствие-20	присутствие-21	annotator1	4		присутствие
присутствие-20	присутствие-21	annotator2	4		присутствие
присутствие-20	присутствие-21	annotator3	4		присутствие
присутствие-20	присутствие-21	annotator4	4		присутствие
присутствие-20	присутствие-21	annotator5	4		присутствие
присутствие-22	присутствие-23	annotator1	3		присутствие
присутствие-22	присутствие-23	annotator2	4		присутствие
присутствие-22	присутствие-23	annotator3	3		присутствие
присутствие-22	присутствие-23	annotator4	1		присутствие
присутствие-22	присутствие-23	annotator5	3		присутствие
присутствие-24	присутствие-25	annotator1	4		присутствие
присутствие-24	присутствие-25	annotator2	4		присутствие
присутствие-24	присутствие-25	annotator3	4		присутствие
присутствие-24	присутствие-25	annotator4	3		присутствие
присутствие-24	присутствие-25	annotator5	4		присутствие
присутствие-26	присутствие-27	annotator1	4		присутствие
присутствие-26	присутствие-27	annotator2	4		присутствие
присутствие-26	присутствие-27	annotator3	4		присутствие
присутствие-26	присутствие-27	annotator4	4		присутствие
присутствие-26	присутствие-27	annotator5	4		присутствие
присутствие-28	присутствие-29	annotator1	4		присутствие
присутствие-28	присутствие-29	annotator2	4		присутствие
присутствие-28	присутствие-29	annotator3	4		присутствие
присутствие-28	присутствие-29	annotator4	4		присутствие
присутствие-28	присутствие-29	annotator5	1		присутствие
присутствие-30	присутствие-31	annotator1	4		присутствие
присутствие-30	присутствие-31	annotator2	1		присутствие
присутствие-30	присутствие-31	annotator3	1		присутствие
присутствие-30	присутствие-31	annotator4	1		присутствие
присутствие-30	присутствие-31	annotator5	1		присутствие
присутствие-32	присутствие-33	annotator1	3		присутствие
присутствие-32	присутствие-33	annotator2	3		присутствие
присутствие-32	присутствие-33	annotator3	4		присутствие
присутствие-32	присутствие-33	annotator4	4		присутствие
присутствие-32	присутствие-33	annotator5	4		присутствие
присутствие-34	присутствие-35	annotator1	2		присутствие
присутствие-34	присутствие-35	annotator2	1		присутствие
присутствие-34	присутствие-35	annotator3	4		присутствие
присутствие-34	присутствие-35	annotator4	4		присутствие
присутствие-34	присутствие-35	annotator5	4		присутствие
присутствие-36	присутствие-37	annotator1	1		присутствие
присутствие-36	присутствие-37	annotator2	4		присутствие
присутствие-36	присутствие-37	annotator3	1		присутствие
присутствие-36	присутствие-37	annotator4	3		присутствие
присутствие-36	присутствие-37	annotator5	3		присутствие
присутствие-38	присутствие-39	annotator1	4		присутствие
присутствие-38	присутствие-39	annotator2	4		присутствие
присутствие-38	присутствие-39	annotator3	3		присутствие
присутствие-38	присутствие-39	annotator4	2		присутствие
присутствие-38	присутствие-39	annotator5	4		присутствие
присутствие-40	присутствие-41	annotator1	3		присутствие
присутствие-40	присутствие-41	annotator2	4		присутствие
присутствие-40	присутствие-41	annotator3	3		присутствие
присутствие-40	присутствие-41	annotator4	4		присутствие
присутствие-40	присутствие-41	annotator5	4		присутствие
присутствие-42	присутствие-43	annotator1	4		присутствие
присутствие-42	присутствие-43	annotator2	4		присутствие
присутствие-42	присутствие-43	annotator3	3		присутствие
присутствие-42	присутствие-43	annotator4	1		присутствие
присутствие-42	присутствие-43	annotator5	3		присутствие
присутствие-44	присутствие-45	annotator1	3		присутствие
присутствие-44	присутствие-45	annotator2	3		присутствие
присутствие-44	присутствие-45	annotator3	3		присутствие
присутствие-44	присутствие-45	annotator4	4		присутствие
присутствие-44	присутствие-45	annotator5	1		присутствие
присутствие-46	присутствие-47	annotator1	3		присутствие
присутствие-46	присутствие-47	annotator2	4		присутствие
присутствие-46	присутствие-47	annotator3	2		присутствие
присутствие-46	присутствие-47	annotator4	4		присутствие
присутствие-46	присутствие-47	annotator5	2		присутствие
присутствие-48	присутствие-49	annotator1	2		присутствие
присутствие-48	присутствие-49	annotator2	1		присутствие
присутствие-48	присутствие-49	annotator3	1		присутствие
присутствие-48	присутствие-49	annotator4	1		присутствие
присутствие-48	присутствие-49	annotator5	1		присутствие
присутствие-50	присутствие-51	annotator1	4		присутствие
присутствие-50	присутствие-51	annotator2	2		присутствие
присутствие-50	присутствие-51	annotator3	3		присутствие
присутствие-50	присутствие-51	annotator4	4		присутствие
присутствие-50	присутствие-51	annotator5	4		присутствие
присутствие-52	присутствие-53	annotator1	3		присутствие
присутствие-52	присутствие-53	annotator2	4		присутствие
присутствие-52	присутствие-53	annotator3	2		присутствие
присутствие-52	присутствие-53	annotator4	4		присутствие
присутствие-52	присутствие-53	annotator5	2		присутствие
присутствие-54	присутствие-55	annotator1	3		присутствие
присутствие-54	присутствие-55	annotator2	2		присутствие
присутствие-54	присутствие-55	annotator3	3		присутствие
присутствие-54	присутствие-55	annotator4	4		присутствие
присутствие-54	присутствие-55	annotator5	3		присутствие
присутствие-56	присутствие-57	annotator1	4		присутствие
присутствие-56	присутствие-57	annotator2	4		присутствие
присутствие-56	присутствие-57	annotator3	4		присутствие
присутствие-56	присутствие-57	annotator4	4		присутствие
присутствие-56	присутствие-57	annotator5	4		присутствие
присутствие-58	присутствие-59	annotator1	4		присутствие
присутствие-58	присутствие-59	annotator2	4		присутствие
присутствие-58	присутствие-59	annotator3	4		присутствие
присутствие-58	присутствие-59	annotator4	4		присутствие
присутствие-58	присутствие-59	annotator5	4		присутствие
присутствие-60	присутствие-61	annotator1	4		присутствие
присутствие-60	присутствие-61	annotator2	3		присутствие
присутствие-60	присутствие-61	annotator3	4		присутствие
присутствие-60	присутствие-61	annotator4	3		присутствие
присутствие-60	присутствие-61	annotator5	4		присутствие
присутствие-62	присутствие-63	annotator1	4		присутствие
присутствие-62	присутствие-63	annotator2	4		присутствие
присутствие-62	присутствие-63	annotator3	2		присутствие
присутствие-62	присутствие-63	annotator4	3		присутствие
присутствие-62	присутствие-63	annotator5	4		присутствие
присутствие-64	присутствие-65	annotator1	1		присутствие
присутствие-64	присутствие-65	annotator2	3		присутствие
присутствие-64	присутствие-65	annotator3	1		присутствие
присутствие-64	присутствие-65	annotator4	1		присутствие
присутствие-64	присутствие-65	annotator5	1		присутствие
присутствие-66	присутствие-67	annotator1	4		присутствие
присутствие-66	присутствие-67	annotator2	4		присутствие
присутствие-66	присутствие-67	annotator3	4		присутствие
присутствие-66	присутствие-67	annotator4	4		присутствие
присутствие-66	присутствие-67	annotator5	4		присутствие
присутствие-68	присутствие-69	annotator1	2		присутствие
присутствие-68	присутствие-69	annotator2	4		присутствие
присутствие-68	присутствие-69	annotator3	3		присутствие
присутствие-68	присутствие-69	annotator4	4		присутствие
присутствие-68	присутствие-69	annotator5	4		присутствие
присутствие-70	присутствие-71	annotator1	4		присутствие
присутствие-70	присутствие-71	annotator2	4		присутствие
присутствие-70	присутствие-71	annotator3	3		присутствие
присутствие-70	присутствие-71	annotator4	4		присутствие
присутствие-70	присутствие-71	annotator5	4		присутствие
присутствие-72	присутствие-73	annotator1	4		присутствие
присутствие-72	присутствие-73	annotator2	4		присутствие
присутствие-72	присутствие-73	annotator3	3		присутствие
присутствие-72	присутствие-73	annotator4	1		присутствие
присутствие-72	присутствие-73	annotator5	4		присутствие
присутствие-74	присутствие-75	annotator1	1		присутствие
присутствие-74	присутствие-75	annotator2	1		присутствие
присутствие-74	присутствие-75	annotator3	3		присутствие
присутствие-74	присутствие-75	annotator4	1		присутствие
присутствие-74	присутствие-75	annotator5	2		присутствие
