lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
присутствие	NOUN	1918-1990	2	присутствие-0		"Почувствовав" присутствие металла, искатель подает сигнал -- и сразу же включается пульверизатор.	15:26	0:98
присутствие	NOUN	1918-1990	2	присутствие-1		Познание Бога совершается не рассудком, а переживанием в себе присутствия Божия, что приведет к опытному постижению Божественного Существа.	62:73	0:139
присутствие	NOUN	1682-1916	1	присутствие-2		(Служа за переводчика, я перевел эту фразу мосье Дэле, и он очень обиделся, главным образом сравнением с Эрколе, одно присутствие которого его всегда стесняло.)	118:129	0:160
присутствие	NOUN	1918-1990	2	присутствие-3		Присутствие их на той или иной стороне большей частью зависело от случайных географических причин.	0:11	0:98
присутствие	NOUN	1682-1916	1	присутствие-4		-- Мы же не можем так думать, мы же молимся, чувствуем живое присутствие Бога.	61:72	0:78
присутствие	NOUN	1918-1990	2	присутствие-5		Сказывано в присутствии ЕЯ ИМПЕРАТОРСКАГО ВЕЛИЧЕСТВА в Архангельском соборе 1775 года Ноября 8 дня.	12:23	0:99
присутствие	NOUN	1918-1990	2	присутствие-6		Присутствия моего никто не стеснялся, когда я был поменьше.	0:11	0:59
присутствие	NOUN	1918-1990	2	присутствие-7		Насчет присутствия в палатке для переговоров сказали, что об этом не может быть и речи.	7:18	0:87
присутствие	NOUN	1682-1916	1	присутствие-8		Боясь того, что он заслышал наше присутствие и пользуясь освещением, я быстро взял на маяк и спустил курок.	33:44	0:107
присутствие	NOUN	1682-1916	1	присутствие-9		Государь, несмотря на то, что это было в присутствии придворных, с нетерпением открыл шкатулку, сломав замок.	41:52	0:109
присутствие	NOUN	1682-1916	1	присутствие-10		В присутствии Алешковского какой-то старый большевик рассказывал: -- Шла гражданская война на Украине.	2:13	0:102
присутствие	NOUN	1918-1990	2	присутствие-11		И я вас прошу, чем сулить освобождение из тюрьмы в будущем, освободите теперь нас от вашего присутствия.	92:103	0:104
присутствие	NOUN	1918-1990	2	присутствие-12		В присутствии Коли я сказала А. И.: "Боюсь, чтобы не умерла у нас тетенька.	2:13	0:75
присутствие	NOUN	1918-1990	2	присутствие-13		Иные ретрограды, не имеющие и понятия о правилах приличия, принюхивались иногда в присутствии Данилова к атмосфере и шептали раздраженно: "Фу ты!	82:93	0:145
присутствие	NOUN	1682-1916	1	присутствие-14		В присутствии Невзгодина она вдруг почувствовала ее пошловатость и дурной тон.	2:13	0:78
присутствие	NOUN	1682-1916	1	присутствие-15		Так как я очень привык и очень люблю его, так как я до сих пор еще не могу себе представить себя где-нибудь за границей без его услуг и присутствия около меня, то мне трудно в настоящую минуту проектировать какое бы то ни было отдаленное путешествие.	136:147	0:250
присутствие	NOUN	1682-1916	1	присутствие-16		В присутствии всегда легче.	2:13	0:27
присутствие	NOUN	1918-1990	2	присутствие-17		С этим, спустив с плеча шинель, чтобы показать генеральские эполеты, государь велел молодому человеку идти под арест на главную гауптвахту и ждать там приказаний, а сам, воротясь во дворец, послал за графом Клейнмихелем, в присутствии которого вытребовал перед себя офицера.	223:234	0:274
