lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
прозвище	NOUN	1918-1990	2	прозвище-0		У нас теперь возле дома -- кафе-модерн, а в нем буфет, а в буфете красивая буфетчица, прозвище -- Болонья.	86:94	0:106
прозвище	NOUN	1918-1990	2	прозвище-1		Мы не раз потом называли В. Ю. этим прозвищем, оно отражало что-то в его острокритической натуре.	36:45	0:97
прозвище	NOUN	1918-1990	2	прозвище-2		-- Читал дедко, будто у меня два прозвища.	33:41	0:42
прозвище	NOUN	1918-1990	2	прозвище-3		Другой особенностью Поливанова была страсть к животным, в частности к птицам, за что другим прозвищем его было Pierre loiseau.	92:101	0:126
прозвище	NOUN	1682-1916	1	прозвище-4		...Аня Пугачева по прозвищу Анка-хулиганка всю жизнь водилась только с мальчишками, с детства, и не вообще с мальчишками, а вот с такими, как Игорь Сапрыкин и Сережа Лазарев, отпавшими от учения и не второгодниками только потому, что их на второй год не оставляли, несмотря на то что они решительно все для этого делали.	19:27	0:320
прозвище	NOUN	1918-1990	2	прозвище-5		Два молодыхъ парня, въ форменныхъ сюртукахъ, подзывали по очереди больныхъ и записывали имена, прозвища и лта пацентовъ.	95:103	0:120
прозвище	NOUN	1918-1990	2	прозвище-6		Прозвище одного из них было Длинноухий, другого -- Головешка.	0:8	0:61
прозвище	NOUN	1918-1990	2	прозвище-7		На лесоповале Наш бригадир -- блатарь Костик по прозвищу Артист -- существо довольно просвещенное.	48:56	0:98
прозвище	NOUN	1682-1916	1	прозвище-8		А Ванька остался без прозвища свинячьего.	21:29	0:41
прозвище	NOUN	1682-1916	1	прозвище-9		Он пишет почти исключительно по-латыни; пишет поэмы, рассуждения, речи -- все, что требуется от гуманиста; он преклоняется перед древними классиками и почитает их творения; он так вчитался в цицероновский стиль, что сумел перенять его, за что и получил двусмысленное прозвище цицероновской обезьяны; он неутомимо собирает древние рукописи и первый начинает сличать их, чтобы установить лучшее чтение; чтобы обогатить свои познания, он уже стариком чуть не каждый день ходит за Арно к Марсильи.	267:275	0:493
прозвище	NOUN	1918-1990	2	прозвище-10		А старуха, по прозвищу Шапокляк, тут как тут -- сидит с другой бабкой на скамейке не так далеко от гаражей.	14:22	0:107
прозвище	NOUN	1918-1990	2	прозвище-11		Имеется любопытное объяснение, почему Никола (покровитель мореходства) имеет титул или прозвище -- "скорый помощник".	87:95	0:117
