lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
пружина	NOUN	1682-1916	1	пружина-0		-- Ты еще не заметил в нем лучшего, -- молвил я, -- это полка с пружиною новой кубачинской выдумки: пожми огниво -- из него отпадет на полку золоченая покрышка, чтобы порох не развеялся и не отсырел, а при выстреле она сама входит в прежнее место.	64:72	0:247
пружина	NOUN	1682-1916	1	пружина-1		Заржавевшая от долгого неупотребления, тайная пружина не поддавалась; много усилий нужно было употребить, чтоб заставить ее повиноваться.	46:53	0:137
пружина	NOUN	1918-1990	2	пружина-2		Пружина развернется -- и тогда.	0:7	0:31
пружина	NOUN	1918-1990	2	пружина-3		Въ остальномъ работа частей пулемета будетъ та же, что и при отвод затворной рамы назадъ за рукоятку, но, такъ какъ спусковой крючекъ нажатъ, затворная рама не остановится въ заднемъ положенiи на боевомъ взвод, а, отойдя назадъ до отказа, дйствiемъ возвратно-боевой пружины тотчасъ устремится впередъ; затворъ вытолкнетъ новый патронъ изъ прiемника магазина и дошлетъ его въ патронникъ, ударникъ разобьетъ капсюль; произойдетъ новый автоматическiй выстрлъ.	266:273	0:456
пружина	NOUN	1918-1990	2	пружина-4		Пружины приоткрытого рояля трещали и вздрагивали, точно от боли.	0:7	0:64
пружина	NOUN	1918-1990	2	пружина-5		Наконец, повозились, потрещали пружинами и успокоились.	31:40	0:55
пружина	NOUN	1682-1916	1	пружина-6		Пружины сломались, меха продырявились, шкуры облезли, из брюха висела гнилая мочала -- и жалкими казались теперь грозные некогда львы российских самодержцев.	0:7	0:157
пружина	NOUN	1682-1916	1	пружина-7		С той минуты, как Пьер увидел это страшное убийство, совершенное людьми, не хотевшими этого делать, в душе его как будто вдруг выдернута была пружина, на которой все держалось и представлялось живым, и все завалилось в кучу бессмысленного сора.	142:149	0:244
пружина	NOUN	1682-1916	1	пружина-8		А вот не получается -- картина моей жизни без ссылки на эту организацию вышла бы неполной, а пружины некоторых сюжетов -- невыясненными и загадочными.	93:100	0:150
пружина	NOUN	1918-1990	2	пружина-9		В ней поселилось теперь твердое убеждение, что это так, хотя существенных доказательств она никаких не имела и не могла разгадать всех нитей и пружин этой дьявольской интриги.	143:149	0:175
пружина	NOUN	1682-1916	1	пружина-10		А иногда за облаками лиц, за облаками глаз вам чудились хитроумные, полные научной тайны чертежи, постройки рока; и слова и дела были какой-то облачной зарей, харей и личиной на многоугольнике, пружине рока.	194:201	0:207
