identifier1	identifier2	annotator	judgment	comment	lemma
публика-12-12	публика-13-12	annotator1	4		публика
публика-30-12	публика-31-12	annotator1	4		публика
публика-98-12	публика-99-12	annotator1	2		публика
публика-80-12	публика-81-12	annotator1	4		публика
публика-32-12	публика-33-12	annotator1	4		публика
публика-100-12	публика-101-12	annotator1	4		публика
публика-28-12	публика-29-12	annotator1	4		публика
публика-102-12	публика-103-12	annotator1	4		публика
публика-70-12	публика-71-12	annotator1	4		публика
публика-26-12	публика-27-12	annotator1	4		публика
публика-104-12	публика-105-12	annotator1	4		публика
публика-68-12	публика-69-12	annotator1	4		публика
публика-36-12	публика-37-12	annotator1	4		публика
публика-16-12	публика-17-12	annotator1	4		публика
публика-66-12	публика-67-12	annotator1	2		публика
публика-46-12	публика-47-12	annotator1	4		публика
публика-18-12	публика-19-12	annotator1	4		публика
публика-22-12	публика-23-12	annotator1	4		публика
публика-62-12	публика-63-12	annotator1	4		публика
публика-74-12	публика-75-12	annotator1	3		публика
публика-0-12	публика-1-12	annotator1	4		публика
публика-60-12	публика-61-12	annotator1	3		публика
публика-78-12	публика-79-12	annotator1	3		публика
публика-48-12	публика-49-12	annotator1	2		публика
публика-34-12	публика-35-12	annotator1	4		публика
публика-58-12	публика-59-12	annotator1	4		публика
публика-50-12	публика-51-12	annotator1	4		публика
публика-54-12	публика-55-12	annotator1	3		публика
публика-56-12	публика-57-12	annotator1	4		публика
публика-20-12	публика-21-12	annotator1	2		публика
публика-52-12	публика-53-12	annotator1	4		публика
публика-64-12	публика-65-12	annotator1	4		публика
публика-72-12	публика-73-12	annotator1	4		публика
публика-38-12	публика-39-12	annotator1	4		публика
публика-24-12	публика-25-12	annotator1	4		публика
публика-76-12	публика-77-12	annotator1	4		публика
публика-40-12	публика-41-12	annotator1	4		публика
публика-110-12	публика-111-12	annotator1	3		публика
публика-114-12	публика-115-12	annotator1	4		публика
публика-112-12	публика-113-12	annotator1	4		публика
публика-90-12	публика-91-12	annotator1	4		публика
публика-2-12	публика-3-12	annotator1	4		публика
публика-94-12	публика-95-12	annotator1	4		публика
публика-82-12	публика-83-12	annotator1	1		публика
публика-116-12	публика-117-12	annotator1	3		публика
публика-42-12	публика-43-12	annotator1	3		публика
публика-10-12	публика-11-12	annotator1	4		публика
публика-8-12	публика-9-12	annotator1	4		публика
публика-4-12	публика-5-12	annotator1	4		публика
публика-88-12	публика-89-12	annotator1	3		публика
публика-108-12	публика-109-12	annotator1	4		публика
публика-84-12	публика-85-12	annotator1	4		публика
публика-118-12	публика-119-12	annotator1	3		публика
публика-96-12	публика-97-12	annotator1	4		публика
публика-92-12	публика-93-12	annotator1	4		публика
публика-44-12	публика-45-12	annotator1	4		публика
публика-86-12	публика-87-12	annotator1	4		публика
публика-6-12	публика-7-12	annotator1	4		публика
публика-14-12	публика-15-12	annotator1	4		публика
публика-106-12	публика-107-12	annotator1	4		публика
