lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
публика	NOUN	1682-1916	1	публика-0		-- Водички можно -- мучительными жестами, нелепо куда-то под мышку подсовывая автомат, он попытался объяснить "фирменной" публике всю скромность своего желания.	122:129	0:160
публика	NOUN	1918-1990	2	публика-1		Я бросился за ним, чтобы провести его в ложу директора, предполагая, что он хочет показаться публике; но вдруг вижу, что он спешит вон из театра.	93:100	0:145
публика	NOUN	1682-1916	1	публика-2		-- Извиняю! -- пробасил Деревяшкин и, победоносно взглянув на всю публику, сел.	66:73	0:79
публика	NOUN	1682-1916	1	публика-3		Снисходя (при публике в зале) к слабостям художника, он все-таки ждет, что если не рисунки, то хоть самые темы будут ему возвращены, так как они -- плод сильной мозговой работы.	14:21	0:177
публика	NOUN	1682-1916	1	публика-4		-- Кобылу не для чего, потому пороть, значит, не будут, а только так, для близиру одного, чтобы публике, значит, пример.	96:103	0:120
публика	NOUN	1682-1916	1	публика-5		Давно уже чувствуется в нашей публике потребность в обстоятельных сведениях о происходящих в здешней столице драках, а между тем органа, который удовлетворял бы таковому справедливому во всех отношениях желанию, или вовсе нет, или же существуют такие, которые затемняют дело ненужными философическими размышлениями.	30:37	0:315
публика	NOUN	1918-1990	2	публика-6		-- Я эту публику знаю, -- говорит Уфимцев, -- сам до армии баловался чуть-чуть.	9:16	0:79
публика	NOUN	1918-1990	2	публика-7		Публика наэлектризована, но не столько речами ораторов, сколько ожиданием, что вот-вот что-то должно произойти на улице.	0:7	0:120
публика	NOUN	1682-1916	1	публика-8		Публика, утепленная шубами, полушубками, шинелями и валенками, изумленно ахнула и поднялась, когда оркестранты появились на эстраде.	0:7	0:132
публика	NOUN	1918-1990	2	публика-9		Лотерея-аллегри Лотерея-аллегри, устроенная вчера в городском драматическом театре для усиления средств Общества скорой медицинской помощи (на постройку станции и поставку второй дежурной кареты), собрала массу публики.	211:218	0:219
публика	NOUN	1682-1916	1	публика-10		Публика в кафе и на улицах одета со вкусом, хотя и несколько экстравагантно.	0:7	0:76
публика	NOUN	1918-1990	2	публика-11		Суд таких читателей и любовь их есть настоящая награда писателю, и вкус большой публики никогда не ошибается, несмотря на замалчивание того или другого произведения критикой.	80:87	0:174
публика	NOUN	1682-1916	1	публика-12		Публика заволновалась.	0:7	0:22
публика	NOUN	1918-1990	2	публика-13		Мы можемъ только напомнить нашимъ читателямъ о знакомомъ русской публик сочинени Прескотта объ этой стран.	65:71	0:106
публика	NOUN	1682-1916	1	публика-14		Публика здоровалась со своим кумиром.	0:7	0:37
публика	NOUN	1918-1990	2	публика-15		Совершенно закрыты для публики следующие здания: дворцы Виндзорский, Кенсингтонский и Гэмптонкуртский, подвальные помещения галереи Тэта и Национальной, помещения для хранения драгоценности в Тоуере, а равно в музее Виктории и Альберта, коллекции частных лиц, керамические коллекции, рафаэлевские картины и коллекции Дарвина и Сольпинга.	23:30	0:337
публика	NOUN	1682-1916	1	публика-16		Публика и артисты (Изъ воспоминанй театральнаго лтописца) Разъ какъ-то, въ Бордо, актеръ Оноре игралъ роль другаго актера, Бернара Леонъ.	0:7	0:137
публика	NOUN	1682-1916	1	публика-17		Публика считает маленькие пьесы г. Успенского заслуживающими внимания.	0:7	0:70
публика	NOUN	1918-1990	2	публика-18		Публика идет хорошо, в первый же день прошло около 5000 человек.	0:7	0:64
публика	NOUN	1918-1990	2	публика-19		Среди публики смятение, задние давят на передних, передние наваливаются на стол, сбивают пружинку с кристалла.	6:13	0:110
публика	NOUN	1682-1916	1	публика-20		Публика прогуливается и снует туда-сюда по каким-то своим таинственным делам.	0:7	0:77
публика	NOUN	1918-1990	2	публика-21		Обычная удачливость мудрецов и на этот раз сказалась во всей силе, ибо им достаточно было одной минуты общего увлечения, чтобы, в глазах публики, в несчетный раз проделать самый заурядный и всем надоевший фокус.	137:144	0:211
публика	NOUN	1682-1916	1	публика-22		Публика разражалась бурными аплодисментами и бесконечно вызывала его.	0:7	0:69
