identifier1	identifier2	annotator	judgment	comment	lemma
свалка-0	свалка-1	annotator1	3		свалка
свалка-0	свалка-1	annotator2	2		свалка
свалка-0	свалка-1	annotator3	2		свалка
свалка-0	свалка-1	annotator4	1		свалка
свалка-0	свалка-1	annotator5	1		свалка
свалка-2	свалка-3	annotator1	1		свалка
свалка-2	свалка-3	annotator2	1		свалка
свалка-2	свалка-3	annotator3	1		свалка
свалка-2	свалка-3	annotator4	1		свалка
свалка-2	свалка-3	annotator5	4		свалка
свалка-4	свалка-5	annotator1	0		свалка
свалка-4	свалка-5	annotator2	4		свалка
свалка-4	свалка-5	annotator3	4		свалка
свалка-4	свалка-5	annotator4	4		свалка
свалка-4	свалка-5	annotator5	4		свалка
свалка-6	свалка-7	annotator1	1		свалка
свалка-6	свалка-7	annotator2	1		свалка
свалка-6	свалка-7	annotator3	1		свалка
свалка-6	свалка-7	annotator4	1		свалка
свалка-6	свалка-7	annotator5	1		свалка
свалка-8	свалка-9	annotator1	1		свалка
свалка-8	свалка-9	annotator2	1		свалка
свалка-8	свалка-9	annotator3	1		свалка
свалка-8	свалка-9	annotator4	1		свалка
свалка-8	свалка-9	annotator5	1		свалка
свалка-10	свалка-11	annotator1	1		свалка
свалка-10	свалка-11	annotator2	4		свалка
свалка-10	свалка-11	annotator3	1		свалка
свалка-10	свалка-11	annotator4	1		свалка
свалка-10	свалка-11	annotator5	1		свалка
свалка-12	свалка-13	annotator1	4		свалка
свалка-12	свалка-13	annotator2	4		свалка
свалка-12	свалка-13	annotator3	4		свалка
свалка-12	свалка-13	annotator4	3		свалка
свалка-12	свалка-13	annotator5	4		свалка
свалка-14	свалка-15	annotator1	3		свалка
свалка-14	свалка-15	annotator2	1		свалка
свалка-14	свалка-15	annotator3	1		свалка
свалка-14	свалка-15	annotator4	3		свалка
свалка-14	свалка-15	annotator5	4		свалка
свалка-16	свалка-17	annotator1	4		свалка
свалка-16	свалка-17	annotator2	4		свалка
свалка-16	свалка-17	annotator3	3		свалка
свалка-16	свалка-17	annotator4	4		свалка
свалка-16	свалка-17	annotator5	4		свалка
свалка-18	свалка-19	annotator1	1		свалка
свалка-18	свалка-19	annotator2	3		свалка
свалка-18	свалка-19	annotator3	4		свалка
свалка-18	свалка-19	annotator4	2		свалка
свалка-18	свалка-19	annotator5	3		свалка
свалка-20	свалка-21	annotator1	1		свалка
свалка-20	свалка-21	annotator2	1		свалка
свалка-20	свалка-21	annotator3	1		свалка
свалка-20	свалка-21	annotator4	1		свалка
свалка-20	свалка-21	annotator5	1		свалка
свалка-22	свалка-23	annotator1	1		свалка
свалка-22	свалка-23	annotator2	3		свалка
свалка-22	свалка-23	annotator3	1		свалка
свалка-22	свалка-23	annotator4	4		свалка
свалка-22	свалка-23	annotator5	3		свалка
свалка-24	свалка-25	annotator1	2		свалка
свалка-24	свалка-25	annotator2	4		свалка
свалка-24	свалка-25	annotator3	1		свалка
свалка-24	свалка-25	annotator4	4		свалка
свалка-24	свалка-25	annotator5	1		свалка
свалка-26	свалка-27	annotator1	4		свалка
свалка-26	свалка-27	annotator2	3		свалка
свалка-26	свалка-27	annotator3	4		свалка
свалка-26	свалка-27	annotator4	4		свалка
свалка-26	свалка-27	annotator5	4		свалка
свалка-28	свалка-29	annotator1	4		свалка
свалка-28	свалка-29	annotator2	4		свалка
свалка-28	свалка-29	annotator3	1		свалка
свалка-28	свалка-29	annotator4	4		свалка
свалка-28	свалка-29	annotator5	4		свалка
свалка-30	свалка-31	annotator1	4		свалка
свалка-30	свалка-31	annotator2	1		свалка
свалка-30	свалка-31	annotator3	2		свалка
свалка-30	свалка-31	annotator4	1		свалка
свалка-30	свалка-31	annotator5	2		свалка
свалка-32	свалка-33	annotator1	1		свалка
свалка-32	свалка-33	annotator2	4		свалка
свалка-32	свалка-33	annotator3	1		свалка
свалка-32	свалка-33	annotator4	4		свалка
свалка-32	свалка-33	annotator5	3		свалка
свалка-34	свалка-35	annotator1	4		свалка
свалка-34	свалка-35	annotator2	4		свалка
свалка-34	свалка-35	annotator3	4		свалка
свалка-34	свалка-35	annotator4	4		свалка
свалка-34	свалка-35	annotator5	4		свалка
свалка-36	свалка-37	annotator1	1		свалка
свалка-36	свалка-37	annotator2	3		свалка
