lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
свалка	NOUN	1682-1916	1	свалка-0		"Траур в 24 часа" -- оригинальная декорация свалки, где идет странная дуэль.	44:50	0:76
свалка	NOUN	1918-1990	2	свалка-1		На свалках не было никого, кроме двух-трёх стариков, таких же, как Еремей, здесь не нужно было оглядываться по сторонам, ожидая дворника с метлой руках, который явится, обругает нехорошими словами а ещё и ударит, выгоняя со двора.	3:10	0:230
свалка	NOUN	1682-1916	1	свалка-2		-- На свалку! -- ясным и решительным, но несколько грубым голосом сказал кто-то в толпе.	6:12	0:88
свалка	NOUN	1918-1990	2	свалка-3		Мне очистили дорогу, и я свободно дошел до места свалки, где увидел обоих немцев, сидящих на тротуаре, перед лавками и, по-видимому, сильно помятых.	49:55	0:148
свалка	NOUN	1918-1990	2	свалка-4		свалка.	0:6	0:7
свалка	NOUN	1918-1990	2	свалка-5		В такие дни часто происходят свалки и драки, кончающиеся нанесением ушибов или увечий.	29:35	0:86
свалка	NOUN	1682-1916	1	свалка-6		А потом вагоны вывезли за город и содержимое выбросили на свалку.	58:64	0:65
свалка	NOUN	1918-1990	2	свалка-7		Ведь уж там началась свалка -- была бы работа мечу дедовскому!	21:27	0:62
свалка	NOUN	1682-1916	1	свалка-8		В нем черным по белому написано: "Свалка взрывчатых веществ".	34:40	0:61
свалка	NOUN	1918-1990	2	свалка-9		То-то была свалка!..	11:17	0:20
свалка	NOUN	1918-1990	2	свалка-10		В это время железнодорожники появились из-за своих укрытий в разных концах свалки и начали наступление.	75:81	0:103
свалка	NOUN	1918-1990	2	свалка-11		Неожиданно один из нападавших упал, товарищи едва успели вытащить раненого из свалки.	78:84	0:85
свалка	NOUN	1682-1916	1	свалка-12		Вокруг второго орудия шла свалка, раздавались выстрелы, сверкали шашки.	26:32	0:71
свалка	NOUN	1682-1916	1	свалка-13		-- Бейте холуев!" -- "Сюда, молодцы, сюда! -- заревели дворовые, -- катайте сермяжников!" Противники кинулись друг на друга, обе стороны смешались, и началась ужасная свалка.	167:173	0:174
свалка	NOUN	1682-1916	1	свалка-14		Волк не устоял противу первого напора приемистых и свычных с делом бойцов: он оробел, ощелкнулся и пошел наутек, но Крылат и Обругай повисли на нем; наши собаки подоспели, скучились, и свалка сделалась общею; прежде, однако ж, чем мы успели подскакать, волк стряхнул с себя кучу собак и, ощетинясь, сел в кружку, страшно сверкая глазами; подле него катался по земле Обругай, с прокушенным боком.	185:191	0:395
свалка	NOUN	1682-1916	1	свалка-15		Гарибальдийские забияки вынесли своего достойного товарища из свалки, отдали его куда-то в госпиталь, и вот, через несколько лет, Максим неожиданно явился в дом своей сестры, где и остался.	62:68	0:189
свалка	NOUN	1918-1990	2	свалка-16		Впрочем, точнее, свалка тянулась не до самого горизонта: по горизонту она была оторочена капустным полем, -- но сизо-серый налет дня на всем и сокращенная моросью видимость совершенно почти уравнивала капусту с консервными банками: во всяком случае, впечатление, что банки эти посеяны и произрастали в этом аду, как раз и выводилось из предполагаемого наличия капусты на самом горизонте.	17:23	0:387
свалка	NOUN	1918-1990	2	свалка-17		Поблизости есть небольшая творческая дача, и шофер, высаживая меня на шоссе, в полной уверенности, что я иду туда, но я прохожу мимо, пересекаю небольшой лесок и попадаю к одной из городских свалок.	191:197	0:198
свалка	NOUN	1918-1990	2	свалка-18		Где именно жгли все эти беззвучные мольбы, рыдания, эти бессонные ночи -- за городом ли, в городе ли на особой свалке Этого я до сих пор не знаю.	111:117	0:145
свалка	NOUN	1918-1990	2	свалка-19		В самом деле -- какой-то нож фигурировал над свалкой.	45:52	0:53
свалка	NOUN	1918-1990	2	свалка-20		Герц был разочарован: если теория Максвелла является универсальной, то, выходит, все теории великих немецких физиков, в течение десятилетий считавшихся в Европе непревзойденными электродинамиками, необходимо сдать на историческую свалку.	230:236	0:237
свалка	NOUN	1918-1990	2	свалка-21		"Вожди" кинутся править, подсиживать станут друг друга, будет общая свалка, склока, а у вас нет никакой организации.	68:74	0:116
свалка	NOUN	1682-1916	1	свалка-22		Евгеша и Виктор не могли с ним сладить: он так дрался ногами, что чуть не разбил им носы; завязалась такая свалка, что Робинзон, быстро превратившийся в брата Андрея, перескочил стулья и объяснил, что если Ипполит не даст себя сжарить, то он немедленно выгонит его из игры; если же, напротив, он будет съеден, то никто не помешает ему продолжать играть, так как теперь его имя "Боевое перо", "Боевое перо" и съедят, а он будет потом продолжать играть под именем "Змеиный зуб", и это будет он же, но совсем другой дикарь, который приедет с новыми лодками и начнет настоящую войну против Робинзона.	107:113	0:596
свалка	NOUN	1682-1916	1	свалка-23		Начал говорить ему о причинах унижения человека, о злой борьбе за кусок хлеба, о невозможности сохранить себя в стороне от этой свалки, о справедливости жизни, нещадно карающей того, кто только берёт у неё и ничего не хочет отдать из души своей.	128:134	0:245
свалка	NOUN	1682-1916	1	свалка-24		Ждали выхода тех, кто в зале остался, чтобы продолжать с ними свалку на улице.	62:68	0:78
свалка	NOUN	1918-1990	2	свалка-25		Работа была брошена, и на барке происходила настоящая свалка.	54:60	0:61
свалка	NOUN	1682-1916	1	свалка-26		Защита, может быть, будет утверждать, что тут была простая драка и раны нанесены в пылу обоюдной свалки.	97:103	0:104
свалка	NOUN	1682-1916	1	свалка-27		Под местечком Миром была первая свалка у кавалеристов, начали казаки и кончили Александровской и Ахтырской гусарския полки, где последний отличился храбростью.	32:38	0:159
свалка	NOUN	1682-1916	1	свалка-28		И в то же мгновение Тарханларову показалось, что в зале началась непостижимая свалка.	78:84	0:85
свалка	NOUN	1682-1916	1	свалка-29		Повторилась прежняя свалка, сухари вырывались из рук друг у друга, рассыпались по земляному полу и никому не достались.	20:26	0:119
свалка	NOUN	1682-1916	1	свалка-30		И вот случилось в этой свалке, что названный Инграм, в защиту жизни своей, вышеупомянутым кинжалом стоимостью в 12 пенсов нанес названному Кристоферу Марло смертельную рану повыше правого глаза глубиной в два дюйма и шириной в дюйм; от каковой смертельной раны названный Кристофер Марло тут же немедленно скончался".	23:29	0:316
свалка	NOUN	1918-1990	2	свалка-31		Кишкин подсел на свалку и с час наблюдал, как работали старатели.	17:23	0:65
свалка	NOUN	1682-1916	1	свалка-32		И всегда, слыша какую-нибудь свалку и шум, русский не утерпит.	29:35	0:62
свалка	NOUN	1682-1916	1	свалка-33		И именно хочется среди этой свалки подслушать голоса будущего и человечности.	28:34	0:77
свалка	NOUN	1682-1916	1	свалка-34		И, оглушая друг друга неистовыми криками, люди сплелись в безобразной свалке.	70:76	0:77
свалка	NOUN	1682-1916	1	свалка-35		Начался крик, свалка; рабочие кинулись за чашками, лежащими под печкой.	14:20	0:71
свалка	NOUN	1682-1916	1	свалка-36		Какая-то щемящая унылость, сопровождаемая полным отсутствием естественности и искренности, слышится мне и в базарном гвалте, и во всех бряцаниях, составляющих внешнюю обстановку современной хищнической свалки.	202:208	0:209
свалка	NOUN	1682-1916	1	свалка-37		Затем мое сторожкое ухо заслышало глухой и пугающий шум ожесточенной свалки.	69:75	0:76
свалка	NOUN	1682-1916	1	свалка-38		Матюшкин на полях проекта заметил: "Ежели не остается ни зерна пороха и ни одного снаряда, то остается еще свалка или абордаж..."	107:113	0:129
свалка	NOUN	1918-1990	2	свалка-39		Среди крика, шума и свалки послышались удары и отчаянные вопли.	20:26	0:63
свалка	NOUN	1682-1916	1	свалка-40		Мировой судья ударил пастуха, тот ответил тем же, и свалка кончилась тем, что несчастный пастух был застрелен из револьвера.	52:58	0:124
свалка	NOUN	1682-1916	1	свалка-41		Но если среди пения многолетий и духовных песен, в то самое время, когда сто человек заняты молитвой, в самую середину их впятится зад жандармской лошади, ежеминутно угрожающей ударить молящихся "задом", -- то и на полном просторе может произойти свалка и смертоубийство, так как и в первом, и во втором, и в несчетном множестве других белебеевских случаев такого же сорта -- в самом корне их лежит отсутствие причин, доступных пониманию.	247:253	0:438
свалка	NOUN	1918-1990	2	свалка-42		Многие сходили к центру города, где уже два дня происходили манифестации и свалки по поводу грандиозного финансового скандала.	75:81	0:126
свалка	NOUN	1918-1990	2	свалка-43		Поток направлялся к свалке.	20:26	0:27
свалка	NOUN	1682-1916	1	свалка-44		На свалке находили кошельки с деньгами, золотые кольца, радиоприемники, магнитофоны, ковры в еще хорошем состоянии, кресла.	3:9	0:123
свалка	NOUN	1918-1990	2	свалка-45		Но в общей свалке Хомяк не разглядел его лица, да, впрочем, в Митькиной наружности не было ничего примечательного.	11:17	0:114
свалка	NOUN	1918-1990	2	свалка-46		На свалку, в костер всю вредную литературу, уводящую нас от действительности!"	3:9	0:78
свалка	NOUN	1918-1990	2	свалка-47		Жил на свалке с Галей.	7:13	0:22
свалка	NOUN	1682-1916	1	свалка-48		На поворотах автобусы накреняются то вправо, то влево, нас бросает друг на друга, получается веселая свалка и делегатки звонко и заразительно хохочут.	101:107	0:150
свалка	NOUN	1918-1990	2	свалка-49		Описывать это сражение здесь неуместно, да и не умел бы этого сделать, ибо не видал подробностей кровавой свалки.	106:112	0:113
свалка	NOUN	1918-1990	2	свалка-50		На улице шла свалка.	13:19	0:20
свалка	NOUN	1918-1990	2	свалка-51		Зато гораздо легче себе представить, что случилось бы с каким-нибудь провинциальным теоретиком пролетарской философии, если бы он, встретившись с Асланом, попытался бы ему втолковать, что его место на свалке истории.	201:207	0:216
свалка	NOUN	1682-1916	1	свалка-52		Началась свалка, однако хозяин меня отпустил.	9:15	0:45
свалка	NOUN	1682-1916	1	свалка-53		На шум общей свалки прибежало еще трое старичков.	13:19	0:49
свалка	NOUN	1918-1990	2	свалка-54		Началась свалка: муравьи привстали на четырех задних ногах, поднимая переднюю пару и стараясь вцепиться челюстями в шею противника и перегрызть ее.	9:15	0:147
свалка	NOUN	1918-1990	2	свалка-55		Из беседы с жителями поселка Тимохово -- Свалка появилась здесь лет 15 назад.	41:47	0:77
свалка	NOUN	1682-1916	1	свалка-56		Начинается свалка, но длится она недолго, ибо Себастьяну одному не совладать с противниками.	11:17	0:92
свалка	NOUN	1918-1990	2	свалка-57		И там японцы, перувианцы, и белые, и черные люди толкутся в общей свалке; но там все племена и народности сошлись в нравственном тяготении к чему-то общему, чего нехватает в обиходе их национальностей, но что пленяет их в обиходе, тоне и общем смысле французской жизни; там есть что-то высшее, что-то стоящее над этим черным, белым, перувианским и японским, что-то связующее разнородные национальности в общей идее; здесь только толкучка разных людей, разных племен, разных вер, не имеющих между собою никакой связи, смотрящих каждый в свой угол и связанных только улицей, по которой не возбраняется ходить и ездить кому угодно.	66:72	0:628
свалка	NOUN	1682-1916	1	свалка-58		Невольно приходило на память пушкинское: "О поле, поле, кто тебя усеял мертвыми костями" Это было похоже либо на битву разных животных, либо на кладбище, а вернее на свалку.	166:172	0:173
свалка	NOUN	1918-1990	2	свалка-59		Посл моего заявленя лейтенанту Таваока, что если онъ не прекратитъ разнузданности его подчиненныхъ, то можетъ произойти такая свалка, что и они и мы въ ней погибнемъ -- онъ немедленно отдалъ какое то распоряжене, посл котораго японске матросы моментально смирились.	126:132	0:265
свалка	NOUN	1682-1916	1	свалка-60		Некоторые ребята, чтоб не поранить ноги, привязывали к ногам старые, найденные на свалке галоши.	82:88	0:96
свалка	NOUN	1918-1990	2	свалка-61		Стыпуло после этого уверял недавних товарищей, что он выставил евреев единственными виновниками свалки.	96:102	0:103
свалка	NOUN	1918-1990	2	свалка-62		Но вскоре он увидел, что зло серьезней, чем казалось ему, и он возмущался этим бешеным натиском власти и лжи, а потом с ужасом понял, что его или перевоспитают, или просто выбросят на свалку истории (в лучшем случае), и, пометавшись в разные стороны, а также под влиянием жены стал проявлять признаки жизни и энтузиазма.	184:190	0:320
свалка	NOUN	1918-1990	2	свалка-63		Еще он после свалки не остыл.	13:19	0:29
свалка	NOUN	1682-1916	1	свалка-64		Но дело в том, что будь это даже всё Толстые, -- и они не могли бы остановить войну, потому что она коренится глубоко не в одних человеческих заблуждениях и пороках, но и в общественных условьях, вследствие которых и люди, совсем не склонные к убийству, видят, что идти защищать свое отечество в этой общей свалке народов приходится, что это нравственно неизбежно.	307:313	0:364
свалка	NOUN	1682-1916	1	свалка-65		Эти громадные отвалы и свалка верховика и перемывок, правильные квадраты глубоких выемок, где добывался золотоносный песок, бутара, приводимая в движение паровой машиной, новенькая контора на взгорье, а там, в глубине, дымки старательских огней, кучи свежего хвороста и движущиеся тачки рабочих -- все это было до того близкое, родное, кровное, что от немого восторга дух захватывало.	23:29	0:384
свалка	NOUN	1682-1916	1	свалка-66		Окся сваливала "пустяк" в тачку и отвозила в сторону, где уже желтела новая свалка.	76:82	0:83
свалка	NOUN	1682-1916	1	свалка-67		Константин Фарков посунулся носом, сел, а дюжина дравшихся вблизи медведей враз прекратили свалку, рявкнули и, бросив медведицу, -- враскорячку кто куда.	91:97	0:153
свалка	NOUN	1682-1916	1	свалка-68		Он очень любил проводить время на воде и быт сильным гребцом, но отказывался вступить в университетскую команду, хотя стоило завязаться баталии между студентами и лодочниками, чтобы он тотчас очутился среди самой горячей свалки.	221:227	0:228
свалка	NOUN	1682-1916	1	свалка-69		Ведь если бы это самое событие случилось у нас в Мемфисе (чего да вовеки не допустят египетские боги, совершенно независимо от вопроса о том, существуют ли они), пожар храма несомненно сопровождался бы свалкою, достойной диких зверей, свалкой, где сильный бьет и топчет слабого, мужчина женщину -- может быть, мать свою или дочь, или невесту, которая накануне, краснея, обещала в эту ночь подарить ему первую радость.	202:209	0:417
свалка	NOUN	1682-1916	1	свалка-70		Она не успела опомниться, как вокруг ее спины обвилась резким и спокойным усилием твердо отрывающая от земли рука; в то же время шум свалки отдалился, как если бы на нее бросили большое сукно.	133:139	0:192
свалка	NOUN	1918-1990	2	свалка-71		Эти деньги может дать и сам Рубашкин, как оправится, при случае! -- быстро добавилось у него в уме, а память подсказала, что в свалке кто-то еще ухватил его даже за шиворот и чуть ли, наконец, он не получил толчка по шее.	127:133	0:221
свалка	NOUN	1918-1990	2	свалка-72		Они его прижали к стене -- мне его не было видно, только долетал из свалки его захлебывающийся голос: "Вы обалдели!	68:74	0:115
свалка	NOUN	1918-1990	2	свалка-73		Многие батальоны так перемешались между собой, что в общей свалке нельзя было различить неприятеля от своих.	59:65	0:108
свалка	NOUN	1682-1916	1	свалка-74		Оп видел только начинающуюся у ворот свалку, и вдруг -- этот рев.	37:43	0:65
свалка	NOUN	1918-1990	2	свалка-75		А что они из себя представляют Их обоих кинула нынешняя жизнь в свалку и может закрутить так, что и на каторге очутишься.	64:70	0:121
свалка	NOUN	1682-1916	1	свалка-76		От монтажа "бочки" (эти кадры кажутся мне тоже эффектными: обширный пустырь, кое-какой урбанизм на горизонте -- три трубы дымят, какие-то свалки меж бурьянов, бурьяны пристелены ветром -- ветер обязателен! -- по мелким лужицам гонит рябь.	138:144	0:238
свалка	NOUN	1918-1990	2	свалка-77		Но вот раз сделалась у одних и других татар свалка, и Хабибулу ранили и схватили.	44:50	0:81
