identifier1	identifier2	annotator	judgment	comment	lemma
сволочь-0	сволочь-1	annotator1	4		сволочь
сволочь-0	сволочь-1	annotator2	4		сволочь
сволочь-0	сволочь-1	annotator3	4		сволочь
сволочь-0	сволочь-1	annotator4	4		сволочь
сволочь-0	сволочь-1	annotator5	2		сволочь
сволочь-2	сволочь-3	annotator1	1		сволочь
сволочь-2	сволочь-3	annotator2	3		сволочь
сволочь-2	сволочь-3	annotator3	3		сволочь
сволочь-2	сволочь-3	annotator4	3		сволочь
сволочь-2	сволочь-3	annotator5	3		сволочь
сволочь-4	сволочь-5	annotator1	3		сволочь
сволочь-4	сволочь-5	annotator2	4		сволочь
сволочь-4	сволочь-5	annotator3	2		сволочь
сволочь-4	сволочь-5	annotator4	4		сволочь
сволочь-4	сволочь-5	annotator5	4		сволочь
сволочь-6	сволочь-7	annotator1	4		сволочь
сволочь-6	сволочь-7	annotator2	4		сволочь
сволочь-6	сволочь-7	annotator3	4		сволочь
сволочь-6	сволочь-7	annotator4	4		сволочь
сволочь-6	сволочь-7	annotator5	4		сволочь
сволочь-8	сволочь-9	annotator1	4		сволочь
сволочь-8	сволочь-9	annotator2	3		сволочь
сволочь-8	сволочь-9	annotator3	1		сволочь
сволочь-8	сволочь-9	annotator4	4		сволочь
сволочь-8	сволочь-9	annotator5	3		сволочь
сволочь-10	сволочь-11	annotator1	4		сволочь
сволочь-10	сволочь-11	annotator2	2		сволочь
сволочь-10	сволочь-11	annotator3	4		сволочь
сволочь-10	сволочь-11	annotator4	3		сволочь
сволочь-10	сволочь-11	annotator5	3		сволочь
сволочь-12	сволочь-13	annotator1	4		сволочь
сволочь-12	сволочь-13	annotator2	4		сволочь
сволочь-12	сволочь-13	annotator3	4		сволочь
сволочь-12	сволочь-13	annotator4	4		сволочь
сволочь-12	сволочь-13	annotator5	4		сволочь
сволочь-14	сволочь-15	annotator1	1		сволочь
сволочь-14	сволочь-15	annotator2	3		сволочь
сволочь-14	сволочь-15	annotator3	4		сволочь
сволочь-14	сволочь-15	annotator4	4		сволочь
сволочь-14	сволочь-15	annotator5	4		сволочь
сволочь-16	сволочь-17	annotator1	4		сволочь
сволочь-16	сволочь-17	annotator2	4		сволочь
сволочь-16	сволочь-17	annotator3	4		сволочь
сволочь-16	сволочь-17	annotator4	4		сволочь
сволочь-16	сволочь-17	annotator5	4		сволочь
