lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
сволочь	NOUN	1682-1916	1	сволочь-0		"Против такой сволочи, -- говорили паны, -- не стоит тратить пуль: мы их плетьми разгоним по полю!"	14:21	0:99
сволочь	NOUN	1682-1916	1	сволочь-1		Я вас спрашиваю: что же мы Всякая сволочь имеет себе название, а мы...	34:41	0:70
сволочь	NOUN	1918-1990	2	сволочь-2		"Сего августа 9 дня,-- доносил писарь Злобин,-- приехав в село Малыковку известной злодейской шайки разной сволочи человек с 12 и во первых набрав во оном подобных себе злодеев села Малыковки дворцовых и экономических крестьян человек до 50-ти, начали разбивать питейные домы и, напився пьяны, чинили многое злодейство и в хороших крестьянских домах разбои, а сверх того г. казначею и всему его семейству, тако же его расходчику, села Воскресенского крестьянину Александре Васильеву и малыковскому жителю Ивану Терентьеву учинили смертное убийство, коих ругательски и повесили, чем устращивая привлекали малыковских первостатейных к питью вина и к поздравлению якобы Государя Петра Федоровича, т. е. государственного вора и злодея Пугачева, кои то и чинили, а сопротивления с ними, злодеями, за неимением никакой команды, чинить было некому, где тот день в Малыковке они и ночевали, а напоследок 10-го августа те злодеи, быв до полден и более и чиня.такое злодейство, сказали, что они с батюшкой Петром Федорычем, т. е. означенным злодеем, будут в Малыковку во вторник 12-го августа, и сказав, уехали обратно".	107:114	0:1110
сволочь	NOUN	1918-1990	2	сволочь-3		-- А ведь правы они, сволочи, -- тоскливо морщился Японец.	21:28	0:58
сволочь	NOUN	1918-1990	2	сволочь-4		-- Сволочь!!	3:10	0:12
сволочь	NOUN	1918-1990	2	сволочь-5		Нижним чинам, этой сопатой сволочи, еще простить можно, но вам..."	27:34	0:66
сволочь	NOUN	1918-1990	2	сволочь-6		-- Сволочь ты, Сашка, -- сказал Барабан, -- сволочь и паскудство.	3:10	0:65
сволочь	NOUN	1918-1990	2	сволочь-7		-- Сволочи, -- кричал он, -- уезжаете!	3:10	0:38
сволочь	NOUN	1682-1916	1	сволочь-8		-- А тебя, сволочь длинная, всю дорогу нагайкой буду гнать, чтоб ты не огрызался, погань проклятая.	11:18	0:99
сволочь	NOUN	1682-1916	1	сволочь-9		Легче со шведом и с туркой, чем с этою сволочью!	39:47	0:48
