identifier1	identifier2	annotator	judgment	comment	lemma
секция-34-12	секция-35-12	annotator1	2		секция
секция-80-12	секция-81-12	annotator1	1		секция
секция-66-12	секция-67-12	annotator1	3		секция
секция-94-12	секция-95-12	annotator1	4		секция
секция-68-12	секция-69-12	annotator1	1		секция
секция-24-12	секция-25-12	annotator1	1		секция
секция-70-12	секция-71-12	annotator1	4		секция
секция-36-12	секция-37-12	annotator1	1		секция
секция-58-12	секция-59-12	annotator1	4		секция
секция-46-12	секция-47-12	annotator1	3		секция
секция-96-12	секция-97-12	annotator1	3		секция
секция-12-12	секция-13-12	annotator1	4		секция
секция-48-12	секция-49-12	annotator1	3		секция
секция-50-12	секция-51-12	annotator1	1		секция
секция-16-12	секция-17-12	annotator1	4		секция
секция-10-12	секция-11-12	annotator1	3		секция
секция-52-12	секция-53-12	annotator1	4		секция
секция-72-12	секция-73-12	annotator1	2		секция
секция-54-12	секция-55-12	annotator1	1		секция
секция-56-12	секция-57-12	annotator1	3		секция
секция-8-12	секция-9-12	annotator1	1		секция
секция-26-12	секция-27-12	annotator1	3		секция
секция-74-12	секция-75-12	annotator1	3		секция
секция-112-12	секция-113-12	annotator1	1		секция
секция-6-12	секция-7-12	annotator1	4		секция
секция-84-12	секция-85-12	annotator1	4		секция
секция-76-12	секция-77-12	annotator1	1		секция
секция-82-12	секция-83-12	annotator1	3		секция
секция-2-12	секция-3-12	annotator1	1		секция
секция-4-12	секция-5-12	annotator1	1		секция
секция-92-12	секция-93-12	annotator1	4		секция
секция-62-12	секция-63-12	annotator1	1		секция
секция-78-12	секция-79-12	annotator1	4		секция
секция-38-12	секция-39-12	annotator1	4		секция
секция-108-12	секция-109-12	annotator1	2		секция
секция-110-12	секция-111-12	annotator1	4		секция
секция-18-12	секция-19-12	annotator1	1		секция
секция-28-12	секция-29-12	annotator1	4		секция
секция-114-12	секция-115-12	annotator1	1		секция
секция-14-12	секция-15-12	annotator1	1		секция
секция-116-12	секция-117-12	annotator1	3		секция
секция-44-12	секция-45-12	annotator1	2		секция
секция-30-12	секция-31-12	annotator1	3		секция
секция-86-12	секция-87-12	annotator1	1		секция
секция-118-12	секция-119-12	annotator1	4		секция
секция-98-12	секция-99-12	annotator1	1		секция
секция-20-12	секция-21-12	annotator1	2		секция
секция-100-12	секция-101-12	annotator1	4		секция
секция-32-12	секция-33-12	annotator1	4		секция
секция-60-12	секция-61-12	annotator1	1		секция
секция-102-12	секция-103-12	annotator1	3		секция
секция-88-12	секция-89-12	annotator1	1		секция
секция-104-12	секция-105-12	annotator1	1		секция
секция-22-12	секция-23-12	annotator1	4		секция
секция-64-12	секция-65-12	annotator1	4		секция
секция-106-12	секция-107-12	annotator1	4		секция
секция-0-12	секция-1-12	annotator1	1		секция
секция-42-12	секция-43-12	annotator1	2		секция
секция-90-12	секция-91-12	annotator1	2		секция
секция-40-12	секция-41-12	annotator1	1		секция
секция-96-12	секция-97-12	annotator2	3		секция
секция-14-12	секция-15-12	annotator2	4		секция
секция-72-12	секция-73-12	annotator2	4		секция
секция-88-12	секция-89-12	annotator2	2		секция
секция-94-12	секция-95-12	annotator2	4		секция
секция-84-12	секция-85-12	annotator2	4		секция
секция-90-12	секция-91-12	annotator2	4		секция
секция-86-12	секция-87-12	annotator2	1		секция
секция-92-12	секция-93-12	annotator2	2		секция
секция-50-12	секция-51-12	annotator2	3		секция
секция-80-12	секция-81-12	annotator2	1		секция
секция-108-12	секция-109-12	annotator2	4		секция
секция-112-12	секция-113-12	annotator2	1		секция
секция-114-12	секция-115-12	annotator2	4		секция
секция-116-12	секция-117-12	annotator2	3		секция
секция-106-12	секция-107-12	annotator2	1		секция
секция-98-12	секция-99-12	annotator2	1		секция
секция-100-12	секция-101-12	annotator2	4		секция
секция-102-12	секция-103-12	annotator2	4		секция
секция-104-12	секция-105-12	annotator2	3		секция
секция-118-12	секция-119-12	annotator2	2		секция
секция-58-12	секция-59-12	annotator2	3		секция
секция-60-12	секция-61-12	annotator2	1		секция
секция-76-12	секция-77-12	annotator2	3		секция
секция-62-12	секция-63-12	annotator2	1		секция
секция-66-12	секция-67-12	annotator2	2		секция
секция-68-12	секция-69-12	annotator2	1		секция
секция-46-12	секция-47-12	annotator2	4		секция
секция-0-12	секция-1-12	annotator2	1		секция
секция-48-12	секция-49-12	annotator2	2		секция
секция-52-12	секция-53-12	annotator2	1		секция
секция-54-12	секция-55-12	annotator2	1		секция
секция-56-12	секция-57-12	annotator2	2		секция
секция-70-12	секция-71-12	annotator2	4		секция
секция-44-12	секция-45-12	annotator2	4		секция
секция-78-12	секция-79-12	annotator2	3		секция
секция-82-12	секция-83-12	annotator2	4		секция
секция-64-12	секция-65-12	annotator2	1		секция
секция-16-12	секция-17-12	annotator2	4		секция
секция-74-12	секция-75-12	annotator2	4		секция
секция-110-12	секция-111-12	annotator2	4		секция
секция-2-12	секция-3-12	annotator2	1		секция
секция-12-12	секция-13-12	annotator2	3		секция
секция-32-12	секция-33-12	annotator2	1		секция
секция-40-12	секция-41-12	annotator2	1		секция
секция-4-12	секция-5-12	annotator2	4		секция
секция-24-12	секция-25-12	annotator2	3		секция
секция-30-12	секция-31-12	annotator2	2		секция
секция-38-12	секция-39-12	annotator2	4		секция
секция-6-12	секция-7-12	annotator2	4		секция
секция-8-12	секция-9-12	annotator2	1		секция
секция-22-12	секция-23-12	annotator2	2		секция
секция-36-12	секция-37-12	annotator2	1		секция
секция-28-12	секция-29-12	annotator2	4		секция
секция-42-12	секция-43-12	annotator2	4		секция
секция-34-12	секция-35-12	annotator2	3		секция
секция-26-12	секция-27-12	annotator2	2		секция
секция-20-12	секция-21-12	annotator2	4		секция
секция-18-12	секция-19-12	annotator2	3		секция
секция-10-12	секция-11-12	annotator2	1		секция
секция-52-12	секция-53-12	annotator3	1		секция
секция-38-12	секция-39-12	annotator3	2		секция
секция-80-12	секция-81-12	annotator3	4		секция
секция-68-12	секция-69-12	annotator3	1		секция
секция-40-12	секция-41-12	annotator3	1		секция
секция-46-12	секция-47-12	annotator3	3		секция
секция-78-12	секция-79-12	annotator3	3		секция
секция-2-12	секция-3-12	annotator3	2		секция
секция-22-12	секция-23-12	annotator3	1		секция
секция-104-12	секция-105-12	annotator3	3		секция
секция-76-12	секция-77-12	annotator3	4		секция
секция-4-12	секция-5-12	annotator3	4		секция
секция-58-12	секция-59-12	annotator3	4		секция
секция-16-12	секция-17-12	annotator3	4		секция
секция-42-12	секция-43-12	annotator3	3		секция
секция-26-12	секция-27-12	annotator3	2		секция
секция-48-12	секция-49-12	annotator3	1		секция
секция-60-12	секция-61-12	annotator3	2		секция
секция-10-12	секция-11-12	annotator3	1		секция
секция-6-12	секция-7-12	annotator3	4		секция
секция-36-12	секция-37-12	annotator3	1		секция
секция-34-12	секция-35-12	annotator3	4		секция
секция-54-12	секция-55-12	annotator3	1		секция
секция-50-12	секция-51-12	annotator3	1		секция
секция-8-12	секция-9-12	annotator3	1		секция
секция-70-12	секция-71-12	annotator3	4		секция
секция-64-12	секция-65-12	annotator3	1		секция
секция-66-12	секция-67-12	annotator3	4		секция
секция-82-12	секция-83-12	annotator3	3		секция
секция-62-12	секция-63-12	annotator3	1		секция
секция-102-12	секция-103-12	annotator3	1		секция
секция-56-12	секция-57-12	annotator3	2		секция
секция-88-12	секция-89-12	annotator3	1		секция
секция-28-12	секция-29-12	annotator3	3		секция
секция-114-12	секция-115-12	annotator3	2		секция
секция-86-12	секция-87-12	annotator3	1		секция
секция-90-12	секция-91-12	annotator3	3		секция
секция-108-12	секция-109-12	annotator3	1		секция
секция-116-12	секция-117-12	annotator3	4		секция
секция-74-12	секция-75-12	annotator3	3		секция
секция-118-12	секция-119-12	annotator3	4		секция
секция-44-12	секция-45-12	annotator3	1		секция
секция-112-12	секция-113-12	annotator3	1		секция
секция-92-12	секция-93-12	annotator3	1		секция
секция-106-12	секция-107-12	annotator3	4		секция
секция-94-12	секция-95-12	annotator3	1		секция
секция-20-12	секция-21-12	annotator3	3		секция
секция-30-12	секция-31-12	annotator3	3		секция
секция-84-12	секция-85-12	annotator3	2		секция
секция-18-12	секция-19-12	annotator3	2		секция
секция-14-12	секция-15-12	annotator3	3		секция
секция-0-12	секция-1-12	annotator3	3		секция
секция-96-12	секция-97-12	annotator3	4		секция
секция-98-12	секция-99-12	annotator3	1		секция
секция-100-12	секция-101-12	annotator3	3		секция
секция-32-12	секция-33-12	annotator3	3		секция
секция-24-12	секция-25-12	annotator3	2		секция
секция-12-12	секция-13-12	annotator3	1		секция
секция-72-12	секция-73-12	annotator3	1		секция
секция-110-12	секция-111-12	annotator3	4		секция
секция-34-12	секция-35-12	annotator4	4		секция
секция-110-12	секция-111-12	annotator4	4		секция
секция-26-12	секция-27-12	annotator4	2		секция
секция-68-12	секция-69-12	annotator4	1		секция
секция-66-12	секция-67-12	annotator4	4		секция
секция-42-12	секция-43-12	annotator4	4		секция
секция-108-12	секция-109-12	annotator4	4		секция
секция-32-12	секция-33-12	annotator4	3		секция
секция-112-12	секция-113-12	annotator4	3		секция
секция-100-12	секция-101-12	annotator4	3		секция
секция-114-12	секция-115-12	annotator4	1		секция
