lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
секция	NOUN	1918-1990	2	секция-0		-- И в самом деле, -- сказали васюкинцы, -- почему бы не переименовать нашу секцию в клуб четырех коней Так как бюро шахсекции было тут же, Остап организовал под своим почетным председательством минутное заседание, на котором секцию единогласно переименовали в шахклуб четырех коней.	76:82	0:283
секция	NOUN	1918-1990	2	секция-1		В кратчайшие сроки все женщины ИТР по инициативе и при помощи инженерно-технических секций должны быть переброшены на работу по специальности.	84:90	0:142
секция	NOUN	1682-1916	1	секция-2		1890 г. Глубокоуважаемый Василий Васильевич, От души порадовался я тем результатам, которые достигнуты съездом и лично Вами, как главным тружеником -- руководителем новой агрономической секции.	186:192	0:193
секция	NOUN	1682-1916	1	секция-3		из которых складывались швейцарские секции, сыгравшие роль очага "бакунинского" заговора.	36:42	0:89
секция	NOUN	1682-1916	1	секция-4		Секции было доложено, что расформирование некоторых полков, принимавших участие в июльском восстании, штаб решил приостановить.	0:6	0:127
секция	NOUN	1918-1990	2	секция-5		Остальные члены секции представляли пеструю толпу более или менее симпатичных людей без особых признаков и отметок как наружных, так и внутренних.	16:22	0:146
секция	NOUN	1682-1916	1	секция-6		Секции и федерации Интернационала оставались верны принципам, которые были установлены при возникновении союза.	0:6	0:111
секция	NOUN	1682-1916	1	секция-7		В члены этой знаменитой секции был предложен вместе со мною также и Саблин и еще один русский эмигрант, Лисовский, бывший студент-технолог, но сильно спившийся к этому времени от тоски по родине.	24:30	0:195
секция	NOUN	1918-1990	2	секция-8		Секции областного отделения Общества стали значительно больше уделять внимания подготовке текстов лекций по вопросам естественно-атеистической пропаганды.	0:6	0:154
секция	NOUN	1918-1990	2	секция-9		В дальнейшем предполагается увеличить количество шарнирных секций до четырех.	59:65	0:77
