identifier1	identifier2	annotator	judgment	comment	lemma
серединный-0	серединный-1	annotator1	4		серединный
серединный-0	серединный-1	annotator2	2		серединный
серединный-0	серединный-1	annotator3	3		серединный
серединный-0	серединный-1	annotator4	4		серединный
серединный-0	серединный-1	annotator5	2		серединный
серединный-2	серединный-3	annotator1	4		серединный
серединный-2	серединный-3	annotator2	1		серединный
серединный-2	серединный-3	annotator3	2		серединный
серединный-2	серединный-3	annotator4	3		серединный
серединный-2	серединный-3	annotator5	3		серединный
серединный-4	серединный-5	annotator1	2		серединный
серединный-4	серединный-5	annotator2	2		серединный
серединный-4	серединный-5	annotator3	4		серединный
серединный-4	серединный-5	annotator4	1		серединный
серединный-4	серединный-5	annotator5	2		серединный
серединный-6	серединный-7	annotator1	1		серединный
серединный-6	серединный-7	annotator2	3		серединный
серединный-6	серединный-7	annotator3	1		серединный
серединный-6	серединный-7	annotator4	2		серединный
серединный-6	серединный-7	annotator5	1		серединный
серединный-8	серединный-9	annotator1	2		серединный
серединный-8	серединный-9	annotator2	1		серединный
серединный-8	серединный-9	annotator3	2		серединный
серединный-8	серединный-9	annotator4	3		серединный
серединный-8	серединный-9	annotator5	3		серединный
серединный-10	серединный-11	annotator1	1		серединный
серединный-10	серединный-11	annotator2	4		серединный
серединный-10	серединный-11	annotator3	1		серединный
серединный-10	серединный-11	annotator4	1		серединный
серединный-10	серединный-11	annotator5	3		серединный
серединный-12	серединный-13	annotator1	4		серединный
серединный-12	серединный-13	annotator2	1		серединный
серединный-12	серединный-13	annotator3	2		серединный
серединный-12	серединный-13	annotator4	3		серединный
серединный-12	серединный-13	annotator5	3		серединный
серединный-14	серединный-15	annotator1	4		серединный
серединный-14	серединный-15	annotator2	1		серединный
серединный-14	серединный-15	annotator3	1		серединный
серединный-14	серединный-15	annotator4	1		серединный
серединный-14	серединный-15	annotator5	1		серединный
серединный-16	серединный-17	annotator1	3		серединный
серединный-16	серединный-17	annotator2	3		серединный
серединный-16	серединный-17	annotator3	1		серединный
серединный-16	серединный-17	annotator4	2		серединный
серединный-16	серединный-17	annotator5	3		серединный
серединный-18	серединный-19	annotator1	1		серединный
серединный-18	серединный-19	annotator2	1		серединный
серединный-18	серединный-19	annotator3	1		серединный
серединный-18	серединный-19	annotator4	2		серединный
