lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
смотритель	NOUN	1682-1916	1	смотритель-0		"Эй, смотритель, это что за цаца" "Сейдлиц", -- отвечал степенный ярославец с какой-то особой боязливой и почтительной осторожностью.	5:15	0:133
смотритель	NOUN	1918-1990	2	смотритель-1		Вот имена некоторых: 1) Ястремский -- обвиняемый в участии в тайном обществе, в оскорблении действием бывшего смотрителя тюрьмы, в побеге за границу и в проживании под чужим именем -- подводится под смертную казнь, 2) Чугуевец, 3) Полуектов, 4) Судейкин, 5) Глушков, 6) Союзов (осужден по процессу 193-х и находится в Каре), 7) Елисеева, 8) Калюжный, 9) Курицын (доносчик) и некоторые другие.	110:120	0:392
смотритель	NOUN	1682-1916	1	смотритель-2		"Это уже не первый смотритель, который на указанном маяке сходит с ума, -- говорит "Дальн.	19:29	0:90
смотритель	NOUN	1682-1916	1	смотритель-3		Убедясь, что штаб-ротмистр не соперник ему, Дмитрий Лукьянович расцеловал бы его с горячностью, но ему казалось это неловко; кто мог знать, не вздумалось бы костюковскому помещику одуматься; тогда, раз изменив себе, смотритель не в состоянии бы был поправить дела.	216:226	0:264
смотритель	NOUN	1682-1916	1	смотритель-4		-- Взять мертвеца, -- скомандовал смотритель.	34:44	0:45
смотритель	NOUN	1682-1916	1	смотритель-5		Надобно думать, что для подобных мне контрабандных проезжающих у господ смотрителей-спекуляторов есть особливые тройки лошадей, особливые ямщики и даже особливые дуги и колокольчики, по которым они узнают, что едет пожива для них.	72:95	0:230
смотритель	NOUN	1918-1990	2	смотритель-6		-- Говорил мне Земан, что одну ногу придется, пожалуй, отрезать; и куда же он тогда, бедный Хотя бы смотрителем в какой-нибудь лазарет взяли.	100:111	0:141
смотритель	NOUN	1918-1990	2	смотритель-7		Визгливый женский голос доносил: Женский голос оборвался, но сейчас же ответили хором мужские: Смотритель поморщился: пели люди несомненно пьяные.	95:105	0:146
смотритель	NOUN	1682-1916	1	смотритель-8		-- Так, торговлей, -- одобрительным тоном подтвердил смотритель.	53:63	0:64
смотритель	NOUN	1682-1916	1	смотритель-9		-- Как же быть, ваше благородие, -- отвечал смотритель.	44:54	0:55
смотритель	NOUN	1682-1916	1	смотритель-10		-- Техник -- это дома, в жэке вашей, а здесь -- смотритель, смотритель кладбища.	48:58	0:80
смотритель	NOUN	1918-1990	2	смотритель-11		Смотритель и Вязмитинов с Зарницыным были на вечере, но держались как-то в сторонке, а доктор обещал быть, но не приехал.	0:10	0:121
смотритель	NOUN	1682-1916	1	смотритель-12		-- Три года тому назад, однажды, в зимний вечер, когда смотритель разлиневывал новую книгу, а дочь его за перегородкой шила себе платье, тройка подъехала, и приезжий в черкесской шапке, в военной шинели, окутанный шалью, вошел в комнату, требуя лошадей.	55:65	0:253
смотритель	NOUN	1682-1916	1	смотритель-13		Смотритель посмотрел на дочь.	0:10	0:29
смотритель	NOUN	1682-1916	1	смотритель-14		.." Смотритель условился с ним о доставке пищи из ресторана за плату и предложил пользоваться книгами крепостной библиотеки.	4:14	0:124
смотритель	NOUN	1918-1990	2	смотритель-15		-- Встать! -- крикнул на него смотритель.	30:40	0:41
смотритель	NOUN	1682-1916	1	смотритель-16		Смотритель думает не о спускающихся рабочих, не об их завтрашнем дне, а о своем вчерашнем.	0:10	0:90
смотритель	NOUN	1918-1990	2	смотритель-17		Он уверил смотрителя, что молодой человек был совсем здоров и что тогда еще догадывался он о его злобном намерении, но молчал, опасаясь его нагайки.	10:20	0:148
смотритель	NOUN	1918-1990	2	смотритель-18		Смотритель ел наспех, как на вокзале, и толстыми ломтями уминал хлеб, низко наклоняясь к тарелке.	0:10	0:97
