identifier1	identifier2	annotator	judgment	comment	lemma
собор-20-12	собор-21-12	annotator1	4		собор
собор-112-12	собор-113-12	annotator1	4		собор
собор-84-12	собор-85-12	annotator1	1		собор
собор-110-12	собор-111-12	annotator1	4		собор
собор-82-12	собор-83-12	annotator1	1		собор
собор-80-12	собор-81-12	annotator1	1		собор
собор-78-12	собор-79-12	annotator1	4		собор
собор-86-12	собор-87-12	annotator1	4		собор
собор-18-12	собор-19-12	annotator1	4		собор
собор-94-12	собор-95-12	annotator1	4		собор
собор-92-12	собор-93-12	annotator1	4		собор
собор-90-12	собор-91-12	annotator1	1		собор
собор-88-12	собор-89-12	annotator1	3		собор
собор-22-12	собор-23-12	annotator1	1		собор
собор-40-12	собор-41-12	annotator1	1		собор
собор-24-12	собор-25-12	annotator1	4		собор
собор-72-12	собор-73-12	annotator1	4		собор
собор-42-12	собор-43-12	annotator1	1		собор
собор-70-12	собор-71-12	annotator1	4		собор
собор-68-12	собор-69-12	annotator1	1		собор
собор-102-12	собор-103-12	annotator1	1		собор
собор-2-12	собор-3-12	annotator1	1		собор
собор-104-12	собор-105-12	annotator1	4		собор
собор-106-12	собор-107-12	annotator1	1		собор
собор-108-12	собор-109-12	annotator1	4		собор
собор-4-12	собор-5-12	annotator1	1		собор
собор-28-12	собор-29-12	annotator1	4		собор
собор-76-12	собор-77-12	annotator1	1		собор
собор-100-12	собор-101-12	annotator1	3		собор
собор-118-12	собор-119-12	annotator1	1		собор
собор-98-12	собор-99-12	annotator1	4		собор
собор-96-12	собор-97-12	annotator1	4		собор
собор-74-12	собор-75-12	annotator1	4		собор
собор-116-12	собор-117-12	annotator1	4		собор
собор-66-12	собор-67-12	annotator1	1		собор
собор-114-12	собор-115-12	annotator1	4		собор
собор-44-12	собор-45-12	annotator1	1		собор
собор-0-12	собор-1-12	annotator1	4		собор
собор-36-12	собор-37-12	annotator1	4		собор
собор-8-12	собор-9-12	annotator1	4		собор
собор-64-12	собор-65-12	annotator1	1		собор
собор-60-12	собор-61-12	annotator1	1		собор
собор-10-12	собор-11-12	annotator1	1		собор
собор-56-12	собор-57-12	annotator1	4		собор
собор-58-12	собор-59-12	annotator1	1		собор
собор-48-12	собор-49-12	annotator1	1		собор
собор-6-12	собор-7-12	annotator1	4		собор
собор-46-12	собор-47-12	annotator1	4		собор
собор-50-12	собор-51-12	annotator1	1		собор
собор-12-12	собор-13-12	annotator1	1		собор
собор-16-12	собор-17-12	annotator1	4		собор
собор-62-12	собор-63-12	annotator1	1		собор
собор-54-12	собор-55-12	annotator1	1		собор
собор-26-12	собор-27-12	annotator1	4		собор
собор-52-12	собор-53-12	annotator1	3		собор
собор-38-12	собор-39-12	annotator1	3		собор
собор-14-12	собор-15-12	annotator1	1		собор
собор-30-12	собор-31-12	annotator1	4		собор
собор-32-12	собор-33-12	annotator1	4		собор
собор-34-12	собор-35-12	annotator1	1		собор
собор-62-12	собор-63-12	annotator2	1		собор
собор-102-12	собор-103-12	annotator2	1		собор
собор-56-12	собор-57-12	annotator2	4		собор
собор-96-12	собор-97-12	annotator2	4		собор
собор-50-12	собор-51-12	annotator2	1		собор
собор-98-12	собор-99-12	annotator2	4		собор
собор-74-12	собор-75-12	annotator2	4		собор
собор-104-12	собор-105-12	annotator2	1		собор
собор-48-12	собор-49-12	annotator2	1		собор
собор-52-12	собор-53-12	annotator2	1		собор
собор-66-12	собор-67-12	annotator2	1		собор
собор-106-12	собор-107-12	annotator2	1		собор
собор-28-12	собор-29-12	annotator2	4		собор
собор-54-12	собор-55-12	annotator2	1		собор
собор-42-12	собор-43-12	annotator2	1		собор
собор-72-12	собор-73-12	annotator2	4		собор
собор-60-12	собор-61-12	annotator2	3		собор
собор-38-12	собор-39-12	annotator2	1		собор
собор-40-12	собор-41-12	annotator2	4		собор
собор-30-12	собор-31-12	annotator2	4		собор
собор-64-12	собор-65-12	annotator2	1		собор
собор-88-12	собор-89-12	annotator2	3		собор
собор-32-12	собор-33-12	annotator2	4		собор
собор-100-12	собор-101-12	annotator2	4		собор
собор-90-12	собор-91-12	annotator2	4		собор
собор-92-12	собор-93-12	annotator2	4		собор
собор-34-12	собор-35-12	annotator2	1		собор
собор-86-12	собор-87-12	annotator2	4		собор
собор-36-12	собор-37-12	annotator2	4		собор
собор-78-12	собор-79-12	annotator2	4		собор
собор-80-12	собор-81-12	annotator2	1		собор
собор-46-12	собор-47-12	annotator2	4		собор
собор-82-12	собор-83-12	annotator2	4		собор
собор-84-12	собор-85-12	annotator2	1		собор
собор-94-12	собор-95-12	annotator2	4		собор
собор-58-12	собор-59-12	annotator2	1		собор
собор-44-12	собор-45-12	annotator2	1		собор
собор-70-12	собор-71-12	annotator2	4		собор
собор-68-12	собор-69-12	annotator2	4		собор
собор-14-12	собор-15-12	annotator2	4		собор
собор-76-12	собор-77-12	annotator2	4		собор
собор-12-12	собор-13-12	annotator2	1		собор
собор-116-12	собор-117-12	annotator2	4		собор
собор-108-12	собор-109-12	annotator2	4		собор
собор-24-12	собор-25-12	annotator2	4		собор
собор-110-12	собор-111-12	annotator2	4		собор
собор-118-12	собор-119-12	annotator2	1		собор
собор-4-12	собор-5-12	annotator2	4		собор
собор-26-12	собор-27-12	annotator2	4		собор
собор-16-12	собор-17-12	annotator2	4		собор
собор-6-12	собор-7-12	annotator2	4		собор
собор-18-12	собор-19-12	annotator2	3		собор
собор-114-12	собор-115-12	annotator2	4		собор
собор-0-12	собор-1-12	annotator2	4		собор
собор-20-12	собор-21-12	annotator2	4		собор
собор-22-12	собор-23-12	annotator2	1		собор
собор-112-12	собор-113-12	annotator2	4		собор
собор-10-12	собор-11-12	annotator2	1		собор
собор-2-12	собор-3-12	annotator2	1		собор
собор-8-12	собор-9-12	annotator2	4		собор
собор-60-12	собор-61-12	annotator3	4		собор
собор-92-12	собор-93-12	annotator3	4		собор
собор-78-12	собор-79-12	annotator3	4		собор
собор-0-12	собор-1-12	annotator3	4		собор
собор-82-12	собор-83-12	annotator3	1		собор
собор-10-12	собор-11-12	annotator3	1		собор
собор-110-12	собор-111-12	annotator3	4		собор
собор-84-12	собор-85-12	annotator3	1		собор
собор-94-12	собор-95-12	annotator3	4		собор
собор-48-12	собор-49-12	annotator3	1		собор
собор-72-12	собор-73-12	annotator3	4		собор
собор-36-12	собор-37-12	annotator3	4		собор
собор-18-12	собор-19-12	annotator3	1		собор
собор-88-12	собор-89-12	annotator3	1		собор
собор-90-12	собор-91-12	annotator3	1		собор
собор-34-12	собор-35-12	annotator3	1		собор
собор-16-12	собор-17-12	annotator3	4		собор
собор-32-12	собор-33-12	annotator3	4		собор
собор-4-12	собор-5-12	annotator3	4		собор
собор-30-12	собор-31-12	annotator3	4		собор
собор-26-12	собор-27-12	annotator3	4		собор
собор-6-12	собор-7-12	annotator3	4		собор
собор-58-12	собор-59-12	annotator3	1		собор
собор-44-12	собор-45-12	annotator3	1		собор
собор-62-12	собор-63-12	annotator3	1		собор
собор-24-12	собор-25-12	annotator3	4		собор
собор-56-12	собор-57-12	annotator3	4		собор
собор-40-12	собор-41-12	annotator3	4		собор
собор-22-12	собор-23-12	annotator3	1		собор
собор-38-12	собор-39-12	annotator3	1		собор
собор-64-12	собор-65-12	annotator3	1		собор
собор-86-12	собор-87-12	annotator3	4		собор
собор-8-12	собор-9-12	annotator3	0		собор
собор-20-12	собор-21-12	annotator3	4		собор
собор-112-12	собор-113-12	annotator3	4		собор
собор-42-12	собор-43-12	annotator3	1		собор
собор-70-12	собор-71-12	annotator3	4		собор
собор-80-12	собор-81-12	annotator3	1		собор
собор-52-12	собор-53-12	annotator3	1		собор
собор-96-12	собор-97-12	annotator3	4		собор
собор-98-12	собор-99-12	annotator3	4		собор
собор-12-12	собор-13-12	annotator3	1		собор
собор-118-12	собор-119-12	annotator3	1		собор
собор-76-12	собор-77-12	annotator3	4		собор
собор-74-12	собор-75-12	annotator3	4		собор
собор-46-12	собор-47-12	annotator3	4		собор
собор-108-12	собор-109-12	annotator3	4		собор
собор-106-12	собор-107-12	annotator3	4		собор
собор-14-12	собор-15-12	annotator3	0		собор
собор-104-12	собор-105-12	annotator3	4		собор
собор-2-12	собор-3-12	annotator3	1		собор
собор-102-12	собор-103-12	annotator3	1		собор
собор-54-12	собор-55-12	annotator3	4		собор
собор-100-12	собор-101-12	annotator3	4		собор
собор-116-12	собор-117-12	annotator3	4		собор
собор-50-12	собор-51-12	annotator3	1		собор
собор-28-12	собор-29-12	annotator3	4		собор
собор-114-12	собор-115-12	annotator3	4		собор
собор-66-12	собор-67-12	annotator3	1		собор
собор-68-12	собор-69-12	annotator3	4		собор
собор-84-12	собор-85-12	annotator4	1		собор
собор-38-12	собор-39-12	annotator4	1		собор
собор-22-12	собор-23-12	annotator4	1		собор
собор-46-12	собор-47-12	annotator4	4		собор
собор-40-12	собор-41-12	annotator4	4		собор
собор-10-12	собор-11-12	annotator4	1		собор
собор-6-12	собор-7-12	annotator4	4		собор
собор-106-12	собор-107-12	annotator4	1		собор
собор-42-12	собор-43-12	annotator4	1		собор
собор-24-12	собор-25-12	annotator4	4		собор
собор-2-12	собор-3-12	annotator4	1		собор
собор-44-12	собор-45-12	annotator4	1		собор
