lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
собор	NOUN	1918-1990	2	собор-0		-- Вот резьбу с нашего собора хочу применить для новой ткани.	23:29	0:61
собор	NOUN	1918-1990	2	собор-1		Портрет незнакомца Из волны брызнул свет, потом снова и снова -- в том же месте, и вскоре купол собора всплыл из моря навстречу пароходу.	96:102	0:137
собор	NOUN	1682-1916	1	собор-2		-- Ну если вы всё это так признаёте, зачем же хитрить На что шарлатанить Этот же твой "просо-хлеб" объезжает губернию, сам в соборы заходит да благословения принимает, а тут же Варнавок признаёт необходимыми на свете.	125:131	0:217
собор	NOUN	1682-1916	1	собор-3		* * * Приближался день, когда в луповицком корабле надлежало быть собору "верных-праведных".	66:72	0:92
собор	NOUN	1682-1916	1	собор-4		Собор электрифицирован и в затемненной комнате выглядит очень эффектно.	0:5	0:71
собор	NOUN	1918-1990	2	собор-5		Осмотрели со всей фамилией дом Михаила Феодоровича, где собрана богатая ризница из собора, и той же дорогой вернулись на пароход.	83:89	0:129
собор	NOUN	1682-1916	1	собор-6		Блазнь, наваждение, ток крови в ушах, гудение тоскливого шмеля, угодившего в неволю Бурнашов приложил ухо к стене: пение доносилось из собора.	135:141	0:142
собор	NOUN	1918-1990	2	собор-7		Таким образом свиделись оба царственные брата пред коронованием, по совершении которого цесаревич, выходя из собора, сказал Ф. П.	109:115	0:129
собор	NOUN	1918-1990	2	собор-8		Близко мелькают на автострадах фары машин, разноцветными окнами светят жилые дома, небоскребы, красуются в лучах подсвечивающих прожекторов шпили соборов и башни церквей.	146:153	0:170
собор	NOUN	1918-1990	2	собор-9		В соборе буду пить с Лазункой.	2:8	0:30
собор	NOUN	1682-1916	1	собор-10		Боткин перестал ездить в Успенский собор.	35:40	0:41
собор	NOUN	1918-1990	2	собор-11		Пированье было в полном разгаре, когда стал расходиться собор.	56:61	0:62
собор	NOUN	1682-1916	1	собор-12		В Кутаисе, возле замечательных развалин старого громадного собора, помещается кутаисское духовное училище.	59:65	0:106
собор	NOUN	1682-1916	1	собор-13		Они читались целыми группами, собором, так сказать, под газовыми столбами, которые будучи лишены фонарей, испускали теперь длинные, огненные языки, колеблемые ветром.	30:37	0:166
собор	NOUN	1918-1990	2	собор-14		В день интронизации (со старославянского: "настолование") патриарха, 21 ноября (ст.ст.), по просьбе собора было дано нам совершенно исключительное разрешение совершать службу в кремлевском Успенском соборе, хотя во все прочие дни для всех других Кремль был закрыт.	100:106	0:264
