lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ссора	NOUN	1682-1916	1	ссора-0		"Ключ", стоивший стольких трудов, восторгов и ссор, пропал.	46:50	0:59
ссора	NOUN	1918-1990	2	ссора-1		Подвиги опытных полководцев и набеги сорвиголовой шайки молодых головорезов Оболенских и Горбатых, несмотря даже на обычные пререкания и ссоры из-за старшинства между старыми боярами, дали нам перевес в войне с Литвою и заставили старика Сигизмунда изменить высокомерный тон и мало-помалу снизойти до всяких уступок, лишь бы заключить мир.	137:142	0:339
ссора	NOUN	1918-1990	2	ссора-2		(Другая бы сидела и плакала.) Дружбе обязана осознанием себя живописцем, ссоре -- первым живописным делом.	73:78	0:106
ссора	NOUN	1918-1990	2	ссора-3		Акимов поймал меня в театре, отвел в угол и таинственно заявил, что он хотел мне пожаловаться на судьбу и на вас, что его обижают и что он с вами в ссоре.	148:153	0:154
ссора	NOUN	1918-1990	2	ссора-4		(Кричат при ссорах ведь не только и не столько для того, чтобы воздействовать на противную сторону, сколько чтобы самому почувствовать себя решительнее и злее.	12:18	0:159
ссора	NOUN	1918-1990	2	ссора-5		И с необычайной ясностью вспомнилась мне наша единственная за всю жизнь ссора.	72:77	0:78
ссора	NOUN	1682-1916	1	ссора-6		-- А для какого ж еще черта.. -- прекрасно уловив тон Четырева, нагло ответил Подгурский с явным желанием вызвать ссору.	114:119	0:120
ссора	NOUN	1682-1916	1	ссора-7		Когда я вернулся из Каменки, я узнал, что у них в Москве произошла уже крупная ссора, и вскоре я получил от матери ее письмо, где она мне жаловалась на свою непокорную дочь.	79:84	0:173
ссора	NOUN	1918-1990	2	ссора-8		-- Пожалуйста, подробнее о ссоре между ребятами.	27:32	0:48
ссора	NOUN	1918-1990	2	ссора-9		О вздорной ссоре мы не заговаривали.	11:16	0:36
ссора	NOUN	1682-1916	1	ссора-10		-- Так эта записка служит причиною новой ссоры между нами -- сказал он, опять смеясь: если так, я отниму ее у вас и сожгу, ведь вы знаете, про таких людей, как мы с вами, говорят, что для нас нет ничего святого.	41:46	0:211
ссора	NOUN	1682-1916	1	ссора-11		Не знаю уже почему, во время этой ссоры Грибоедову вздумалось пригласить к себе Истомину после театра пить чай.	34:39	0:111
ссора	NOUN	1682-1916	1	ссора-12		-- Что вы тут делаете -- Следствие-с -- вот молодчик-то топором убил отца и сестру родную из-за ссоры да по ревности.	96:101	0:117
ссора	NOUN	1682-1916	1	ссора-13		И не попускайте, чтобы кто такое бездельство чинил, дабы не были притчины ссоры к стране его величества всероссийского.	74:79	0:119
