identifier1	identifier2	annotator	judgment	comment	lemma
стиль-0	стиль-1	annotator1	2		стиль
стиль-0	стиль-1	annotator2	3		стиль
стиль-0	стиль-1	annotator3	1		стиль
стиль-0	стиль-1	annotator4	4		стиль
стиль-0	стиль-1	annotator5	3		стиль
стиль-2	стиль-3	annotator1	2		стиль
стиль-2	стиль-3	annotator2	3		стиль
стиль-2	стиль-3	annotator3	2		стиль
стиль-2	стиль-3	annotator4	2		стиль
стиль-2	стиль-3	annotator5	1		стиль
стиль-4	стиль-5	annotator1	3		стиль
стиль-4	стиль-5	annotator2	3		стиль
стиль-4	стиль-5	annotator3	4		стиль
стиль-4	стиль-5	annotator4	1		стиль
стиль-4	стиль-5	annotator5	4		стиль
стиль-6	стиль-7	annotator1	1		стиль
стиль-6	стиль-7	annotator2	2		стиль
стиль-6	стиль-7	annotator3	1		стиль
стиль-6	стиль-7	annotator4	1		стиль
стиль-6	стиль-7	annotator5	1		стиль
стиль-8	стиль-9	annotator1	1		стиль
стиль-8	стиль-9	annotator2	3		стиль
стиль-8	стиль-9	annotator3	1		стиль
стиль-8	стиль-9	annotator4	1		стиль
стиль-8	стиль-9	annotator5	1		стиль
стиль-10	стиль-11	annotator1	2		стиль
стиль-10	стиль-11	annotator2	4		стиль
стиль-10	стиль-11	annotator3	3		стиль
стиль-10	стиль-11	annotator4	4		стиль
стиль-10	стиль-11	annotator5	4		стиль
стиль-12	стиль-13	annotator1	3		стиль
стиль-12	стиль-13	annotator2	1		стиль
стиль-12	стиль-13	annotator3	4		стиль
стиль-12	стиль-13	annotator4	4		стиль
стиль-12	стиль-13	annotator5	2		стиль
стиль-14	стиль-15	annotator1	2		стиль
стиль-14	стиль-15	annotator2	3		стиль
стиль-14	стиль-15	annotator3	3		стиль
стиль-14	стиль-15	annotator4	3		стиль
стиль-14	стиль-15	annotator5	3		стиль
стиль-16	стиль-17	annotator1	4		стиль
стиль-16	стиль-17	annotator2	4		стиль
стиль-16	стиль-17	annotator3	4		стиль
стиль-16	стиль-17	annotator4	4		стиль
стиль-16	стиль-17	annotator5	4		стиль
стиль-18	стиль-19	annotator1	4		стиль
стиль-18	стиль-19	annotator2	2		стиль
стиль-18	стиль-19	annotator3	1		стиль
стиль-18	стиль-19	annotator4	3		стиль
стиль-18	стиль-19	annotator5	1		стиль
стиль-20	стиль-21	annotator1	3		стиль
стиль-20	стиль-21	annotator2	1		стиль
стиль-20	стиль-21	annotator3	3		стиль
стиль-20	стиль-21	annotator4	4		стиль
стиль-20	стиль-21	annotator5	2		стиль
стиль-22	стиль-23	annotator1	2		стиль
стиль-22	стиль-23	annotator2	2		стиль
стиль-22	стиль-23	annotator3	4		стиль
стиль-22	стиль-23	annotator4	1		стиль
стиль-22	стиль-23	annotator5	1		стиль
стиль-24	стиль-25	annotator1	4		стиль
стиль-24	стиль-25	annotator2	4		стиль
стиль-24	стиль-25	annotator3	3		стиль
стиль-24	стиль-25	annotator4	4		стиль
стиль-24	стиль-25	annotator5	4		стиль
стиль-26	стиль-27	annotator1	1		стиль
стиль-26	стиль-27	annotator2	1		стиль
стиль-26	стиль-27	annotator3	1		стиль
стиль-26	стиль-27	annotator4	1		стиль
стиль-26	стиль-27	annotator5	1		стиль
стиль-28	стиль-29	annotator1	1		стиль
стиль-28	стиль-29	annotator2	1		стиль
стиль-28	стиль-29	annotator3	1		стиль
стиль-28	стиль-29	annotator4	1		стиль
стиль-28	стиль-29	annotator5	1		стиль
стиль-30	стиль-31	annotator1	1		стиль
стиль-30	стиль-31	annotator2	1		стиль
стиль-30	стиль-31	annotator3	1		стиль
стиль-30	стиль-31	annotator4	1		стиль
стиль-30	стиль-31	annotator5	1		стиль
стиль-32	стиль-33	annotator1	2		стиль
стиль-32	стиль-33	annotator2	3		стиль
стиль-32	стиль-33	annotator3	4		стиль
стиль-32	стиль-33	annotator4	3		стиль
стиль-32	стиль-33	annotator5	2		стиль
стиль-34	стиль-35	annotator1	2		стиль
стиль-34	стиль-35	annotator2	4		стиль
стиль-34	стиль-35	annotator3	4		стиль
стиль-34	стиль-35	annotator4	3		стиль
стиль-34	стиль-35	annotator5	1		стиль
стиль-36	стиль-37	annotator1	4		стиль
стиль-36	стиль-37	annotator2	3		стиль
стиль-36	стиль-37	annotator3	3		стиль
стиль-36	стиль-37	annotator4	1		стиль
стиль-36	стиль-37	annotator5	3		стиль
стиль-38	стиль-39	annotator1	2		стиль
стиль-38	стиль-39	annotator2	3		стиль
стиль-38	стиль-39	annotator3	3		стиль
стиль-38	стиль-39	annotator4	4		стиль
стиль-38	стиль-39	annotator5	2		стиль
стиль-40	стиль-41	annotator1	4		стиль
стиль-40	стиль-41	annotator2	4		стиль
стиль-40	стиль-41	annotator3	3		стиль
стиль-40	стиль-41	annotator4	3		стиль
стиль-40	стиль-41	annotator5	3		стиль
стиль-42	стиль-43	annotator1	2		стиль
стиль-42	стиль-43	annotator2	3		стиль
стиль-42	стиль-43	annotator3	4		стиль
стиль-42	стиль-43	annotator4	3		стиль
стиль-42	стиль-43	annotator5	2		стиль
стиль-44	стиль-45	annotator1	2		стиль
стиль-44	стиль-45	annotator2	3		стиль
стиль-44	стиль-45	annotator3	3		стиль
стиль-44	стиль-45	annotator4	2		стиль
стиль-44	стиль-45	annotator5	2		стиль
стиль-46	стиль-47	annotator1	3		стиль
стиль-46	стиль-47	annotator2	3		стиль
стиль-46	стиль-47	annotator3	2		стиль
стиль-46	стиль-47	annotator4	4		стиль
стиль-46	стиль-47	annotator5	2		стиль
стиль-48	стиль-49	annotator1	4		стиль
стиль-48	стиль-49	annotator2	4		стиль
стиль-48	стиль-49	annotator3	4		стиль
стиль-48	стиль-49	annotator4	3		стиль
стиль-48	стиль-49	annotator5	4		стиль
стиль-50	стиль-51	annotator1	3		стиль
стиль-50	стиль-51	annotator2	3		стиль
стиль-50	стиль-51	annotator3	4		стиль
стиль-50	стиль-51	annotator4	4		стиль
стиль-50	стиль-51	annotator5	4		стиль
