lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
тетка	NOUN	1682-1916	1	тетка-0		Вишь, тетка его подкурятина! -- подумал Михеич.	6:11	0:47
тетка	NOUN	1682-1916	1	тетка-1		Раза четыре она выходила за ворота и смотрела, не едет ли тетка домой, в пятый раз сходила в переулок, посмотрела на плотину, и, удостоверившись, что тетка уехала, она выпустила мычащую корову из погреба, загнала ее в стайку и дала ей две порции корму.	58:63	0:252
тетка	NOUN	1918-1990	2	тетка-2		"Ну как же Что ж я исть буду в зиму Я с теткой живу, на квартире стою".	40:46	0:71
тетка	NOUN	1918-1990	2	тетка-3		-- сказала в темноте тетка, и по ее голосу я не мог догадаться, смеется она или плачет.	21:26	0:87
тетка	NOUN	1918-1990	2	тетка-4		("Буква "р") Гуляя с теткой по улице, мальчик двух с половиною лет останавливается у книжного киоска.	21:27	0:101
тетка	NOUN	1918-1990	2	тетка-5		...-- Что ты уклонист, невежда и что твоя тетка с штабс-капитаном убежала.	42:47	0:74
тетка	NOUN	1682-1916	1	тетка-6		-- В Белую Арапию, тетка, уйдем, коли так!	19:24	0:42
тетка	NOUN	1682-1916	1	тетка-7		В[еликая] княгиня ожидала герцога Георга из Новгорода и поручила тетке при встрече отдать большой конверт.	65:70	0:106
тетка	NOUN	1682-1916	1	тетка-8		-- Вишь ты, тетка твоя подкурятина! -- проворчал себе под нос Михеич, -- какие кудрявые речи выговаривает!	12:17	0:106
тетка	NOUN	1682-1916	1	тетка-9		Тетка препоручила Маше смотреть за домом, и она отправляла с похвалою сию должность.	0:5	0:84
тетка	NOUN	1918-1990	2	тетка-10		-- Легко грозить-то! -- причитала тётка.	34:39	0:40
тетка	NOUN	1918-1990	2	тетка-11		Свою хату мы с теткой украсили ветками берез и кленов аж за день до праздников, и весь этот день она была как первая невеста в Камышинке.	15:21	0:137
тетка	NOUN	1918-1990	2	тетка-12		-- На праздник без товару сидели, так сейчас накупим, -- радовалась тетка в синей телогрейке.	68:73	0:93
тетка	NOUN	1918-1990	2	тетка-13		Все остальное казалось не таким уж трудным: отъезд из Тифлиса, где против нас, конечно, восстанет общественное мнение и вражда клана, включая моих родителей; жизнь вдвоем в далеком огромном городе, где мы в качестве тетки и племянника ("Rien de plus naturel!") до поры до времени легко затеряемся среди миллионов людей; через год я напялю студенческую фуражку, которая смягчит общественное мнение (гимназист -- это смешно, c"est ridicule, студент -- уже нет: студент казался мне тогда персоной, изо всех смертных наиболее приобщенной к высшим стихиям жизни); еще позже -- легальный развод Аннет с мужем, а в крайнем случае -- жизнь без санкции закона, со всею напряженностью моих творческих возможностей посвященная ей, и наконец, в еще более отдаленном будущем, -- слава, положенная к ее ногам.	216:221	0:795
тетка	NOUN	1682-1916	1	тетка-14		-- Неужели ты не радуешься возвращению тетки -- Я думаю, мне нельзя будет часто видеться с ней, -- проговорила Анна, и слеза блеснула на ее глазах.	39:44	0:147
тетка	NOUN	1682-1916	1	тетка-15		Жена бросила; родственники, не предупредивши ни словом, скрылись, -- должно быть, и впрямь старый кенарь после тетки наследство получил, -- а прочим птицам ему было совестно в глаза смотреть, потому что он все-таки не смыл своего позора, не оправдал себя.	111:116	0:255
тетка	NOUN	1682-1916	1	тетка-16		-- Ну нет уж! Дудки! -- сказала тетка и оборвала на шаре нитку.	32:37	0:63
тетка	NOUN	1918-1990	2	тетка-17		-- Ну, Ваня, ну, Аксюшка, -- продолжала она, обхватив их ручонками, -- беда! беда пришла тетке Варваре.	89:94	0:103
