lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
торжественный	ADJ	1918-1990	2	торжественный-0		18 октября состоялось торжественное собранiе Русскаго Народнаго Университета въ Праг по случаю десятой годовщины его основанiя.	22:35	0:127
торжественный	ADJ	1918-1990	2	торжественный-1		Как торжественна была закладка дворца!	4:16	0:38
торжественный	ADJ	1918-1990	2	торжественный-2		22.15 -- Репортаж о торжественном заседании, посвященном празднованию 100-летия со дня рождения Владимира Ильича Ленина.	20:33	0:120
торжественный	ADJ	1918-1990	2	торжественный-3		Всю зиму в хижинах ткачих и вышивальщиц изготовлялась торжественная одежда для будущей королевы.	54:67	0:96
торжественный	ADJ	1682-1916	1	торжественный-4		Торжественное заседание открыл председатель Славянского Комитета СССР генерал-лейтенант А. С. Гундоров.	0:13	0:103
торжественный	ADJ	1918-1990	2	торжественный-5		Генерал-адъютант Данилов после торжественного богослужения вручил Высочайше пожалованную грамоту Забайкальскому казачьему войску.	31:45	0:129
торжественный	ADJ	1682-1916	1	торжественный-6		Торжественный день.	0:13	0:19
торжественный	ADJ	1682-1916	1	торжественный-7		Еще более разгневался Петр, подстрекаемый матерью, когда спустя одиннадцать дней после первого столкновения с непослушавшею его сестрою правительница выехала к возвращавшемуся из похода Голицыну, для которого она устроила торжественную встречу.	222:235	0:244
торжественный	ADJ	1918-1990	2	торжественный-8		А общее впечатление--символ Руси, торжественный и обобщенный монолит.	34:47	0:69
торжественный	ADJ	1918-1990	2	торжественный-9		Она так его поразила, что он не уехал после торжественной части, как предполагал, а остался на вечере до конца.	44:57	0:111
торжественный	ADJ	1682-1916	1	торжественный-10		А я еще помню, когда мать дала Дмитрию Павловичу торжественную инвеституру на полное распоряжение лошадью и дрожками.	49:62	0:117
торжественный	ADJ	1682-1916	1	торжественный-11		Телеграммы "Российского телеграфного агентства" Из Москвы нам сообщают: "Сегодня, в Вербное воскресенье, происходил торжественный Царский выход в Успенский собор к Божественной литургии.	116:129	0:186
торжественный	ADJ	1918-1990	2	торжественный-12		Без всяких торжественных проводов "Ермак" 8 мая 1899 года вышел в далекое и трудное плавание.	11:24	0:93
торжественный	ADJ	1918-1990	2	торжественный-13		Торжественный этот день был отмечен дополнительной нормой питания: каждому бойцу выдавали полфунта черного и четвертушку белого хлеба.	0:13	0:134
торжественный	ADJ	1682-1916	1	торжественный-14		Белинский стремился по крайней мере в литературе, если нельзя было этого сделать в иных, более широких, но недоступных его влиянию сферах, провозгласить ту торжественную декларацию прав человека, которая в свое время произвела такой колоссальный переворот во Франции, откуда, как известно, главным образом и приходили к нам новые идеи.	156:169	0:335
торжественный	ADJ	1682-1916	1	торжественный-15		Ему вообще надо было бы родиться столетием ранее, потому что какое-нибудь сукно, трико и полотно не шли к его торжественной фигуре, -- для нее были необходимы глазет, шелк, атлас, батист, кружева и брильянты.	110:123	0:208
торжественный	ADJ	1682-1916	1	торжественный-16		Богданов, вообще много работавший над внутренними организационными вопросами, предлагал искусственный и громоздкий выход из затруднения: оставить существующий Совет для торжественных, исторических заседаний -- без прений, а для сколько-нибудь деловой работы выделить из него малый совет -- по значительно сокращенной норме представительства.	169:182	0:341
торжественный	ADJ	1918-1990	2	торжественный-17		В этих празднествах вольного народа, в его военной забаве, без оскорбительного etalagea монархии, без пышной обстановки золотом шитой аристократии, пестрой гвардии, -- есть что-то торжественное и могучее.	180:193	0:204
торжественный	ADJ	1682-1916	1	торжественный-18		Богдо-ула в торжественном величии спокойна!	12:25	0:43
торжественный	ADJ	1918-1990	2	торжественный-19		В 11 час. в церкви Большого дворца была торжественная заупокойная обедня.	40:53	0:73
торжественный	ADJ	1918-1990	2	торжественный-20		В торжественной обстановке, с произнесением речей, одели кольца и выпустили стаю в воздух.	2:15	0:90
торжественный	ADJ	1918-1990	2	торжественный-21		Вечеръ y насъ не столько смшной, сколько торжественный.	41:54	0:55
торжественный	ADJ	1682-1916	1	торжественный-22		В Москве состоялась торжественная передача Императорской Академии Наук литературно-театрального музея имени Бахрушина.	20:33	0:118
торжественный	ADJ	1682-1916	1	торжественный-23		Заслышав эти торжественно-агонизирующие звуки, овцы в испуге повскакали с своих мест и шарахнулись в сторону.	13:38	0:109
торжественный	ADJ	1682-1916	1	торжественный-24		Вечером избранная депутация предстала к Цимисхию и от лица всех сановников государства поднесла ему лист, подписанный знатнейшими вельможами, на котором изображено было униженное моление -- да примет он титул Иоанна Величайшего и позволит стоять на коленях при каждом торжественном выходе своем.	268:281	0:295
торжественный	ADJ	1682-1916	1	торжественный-25		Юбилей И.А. Бунина Сегодня, 26 октября, в Большой аудитории Политехнического музея общество деятелей периодической печати и литературы устраивает торжественное заседание в честь 25-летия писательской деятельности И. А.	146:159	0:218
