identifier1	identifier2	annotator	judgment	comment	lemma
трибунал-0	трибунал-1	annotator1	4		трибунал
трибунал-0	трибунал-1	annotator2	2		трибунал
трибунал-0	трибунал-1	annotator3	4		трибунал
трибунал-0	трибунал-1	annotator4	4		трибунал
трибунал-0	трибунал-1	annotator5	4		трибунал
трибунал-2	трибунал-3	annotator1	4		трибунал
трибунал-2	трибунал-3	annotator2	1		трибунал
трибунал-2	трибунал-3	annotator3	1		трибунал
трибунал-2	трибунал-3	annotator4	1		трибунал
трибунал-2	трибунал-3	annotator5	1		трибунал
трибунал-4	трибунал-5	annotator1	3		трибунал
трибунал-4	трибунал-5	annotator2	4		трибунал
трибунал-4	трибунал-5	annotator3	4		трибунал
трибунал-4	трибунал-5	annotator4	3		трибунал
трибунал-4	трибунал-5	annotator5	4		трибунал
трибунал-6	трибунал-7	annotator1	4		трибунал
трибунал-6	трибунал-7	annotator2	4		трибунал
трибунал-6	трибунал-7	annotator3	1		трибунал
трибунал-6	трибунал-7	annotator4	4		трибунал
трибунал-6	трибунал-7	annotator5	4		трибунал
трибунал-8	трибунал-9	annotator1	3		трибунал
трибунал-8	трибунал-9	annotator2	4		трибунал
трибунал-8	трибунал-9	annotator3	4		трибунал
трибунал-8	трибунал-9	annotator4	4		трибунал
трибунал-8	трибунал-9	annotator5	3		трибунал
трибунал-10	трибунал-11	annotator1	4		трибунал
трибунал-10	трибунал-11	annotator2	4		трибунал
трибунал-10	трибунал-11	annotator3	1		трибунал
трибунал-10	трибунал-11	annotator4	4		трибунал
трибунал-10	трибунал-11	annotator5	4		трибунал
трибунал-12	трибунал-13	annotator1	3		трибунал
трибунал-12	трибунал-13	annotator2	4		трибунал
трибунал-12	трибунал-13	annotator3	4		трибунал
трибунал-12	трибунал-13	annotator4	3		трибунал
трибунал-12	трибунал-13	annotator5	3		трибунал
трибунал-14	трибунал-15	annotator1	4		трибунал
трибунал-14	трибунал-15	annotator2	1		трибунал
трибунал-14	трибунал-15	annotator3	3		трибунал
