lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
трибунал	NOUN	1918-1990	2	трибунал-0		* * * Дороги войны привели советских кинохроникеров в Берлин, к горящему рейхстагу, а потом в Нюрнберг, где Международный военный трибунал судил гитлеровских военных преступников.	130:138	0:179
трибунал	NOUN	1918-1990	2	трибунал-1		Конечно, влиять на трибуналы, на их решения сказки не могут.	19:28	0:60
трибунал	NOUN	1918-1990	2	трибунал-2		6 августа в Ханькоу вышел первый номер органа Гоминдана "Пипильс Трибунал", после реорганизации редакции.	65:73	0:105
трибунал	NOUN	1918-1990	2	трибунал-3		И опять он на фронте, уже при гаубице; он теряет ящичек с прицелом, и его отдают под трибунал.	85:93	0:94
трибунал	NOUN	1918-1990	2	трибунал-4		: "13-го августа военно-революционный трибунал 14 армии, рассмотрев дело 10-ти граждан гор.	38:46	0:91
трибунал	NOUN	1918-1990	2	трибунал-5		Всем -- "тройка", "особое", в крайнем случае -- трибунал.	48:56	0:57
трибунал	NOUN	1918-1990	2	трибунал-6		Трибунал смог не поступить так, потому и только потому, что тут же дал подсудимому личное имя Абстракция, с каковым и было соотнесено постановление суда.	0:8	0:153
трибунал	NOUN	1918-1990	2	трибунал-7		Трибунал приговорил виновного к пяти годам заключения.	0:8	0:54
трибунал	NOUN	1918-1990	2	трибунал-8		Трибунале, при Особом Отделе, при ЧК да при милиции.	0:9	0:52
трибунал	NOUN	1918-1990	2	трибунал-9		Можно напомнить в этой связи, что Международный Военный Трибунал в Нюрнберге в решениях, под которыми стоит и подпись представителя Советского Союза, указал, что приказы, противоречащие основным правилам морали, попирающие нравственные веления, на которых, зиждется человеческое общество, разрушающие самые основы человеческого общежития, не могут служить ни моральным, ни юридическим оправданием для тех, кто их выполняет.	56:64	0:423
трибунал	NOUN	1918-1990	2	трибунал-10		А в голове: "Часовой на посту утерял боевое оружие с боевыми патронами -- трибунал пять лет десять спишут в матросы.."	74:82	0:118
трибунал	NOUN	1918-1990	2	трибунал-11		В станице на сутки остались Бодягин и комендант трибунала Тесленко.	48:57	0:67
трибунал	NOUN	1682-1916	1	трибунал-12		А кто им дал право, кто они такие, что понаехали с разных концов Мы без трибунала вашего проживем.	72:81	0:98
трибунал	NOUN	1918-1990	2	трибунал-13		Под влиянием своего наставника Вильгельма де Круа и великого канцлера Сельваджио он решился было на реформу инквизиции и дал кортесам торжественное обещание принять новый кодекс трибунала.	178:187	0:188
трибунал	NOUN	1682-1916	1	трибунал-14		А что, ей ведь трибунал не страшен.	15:23	0:35
трибунал	NOUN	1918-1990	2	трибунал-15		Крайность, в которую поверг провожатый Поликарпов, возвратившийся с пустыми руками, заставила миссию обратиться в Трибунал с просьбой об ускорении присылки серебра, а вместе с тем доставила возможность писать в Отечество.	114:122	0:221
трибунал	NOUN	1682-1916	1	трибунал-16		Апраксин, во время заседания допрашивавшего его трибунала, при неосторожном возгласе одного из членов последнего, принятом обвиняемым за намек на пытку, умер, пораженный апоплексическим ударом.	48:57	0:193
трибунал	NOUN	1682-1916	1	трибунал-17		Когда футурист Джино Северини женился на дочери французского "короля поэтов" Поля Фора, он должен был предстать в Милане перед трибуналом футуристов, судившим его за этот проступок (женитьбу!).	127:137	0:193
трибунал	NOUN	1918-1990	2	трибунал-18		Был выездной военный трибунал.	21:29	0:30
трибунал	NOUN	1918-1990	2	трибунал-19		У Ромэна Роллана на суде трибунала Дантон, великий жизнелюб, человек органических страстей, даже в революции словно искавший только чувственного наслаждения стремительностью ее бега и разряженностью ее воздуха, бросает о Робеспьере уничтожающие слова: "Презренное лицемерие грозит заразить весь народ.	25:34	0:301
трибунал	NOUN	1682-1916	1	трибунал-20		В Сересе установлен военный трибунал для производства над гражданскими и военными лицами, виновными во всякого рода преступлениях и проступках.	28:36	0:143
трибунал	NOUN	1682-1916	1	трибунал-21		В Толедо происходили не меньшие бесчинства трибунала.	43:52	0:53
трибунал	NOUN	1682-1916	1	трибунал-22		В разрешении этого вопроса, кроме членов трибунала, приняли участие все находившиеся в Петербурге мальтийские рыцари.	41:50	0:117
трибунал	NOUN	1682-1916	1	трибунал-23		Если бы правительство не довело этого дела до суда, если бы оно терпимо отнеслось к сношениям бывших высших административных лиц с революционерами, с проповедниками террора, с участниками даже кровавого террора, к разоблачениям этих бывших сановников, хранителей государственных тайн, перед революционным трибуналом, то это знаменовало бы не только боязнь перед разоблачениями, не только трусливую робость перед светом гласности, а полный развал государственности (рукоплескания центра).	305:315	0:487
трибунал	NOUN	1682-1916	1	трибунал-24		В случае несогласия концессионеров подчиниться этому требованию, вопрос будет передан на разрешение гаагского трибунала. неизвестный.	110:119	0:133
