lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
тройка	NOUN	1918-1990	2	тройка-0		-- Ты обалдел, что ли Кто Ньютон -- и кто ты У тебя вон по химии и по немецкому тройки!	80:86	0:87
тройка	NOUN	1918-1990	2	тройка-1		Добряк) их торжественно построили -- да не когда-нибудь, а в день 1 мая 1938 года, когда красные флаги висели, и объявили приговоры тройки по Сталинской области (всё-таки ОСО рассредоточивалось в натужное время): от десяти до двадцати лет каждому.	132:138	0:247
тройка	NOUN	1682-1916	1	тройка-2		-- Это значит, дорогой мой, -- продолжал торжественно Тихон Парфеньевич, -- что ты пришелся мне, старику, по сердцу, а придись Тихону кто по сердцу, так Тихон отдаст ему не только тройку лошадей, а старуху свою отдал бы, да никто не возьмет, -- прибавил хозяин, и все общество, за исключением штатного смотрителя, покатилось со смеха.	180:186	0:334
тройка	NOUN	1682-1916	1	тройка-3		Как потом за вашу милость отвечать В это время сзади нас послышались колокольчики нескольких троек, которые шибко догоняли нас.	93:98	0:127
тройка	NOUN	1682-1916	1	тройка-4		Тройка здоровых лошадей буланой масти, коровы, куры, утки -- всё к услугам будущего владельца.	0:6	0:94
тройка	NOUN	1918-1990	2	тройка-5		Как только показалась эта тройка, Грацианов передал свою одиночку близстоявшему сотскому и пересел в разуваевские пошевни.	26:32	0:122
тройка	NOUN	1682-1916	1	тройка-6		Тройка мчалась под гору.	0:6	0:24
тройка	NOUN	1918-1990	2	тройка-7		Тройке быстрых лошадок как будто доставляло удовольствие мчать легкую кошеву по горам и долам, по замерзшим рекам и среди тайги, сверкавшей на солнце в серебряном уборе.	0:6	0:169
тройка	NOUN	1682-1916	1	тройка-8		[Нужно было внешнее влияние на них, чтобы они отстали от обычая запрягать тройку вместо пары, хотя каждый из них видел, что обычай этот невыгоден для него.]	74:80	0:156
тройка	NOUN	1682-1916	1	тройка-9		-- Послушайте, Александр Демьянович, меня вот Капустин спрашивает, вы не покупаете лошадей У него есть преотличная тройка, -- спросил через стол Тараканов, но, дернутый за рукав женой, сейчас же прибавил: -- Извините, это я так!	115:121	0:228
тройка	NOUN	1682-1916	1	тройка-10		А в гимназии перебивался с тройки на тройку, случалось, и двойки получал.	27:33	0:73
тройка	NOUN	1918-1990	2	тройка-11		Издали раздается колокольчик приближающейся тройки.	44:50	0:51
тройка	NOUN	1682-1916	1	тройка-12		А когда тройка мчалась уже по безлюдной дороге мимо того леса, где Волынцев недавно охотился, он приподнялся в своем тарантасе, презрительно сощурил глаза, вынул из кобуры револьвер и два раза выстрелил в лес.	8:14	0:209
тройка	NOUN	1682-1916	1	тройка-13		В то самое время, как князь Шелешпапский прятался от служивых в овинной яме, к дому Максима Петровича подъехал на тройке молодой гвардейский офицер.	114:120	0:148
тройка	NOUN	1682-1916	1	тройка-14		Атаку "квик-Ц" провела Кукушкина, точнее -- вся нападающая тройка.	59:65	0:66
тройка	NOUN	1918-1990	2	тройка-15		Не раз обгоняла их на пути и почтовая тройка, пролетавшая сломя голову с звоном и громом, и изумленно глядел на них развалившийся в тарантасе седок.	38:44	0:148
тройка	NOUN	1682-1916	1	тройка-16		Бог весть из каких мест людей этих принесла тройка: не для того ли, чтоб вожделений тайное безобразие снова обстало его окружающей стаей Как бы отвечая на его мысль, чьи-то с террасы раздавались шаги;	44:50	0:200
тройка	NOUN	1682-1916	1	тройка-17		Нет троек, нет верховых "киргизов", нет гончих и борзых собак, нет дворни и нет самого обладателя всего этого -- помещика-охотника, вроде моего покойного шурина Арсения Семеныча.	4:9	0:178
тройка	NOUN	1682-1916	1	тройка-18		В запечатанном письме, найденном в его столе, на наше имя, от 9 октября 1886 года он дает, между прочим, разъяснение всем своим посмертным распоряжениям; понимая, какую он мог оказать плохую услугу "тройке детей" -- его собственное выражение, -- дав им солидное среднее образование и не позаботившись в то же время о том, чтобы "поддержать их на первых шагах жизни", Иван Александрович Гончаров оставил им свое денежное имущество и движимость, кроме кабинета "с запертыми в нем помещениями", относительно чего он сделал особое распоряжение; в этих помещениях, как он говорит в письме, нет ничего ценного в имущественном смысле.	199:205	0:627
тройка	NOUN	1682-1916	1	тройка-19		Собравшись большим обществом, мы беседовали преимущественно о двойках, тройках, учителях и тому подобных предметах, представлявших общий интерес; но для интимного обмена мыслей всегда разбивались на пары, причем Хапай-Махаевский был неизменным собеседником Легкоживецкого.	71:78	0:272
тройка	NOUN	1682-1916	1	тройка-20		В конце переулка показалась тройка лошадей, ехавшая шагом к ним навстречу.	28:34	0:74
тройка	NOUN	1682-1916	1	тройка-21		На третий день глядь -- тройка: старшина, зять, десятский.	24:30	0:58
тройка	NOUN	1682-1916	1	тройка-22		В слободку, звеня колокольцами, въезжала почта на восьми тройках.	57:64	0:65
