identifier1	identifier2	annotator	judgment	comment	lemma
уклон-0	уклон-1	annotator1	4		уклон
уклон-0	уклон-1	annotator2	3		уклон
уклон-0	уклон-1	annotator3	4		уклон
уклон-0	уклон-1	annotator4	3		уклон
уклон-0	уклон-1	annotator5	4		уклон
уклон-2	уклон-3	annotator1	4		уклон
уклон-2	уклон-3	annotator2	4		уклон
уклон-2	уклон-3	annotator3	4		уклон
уклон-2	уклон-3	annotator4	4		уклон
уклон-2	уклон-3	annotator5	4		уклон
уклон-4	уклон-5	annotator1	4		уклон
уклон-4	уклон-5	annotator2	4		уклон
уклон-4	уклон-5	annotator3	3		уклон
уклон-4	уклон-5	annotator4	4		уклон
уклон-4	уклон-5	annotator5	3		уклон
уклон-6	уклон-7	annotator1	4		уклон
уклон-6	уклон-7	annotator2	1		уклон
уклон-6	уклон-7	annotator3	3		уклон
уклон-6	уклон-7	annotator4	4		уклон
уклон-6	уклон-7	annotator5	4		уклон
уклон-8	уклон-9	annotator1	1		уклон
уклон-8	уклон-9	annotator2	1		уклон
уклон-8	уклон-9	annotator3	1		уклон
уклон-8	уклон-9	annotator4	1		уклон
уклон-8	уклон-9	annotator5	1		уклон
уклон-10	уклон-11	annotator1	4		уклон
уклон-10	уклон-11	annotator2	4		уклон
уклон-10	уклон-11	annotator3	3		уклон
уклон-10	уклон-11	annotator4	4		уклон
уклон-10	уклон-11	annotator5	1		уклон
уклон-12	уклон-13	annotator1	1		уклон
уклон-12	уклон-13	annotator2	1		уклон
уклон-12	уклон-13	annotator3	3		уклон
уклон-12	уклон-13	annotator4	1		уклон
уклон-12	уклон-13	annotator5	1		уклон
уклон-14	уклон-15	annotator1	2		уклон
уклон-14	уклон-15	annotator2	4		уклон
уклон-14	уклон-15	annotator3	1		уклон
уклон-14	уклон-15	annotator4	4		уклон
уклон-14	уклон-15	annotator5	4		уклон
уклон-16	уклон-17	annotator1	1		уклон
уклон-16	уклон-17	annotator2	1		уклон
уклон-16	уклон-17	annotator3	2		уклон
уклон-16	уклон-17	annotator4	1		уклон
уклон-16	уклон-17	annotator5	1		уклон
уклон-18	уклон-19	annotator1	4		уклон
уклон-18	уклон-19	annotator2	1		уклон
уклон-18	уклон-19	annotator3	4		уклон
уклон-18	уклон-19	annotator4	2		уклон
уклон-18	уклон-19	annotator5	4		уклон
уклон-20	уклон-21	annotator1	4		уклон
уклон-20	уклон-21	annotator2	4		уклон
уклон-20	уклон-21	annotator3	4		уклон
уклон-20	уклон-21	annotator4	4		уклон
уклон-20	уклон-21	annotator5	4		уклон
уклон-22	уклон-23	annotator1	4		уклон
уклон-22	уклон-23	annotator2	4		уклон
уклон-22	уклон-23	annotator3	4		уклон
уклон-22	уклон-23	annotator4	4		уклон
уклон-22	уклон-23	annotator5	1		уклон
уклон-24	уклон-25	annotator1	1		уклон
уклон-24	уклон-25	annotator2	2		уклон
уклон-24	уклон-25	annotator3	1		уклон
уклон-24	уклон-25	annotator4	1		уклон
уклон-24	уклон-25	annotator5	1		уклон
уклон-26	уклон-27	annotator1	1		уклон
уклон-26	уклон-27	annotator2	1		уклон
уклон-26	уклон-27	annotator3	1		уклон
уклон-26	уклон-27	annotator4	1		уклон
уклон-26	уклон-27	annotator5	1		уклон
уклон-28	уклон-29	annotator1	3		уклон
уклон-28	уклон-29	annotator2	4		уклон
уклон-28	уклон-29	annotator3	4		уклон
уклон-28	уклон-29	annotator4	4		уклон
уклон-28	уклон-29	annotator5	4		уклон
уклон-30	уклон-31	annotator1	1		уклон
уклон-30	уклон-31	annotator2	1		уклон
уклон-30	уклон-31	annotator3	1		уклон
уклон-30	уклон-31	annotator4	1		уклон
уклон-30	уклон-31	annotator5	1		уклон
уклон-32	уклон-33	annotator1	3		уклон
уклон-32	уклон-33	annotator2	4		уклон
уклон-32	уклон-33	annotator3	2		уклон
уклон-32	уклон-33	annotator4	2		уклон
уклон-32	уклон-33	annotator5	4		уклон
уклон-34	уклон-35	annotator1	1		уклон
уклон-34	уклон-35	annotator2	1		уклон
уклон-34	уклон-35	annotator3	4		уклон
уклон-34	уклон-35	annotator4	1		уклон
уклон-34	уклон-35	annotator5	1		уклон
уклон-36	уклон-37	annotator1	2		уклон
уклон-36	уклон-37	annotator2	4		уклон
уклон-36	уклон-37	annotator3	4		уклон
уклон-36	уклон-37	annotator4	2		уклон
уклон-36	уклон-37	annotator5	4		уклон
уклон-38	уклон-39	annotator1	4		уклон
уклон-38	уклон-39	annotator2	3		уклон
уклон-38	уклон-39	annotator3	4		уклон
уклон-38	уклон-39	annotator4	4		уклон
уклон-38	уклон-39	annotator5	4		уклон
уклон-40	уклон-41	annotator1	1		уклон
уклон-40	уклон-41	annotator2	1		уклон
уклон-40	уклон-41	annotator3	2		уклон
уклон-40	уклон-41	annotator4	1		уклон
уклон-40	уклон-41	annotator5	1		уклон
уклон-42	уклон-43	annotator1	2		уклон
уклон-42	уклон-43	annotator2	4		уклон
