lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
уклон	NOUN	1918-1990	2	уклон-0		"Без уклона, по крайней мере", -- сказал Хрюкин.	5:11	0:48
уклон	NOUN	1918-1990	2	уклон-1		Здесь узкая тропа, вымощенная хорошо пригнанными друг к другу сухими выступами корней, легким уклоном катилась извивами к просеке электроопор.	94:101	0:142
уклон	NOUN	1682-1916	1	уклон-2		"Виллис-Найт", завывая мотором, молниеносно скользнул вниз по уклону, потом снова вверх, на закруглении колеса отделились от колеи и машина взмыла вверх, к небу.	62:68	0:161
уклон	NOUN	1918-1990	2	уклон-3		Рельсы шли на уклон, потом сделали громадное закругление, и наконец прямой, как игла, путь открыл длинную, правильную аллею леса и насыпи.	14:19	0:138
уклон	NOUN	1918-1990	2	уклон-4		Что касается сельского хозяйства Пригородного района, то оно имеет совершенно определенное животноводчески-молочное направление с уклоном к огородничеству.	130:137	0:155
уклон	NOUN	1918-1990	2	уклон-5		Семья Лопухиных была дворянская, родовитая, богатая, культурная семья либерального уклона типа "Вестника Европы" или "Русской Мысли".	83:89	0:133
уклон	NOUN	1918-1990	2	уклон-6		-- Не было совершенно вопросов, касающихся правого уклона, и вообще о нем совсем не говорилось.	51:57	0:95
уклон	NOUN	1918-1990	2	уклон-7		В дальнейшем, когда меньшевизм окончательно раскололся, на ликвидаторов и "партийцев", рабочие члены фракции Государственной Думы пошли за партийцами, которые работали вместе с большевиками против всяких уклонов как справа, так и слева.	204:211	0:236
уклон	NOUN	1682-1916	1	уклон-8		Уклон "падающей башни" в Пизе увеличился на несколько градусов.	0:5	0:63
уклон	NOUN	1682-1916	1	уклон-9		Это -- в русской, великорусской, природе: серенькое небо, серенькие будни -- И здесь, в уме, intellectus'e интеллигенции нашей, как в сердце и воле, тот же народный уклон к аскетизму, к духоборчеству, монашеский страх плоти и крови, страх всякой наготы и красоты, как соблазна бесовского.	165:170	0:288
уклон	NOUN	1682-1916	1	уклон-10		Уклон был небольшой, но несомненно вверх, и несколько нивелировок, произведенных в течение дня, подтвердили то, что видел глаз и что показывали собаки своим ходом.	0:5	0:163
уклон	NOUN	1918-1990	2	уклон-11		Бомба в саду Черченова взорвалсь при следующих обстоятельствах: шесть человек поднимались по уклону с двумя бомбами; один, споткнувшись, упал; бомба взорвалась; силой взрыва взорвало другую бомбу; всех шестерых разорвало на части.	93:99	0:230
уклон	NOUN	1918-1990	2	уклон-12		А по-солдатски и того гожей устав: ешь без уклону, пей без поклону.	43:49	0:67
уклон	NOUN	1918-1990	2	уклон-13		Сравнительно умеренную позицию занимали и такие члены Политбюро, как Ворошилов и Калинин, отнюдь не принадлежавшие к "правому" уклону.	127:133	0:134
уклон	NOUN	1682-1916	1	уклон-14		В то время, как одни из них являются горячими сторонниками сельскохозяйственного уклона, считая, что подготовить молодое поколение к восприятию сельскохозяйственных знаний -- основная задача общественной агрономии, другие, наоборот, относятся к этому делу отрицательно.	81:87	0:269
уклон	NOUN	1918-1990	2	уклон-15		Этот уклон всегда есть в русской жажде абсолютного, в русском отрицании всего относительного, всего исторического.	5:10	0:114
уклон	NOUN	1918-1990	2	уклон-16		Вдоль железнодорожного полотна., кроме верстовых (или теперь -- километровых) столбов, вы видите еще и другие невысокие столбы с непонятными для многих надписями на косо прибитых дощечках, в роде таких: Это -- знаки уклонов пути.	216:223	0:229
уклон	NOUN	1918-1990	2	уклон-17		Речи, правда, не все, Порошина с уклоном в максимализм приписаны Поморцеву, и критические замечания, направленные против Порошина, отнесены ко мне.	33:40	0:147
уклон	NOUN	1682-1916	1	уклон-18		Ведь идти туда -- значит удовлетворить глубочайшим потребностям своего сердца, которому как-то сродно страдание, оно имеет необъяснимый уклон к нему; и пойти с такою целью -- это значит ответить на главный запрос ума, который он снова и снова высказывает сквозь все, чем пытается развлечь его наука и философия.	136:141	0:311
уклон	NOUN	1682-1916	1	уклон-19		Сострадание -- буддийской природы, буддийский уклон в христианстве.	46:51	0:67
уклон	NOUN	1682-1916	1	уклон-20		Всякий слишком героический путь личности русское православное сознание признает гордыней, и идеологи русского православия готовы видеть в этом пути уклон к человекобожеству и демонизму.	148:153	0:185
уклон	NOUN	1682-1916	1	уклон-21		В период времени 1862-1866 годов политика Александра II приняла решительно реакционный уклон.	87:92	0:93
уклон	NOUN	1682-1916	1	уклон-22		Высочайший из монтаньяров Ларин печатает многозначительную статью "О правом болоте в нашей партии", в коей призывает "решительно одернуть проявившую настойчивость часть товарищей" и "задушить правый уклон в самом зародыше".	199:204	0:223
уклон	NOUN	1918-1990	2	уклон-23		Такая идеализация имеет фатальный уклон в сторону реакционного мракобесия.	34:39	0:74
