identifier1	identifier2	annotator	judgment	comment	lemma
управа-90-12	управа-91-12	annotator1	4		управа
управа-22-12	управа-23-12	annotator1	1		управа
управа-58-12	управа-59-12	annotator1	2		управа
управа-8-12	управа-9-12	annotator1	4		управа
управа-72-12	управа-73-12	annotator1	1		управа
управа-24-12	управа-25-12	annotator1	4		управа
управа-60-12	управа-61-12	annotator1	4		управа
управа-70-12	управа-71-12	annotator1	4		управа
управа-74-12	управа-75-12	annotator1	4		управа
управа-68-12	управа-69-12	annotator1	4		управа
управа-26-12	управа-27-12	annotator1	4		управа
управа-102-12	управа-103-12	annotator1	4		управа
управа-64-12	управа-65-12	annotator1	4		управа
управа-94-12	управа-95-12	annotator1	4		управа
управа-66-12	управа-67-12	annotator1	4		управа
управа-14-12	управа-15-12	annotator1	4		управа
управа-28-12	управа-29-12	annotator1	4		управа
управа-18-12	управа-19-12	annotator1	4		управа
управа-76-12	управа-77-12	annotator1	2		управа
управа-40-12	управа-41-12	annotator1	1		управа
управа-78-12	управа-79-12	annotator1	4		управа
управа-6-12	управа-7-12	annotator1	4		управа
управа-38-12	управа-39-12	annotator1	3		управа
управа-80-12	управа-81-12	annotator1	3		управа
управа-110-12	управа-111-12	annotator1	4		управа
управа-32-12	управа-33-12	annotator1	4		управа
управа-4-12	управа-5-12	annotator1	1		управа
управа-82-12	управа-83-12	annotator1	4		управа
управа-30-12	управа-31-12	annotator1	4		управа
управа-34-12	управа-35-12	annotator1	4		управа
управа-84-12	управа-85-12	annotator1	4		управа
управа-2-12	управа-3-12	annotator1	3		управа
управа-20-12	управа-21-12	annotator1	4		управа
управа-36-12	управа-37-12	annotator1	3		управа
управа-96-12	управа-97-12	annotator1	3		управа
управа-0-12	управа-1-12	annotator1	4		управа
управа-10-12	управа-11-12	annotator1	4		управа
управа-104-12	управа-105-12	annotator1	1		управа
управа-92-12	управа-93-12	annotator1	2		управа
управа-52-12	управа-53-12	annotator1	4		управа
управа-118-12	управа-119-12	annotator1	1		управа
управа-54-12	управа-55-12	annotator1	4		управа
управа-106-12	управа-107-12	annotator1	4		управа
управа-50-12	управа-51-12	annotator1	4		управа
управа-88-12	управа-89-12	annotator1	4		управа
управа-116-12	управа-117-12	annotator1	1		управа
управа-48-12	управа-49-12	annotator1	1		управа
управа-108-12	управа-109-12	annotator1	4		управа
управа-86-12	управа-87-12	annotator1	4		управа
управа-114-12	управа-115-12	annotator1	1		управа
управа-46-12	управа-47-12	annotator1	4		управа
управа-42-12	управа-43-12	annotator1	1		управа
управа-112-12	управа-113-12	annotator1	1		управа
управа-44-12	управа-45-12	annotator1	4		управа
управа-12-12	управа-13-12	annotator1	4		управа
управа-98-12	управа-99-12	annotator1	4		управа
управа-100-12	управа-101-12	annotator1	4		управа
управа-56-12	управа-57-12	annotator1	1		управа
управа-62-12	управа-63-12	annotator1	3		управа
управа-16-12	управа-17-12	annotator1	1		управа
управа-42-12	управа-43-12	annotator2	1		управа
управа-50-12	управа-51-12	annotator2	4		управа
управа-28-12	управа-29-12	annotator2	4		управа
управа-104-12	управа-105-12	annotator2	1		управа
управа-6-12	управа-7-12	annotator2	4		управа
управа-4-12	управа-5-12	annotator2	1		управа
управа-118-12	управа-119-12	annotator2	1		управа
управа-12-12	управа-13-12	annotator2	4		управа
управа-26-12	управа-27-12	annotator2	3		управа
управа-30-12	управа-31-12	annotator2	1		управа
управа-18-12	управа-19-12	annotator2	4		управа
управа-8-12	управа-9-12	annotator2	4		управа
управа-2-12	управа-3-12	annotator2	3		управа
управа-106-12	управа-107-12	annotator2	4		управа
управа-116-12	управа-117-12	annotator2	1		управа
управа-20-12	управа-21-12	annotator2	3		управа
управа-0-12	управа-1-12	annotator2	4		управа
управа-10-12	управа-11-12	annotator2	3		управа
управа-14-12	управа-15-12	annotator2	4		управа
управа-108-12	управа-109-12	annotator2	4		управа
управа-24-12	управа-25-12	annotator2	4		управа
управа-22-12	управа-23-12	annotator2	1		управа
управа-112-12	управа-113-12	annotator2	3		управа
управа-68-12	управа-69-12	annotator2	4		управа
управа-114-12	управа-115-12	annotator2	4		управа
управа-110-12	управа-111-12	annotator2	4		управа
управа-102-12	управа-103-12	annotator2	4		управа
управа-62-12	управа-63-12	annotator2	4		управа
управа-66-12	управа-67-12	annotator2	4		управа
управа-96-12	управа-97-12	annotator2	4		управа
управа-56-12	управа-57-12	annotator2	4		управа
управа-98-12	управа-99-12	annotator2	1		управа
управа-44-12	управа-45-12	annotator2	4		управа
управа-100-12	управа-101-12	annotator2	4		управа
управа-94-12	управа-95-12	annotator2	4		управа
управа-46-12	управа-47-12	annotator2	4		управа
управа-86-12	управа-87-12	annotator2	4		управа
управа-48-12	управа-49-12	annotator2	1		управа
управа-88-12	управа-89-12	annotator2	4		управа
управа-16-12	управа-17-12	annotator2	1		управа
управа-90-12	управа-91-12	annotator2	4		управа
управа-54-12	управа-55-12	annotator2	4		управа
управа-52-12	управа-53-12	annotator2	4		управа
управа-92-12	управа-93-12	annotator2	4		управа
управа-74-12	управа-75-12	annotator2	4		управа
управа-60-12	управа-61-12	annotator2	4		управа
управа-64-12	управа-65-12	annotator2	4		управа
управа-38-12	управа-39-12	annotator2	4		управа
управа-72-12	управа-73-12	annotator2	1		управа
управа-58-12	управа-59-12	annotator2	4		управа
управа-34-12	управа-35-12	annotator2	1		управа
управа-40-12	управа-41-12	annotator2	4		управа
управа-78-12	управа-79-12	annotator2	1		управа
управа-84-12	управа-85-12	annotator2	4		управа
управа-70-12	управа-71-12	annotator2	4		управа
управа-82-12	управа-83-12	annotator2	4		управа
управа-36-12	управа-37-12	annotator2	3		управа
управа-32-12	управа-33-12	annotator2	3		управа
управа-76-12	управа-77-12	annotator2	1		управа
управа-80-12	управа-81-12	annotator2	4		управа
управа-48-12	управа-49-12	annotator3	1		управа
управа-22-12	управа-23-12	annotator3	1		управа
управа-54-12	управа-55-12	annotator3	4		управа
управа-116-12	управа-117-12	annotator3	1		управа
управа-30-12	управа-31-12	annotator3	4		управа
управа-38-12	управа-39-12	annotator3	4		управа
управа-50-12	управа-51-12	annotator3	1		управа
управа-110-12	управа-111-12	annotator3	4		управа
управа-46-12	управа-47-12	annotator3	4		управа
управа-34-12	управа-35-12	annotator3	4		управа
управа-114-12	управа-115-12	annotator3	3		управа
управа-18-12	управа-19-12	annotator3	1		управа
управа-58-12	управа-59-12	annotator3	1		управа
управа-42-12	управа-43-12	annotator3	3		управа
управа-60-12	управа-61-12	annotator3	4		управа
управа-24-12	управа-25-12	annotator3	4		управа
управа-56-12	управа-57-12	annotator3	4		управа
управа-62-12	управа-63-12	annotator3	3		управа
управа-112-12	управа-113-12	annotator3	1		управа
управа-40-12	управа-41-12	annotator3	4		управа
управа-26-12	управа-27-12	annotator3	4		управа
управа-20-12	управа-21-12	annotator3	2		управа
управа-66-12	управа-67-12	annotator3	3		управа
управа-28-12	управа-29-12	annotator3	4		управа
управа-32-12	управа-33-12	annotator3	4		управа
управа-44-12	управа-45-12	annotator3	4		управа
управа-64-12	управа-65-12	annotator3	3		управа
управа-36-12	управа-37-12	annotator3	3		управа
управа-52-12	управа-53-12	annotator3	4		управа
управа-8-12	управа-9-12	annotator3	4		управа
управа-12-12	управа-13-12	annotator3	4		управа
управа-2-12	управа-3-12	annotator3	4		управа
управа-96-12	управа-97-12	annotator3	4		управа
управа-70-12	управа-71-12	annotator3	4		управа
управа-10-12	управа-11-12	annotator3	3		управа
управа-98-12	управа-99-12	annotator3	4		управа
управа-14-12	управа-15-12	annotator3	1		управа
управа-100-12	управа-101-12	annotator3	3		управа
управа-4-12	управа-5-12	annotator3	1		управа
управа-74-12	управа-75-12	annotator3	3		управа
управа-68-12	управа-69-12	annotator3	4		управа
управа-76-12	управа-77-12	annotator3	4		управа
управа-118-12	управа-119-12	annotator3	1		управа
управа-78-12	управа-79-12	annotator3	4		управа
управа-6-12	управа-7-12	annotator3	4		управа
управа-72-12	управа-73-12	annotator3	1		управа
управа-104-12	управа-105-12	annotator3	1		управа
управа-92-12	управа-93-12	annotator3	3		управа
управа-0-12	управа-1-12	annotator3	4		управа
управа-90-12	управа-91-12	annotator3	3		управа
управа-106-12	управа-107-12	annotator3	4		управа
управа-86-12	управа-87-12	annotator3	4		управа
управа-82-12	управа-83-12	annotator3	3		управа
управа-80-12	управа-81-12	annotator3	4		управа
управа-102-12	управа-103-12	annotator3	4		управа
управа-88-12	управа-89-12	annotator3	3		управа
управа-108-12	управа-109-12	annotator3	3		управа
управа-84-12	управа-85-12	annotator3	2		управа
управа-16-12	управа-17-12	annotator3	1		управа
управа-94-12	управа-95-12	annotator3	4		управа
управа-56-12	управа-57-12	annotator4	4		управа
управа-58-12	управа-59-12	annotator4	4		управа
управа-70-12	управа-71-12	annotator4	4		управа
управа-82-12	управа-83-12	annotator4	3		управа
управа-68-12	управа-69-12	annotator4	4		управа
управа-76-12	управа-77-12	annotator4	4		управа
управа-32-12	управа-33-12	annotator4	4		управа
управа-102-12	управа-103-12	annotator4	4		управа
управа-34-12	управа-35-12	annotator4	4		управа
управа-80-12	управа-81-12	annotator4	3		управа
управа-30-12	управа-31-12	annotator4	4		управа
управа-72-12	управа-73-12	annotator4	1		управа
управа-64-12	управа-65-12	annotator4	4		управа
управа-60-12	управа-61-12	annotator4	4		управа
управа-50-12	управа-51-12	annotator4	4		управа
управа-90-12	управа-91-12	annotator4	4		управа
управа-52-12	управа-53-12	annotator4	4		управа
управа-54-12	управа-55-12	annotator4	4		управа
управа-88-12	управа-89-12	annotator4	4		управа
управа-48-12	управа-49-12	annotator4	1		управа
управа-86-12	управа-87-12	annotator4	4		управа
управа-46-12	управа-47-12	annotator4	4		управа
управа-92-12	управа-93-12	annotator4	4		управа
управа-100-12	управа-101-12	annotator4	4		управа
