lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
управа	NOUN	1682-1916	1	управа-0		...Михаил Иванович так кстати явившийся на свою родину ...был (в управе -- авт.) незаменимый человек.	65:71	0:101
управа	NOUN	1918-1990	2	управа-1		По 12 пункту относительно народного образования сведения управой собраны, причём имеется от Министра Народного Просвещения предложение об участии Земства к поддержанию народных училищ, по которому особо от управы будет доложено Собранию.	57:64	0:237
управа	NOUN	1918-1990	2	управа-2		-- В городскую управу, -- говорит Краус.	15:21	0:40
управа	NOUN	1918-1990	2	управа-3		Как-то, помню, очень он пламенно говорил против каких-то действий управы.	66:72	0:73
управа	NOUN	1682-1916	1	управа-4		-- И на тебя управа сыщется!	13:19	0:28
управа	NOUN	1918-1990	2	управа-5		Разграблены все земские управы, все думы, все попечительства, все благотворительные учреждения.	24:30	0:95
управа	NOUN	1682-1916	1	управа-6		-- Матушка даже глаза закрывала: разве сегодня она могла сердиться, хотя бы он купил самого председателя земской управы Поздюни-на.	113:119	0:131
управа	NOUN	1918-1990	2	управа-7		Цветочная реклама С разрешения городской управы, различными садоводствами Москвы, почти во всех столичных скверах и подмосковных парках устроены еще новые у нас цветники-рекламы.	41:47	0:178
управа	NOUN	1918-1990	2	управа-8		-- Может бы, вы это передали Богатьке Петроку Наверно же, тут он -- Здесь, да, -- сказал Свентковский, опасливо взглянув на близкое здание управы и почти не замедлив шаг; она испугалась, что не задержит его, что он сейчас отойдет, тогда не догонишь.	139:145	0:249
управа	NOUN	1918-1990	2	управа-9		Такой плешивенький, коротенький, неряшливо одетый мог бы быть служащим где-нибудь в захолустной земской управе.	104:110	0:111
управа	NOUN	1918-1990	2	управа-10		-- Отнеси это в ремесленную управу, -- сказал Бормотов человеку.	28:34	0:64
управа	NOUN	1918-1990	2	управа-11		Либеральные помещики играли довольно видную роль в земских управах.	59:66	0:67
управа	NOUN	1682-1916	1	управа-12		Управы обращаются к Губернатору с представлениями и получают от него предложения; с прочими Губернскими и уездными установлениями Управы сносятся отношениями.	0:6	0:158
управа	NOUN	1682-1916	1	управа-13		Теперь управа входит в думу с предложением о дополнении обязательных постановлений в смысле распространения этого права и на женщин. неизвестный.	7:13	0:145
управа	NOUN	1682-1916	1	управа-14		Адрианович Горинов, владелец именно такого хутора (Ушаковского) и бывший управляющий хутора господ Ненюковых, -- выбран был председателем уездной управы.	73:84	0:153
управа	NOUN	1682-1916	1	управа-15		Так, конечно, выгоднее для управы, но не для собственника собаки.	27:33	0:65
управа	NOUN	1682-1916	1	управа-16		В Перми обидели некоторых, москвитян: сего было довольно для Иоанна: он послал туда князя Феодора Пестрого с войском, чтобы доставить им законную управу.	146:152	0:153
управа	NOUN	1682-1916	1	управа-17		На этот вопрос был получен от управы отзыв такого содержания: что ни в Строительном уставе, ни в обязательных постановлениях по строительной части петербургского городского общественного управления нет правил о надзоре, со стороны городского архитектора, за сломкой строений и что выданное управой правлению общества взаимного кредита разрешительное свидетельство на сломку здания, предъявленное участковому архитектору, возлагало на сего последнего только одну обязанность: чтобы до начала производства работ место занимаемое зданием по Екатерининскому каналу было ограждено забором.	30:36	0:584
