identifier1	identifier2	annotator	judgment	comment	lemma
управление-88-12	управление-89-12	annotator1	3		управление
управление-98-12	управление-99-12	annotator1	2		управление
управление-92-12	управление-93-12	annotator1	1		управление
управление-54-12	управление-55-12	annotator1	1		управление
управление-94-12	управление-95-12	annotator1	1		управление
управление-96-12	управление-97-12	annotator1	1		управление
управление-52-12	управление-53-12	annotator1	4		управление
управление-106-12	управление-107-12	annotator1	4		управление
управление-114-12	управление-115-12	annotator1	1		управление
управление-116-12	управление-117-12	annotator1	1		управление
управление-50-12	управление-51-12	annotator1	1		управление
управление-68-12	управление-69-12	annotator1	1		управление
управление-48-12	управление-49-12	annotator1	1		управление
управление-108-12	управление-109-12	annotator1	1		управление
управление-110-12	управление-111-12	annotator1	2		управление
управление-32-12	управление-33-12	annotator1	3		управление
управление-102-12	управление-103-12	annotator1	1		управление
управление-112-12	управление-113-12	annotator1	3		управление
управление-56-12	управление-57-12	annotator1	1		управление
управление-36-12	управление-37-12	annotator1	1		управление
управление-72-12	управление-73-12	annotator1	1		управление
управление-74-12	управление-75-12	annotator1	1		управление
управление-76-12	управление-77-12	annotator1	3		управление
управление-44-12	управление-45-12	annotator1	1		управление
управление-58-12	управление-59-12	annotator1	4		управление
управление-42-12	управление-43-12	annotator1	1		управление
управление-60-12	управление-61-12	annotator1	1		управление
управление-62-12	управление-63-12	annotator1	4		управление
управление-40-12	управление-41-12	annotator1	4		управление
управление-64-12	управление-65-12	annotator1	1		управление
управление-18-12	управление-19-12	annotator1	1		управление
управление-66-12	управление-67-12	annotator1	4		управление
управление-38-12	управление-39-12	annotator1	1		управление
управление-100-12	управление-101-12	annotator1	3		управление
управление-104-12	управление-105-12	annotator1	1		управление
управление-46-12	управление-47-12	annotator1	4		управление
управление-90-12	управление-91-12	annotator1	4		управление
управление-118-12	управление-119-12	annotator1	3		управление
управление-8-12	управление-9-12	annotator1	4		управление
управление-80-12	управление-81-12	annotator1	1		управление
управление-24-12	управление-25-12	annotator1	4		управление
управление-78-12	управление-79-12	annotator1	4		управление
управление-22-12	управление-23-12	annotator1	1		управление
управление-0-12	управление-1-12	annotator1	4		управление
управление-82-12	управление-83-12	annotator1	4		управление
управление-2-12	управление-3-12	annotator1	3		управление
управление-20-12	управление-21-12	annotator1	1		управление
управление-86-12	управление-87-12	annotator1	2		управление
управление-10-12	управление-11-12	annotator1	3		управление
управление-12-12	управление-13-12	annotator1	4		управление
управление-34-12	управление-35-12	annotator1	1		управление
управление-14-12	управление-15-12	annotator1	3		управление
управление-16-12	управление-17-12	annotator1	1		управление
управление-84-12	управление-85-12	annotator1	1		управление
управление-30-12	управление-31-12	annotator1	1		управление
управление-28-12	управление-29-12	annotator1	1		управление
управление-6-12	управление-7-12	annotator1	2		управление
управление-4-12	управление-5-12	annotator1	2		управление
управление-70-12	управление-71-12	annotator1	1		управление
управление-26-12	управление-27-12	annotator1	1		управление
управление-0-12	управление-1-12	annotator2	3		управление
управление-62-12	управление-63-12	annotator2	4		управление
управление-108-12	управление-109-12	annotator2	1		управление
управление-60-12	управление-61-12	annotator2	1		управление
управление-14-12	управление-15-12	annotator2	4		управление
управление-110-12	управление-111-12	annotator2	4		управление
управление-58-12	управление-59-12	annotator2	3		управление
управление-82-12	управление-83-12	annotator2	2		управление
управление-94-12	управление-95-12	annotator2	1		управление
управление-76-12	управление-77-12	annotator2	2		управление
управление-78-12	управление-79-12	annotator2	4		управление
управление-6-12	управление-7-12	annotator2	1		управление
управление-74-12	управление-75-12	annotator2	4		управление
управление-10-12	управление-11-12	annotator2	1		управление
управление-72-12	управление-73-12	annotator2	1		управление
управление-80-12	управление-81-12	annotator2	1		управление
управление-70-12	управление-71-12	annotator2	2		управление
управление-4-12	управление-5-12	annotator2	1		управление
управление-66-12	управление-67-12	annotator2	1		управление
управление-64-12	управление-65-12	annotator2	1		управление
управление-114-12	управление-115-12	annotator2	4		управление
управление-12-12	управление-13-12	annotator2	4		управление
управление-116-12	управление-117-12	annotator2	1		управление
управление-92-12	управление-93-12	annotator2	1		управление
управление-96-12	управление-97-12	annotator2	1		управление
управление-118-12	управление-119-12	annotator2	2		управление
управление-98-12	управление-99-12	annotator2	4		управление
управление-90-12	управление-91-12	annotator2	1		управление
управление-106-12	управление-107-12	annotator2	4		управление
управление-2-12	управление-3-12	annotator2	3		управление
управление-104-12	управление-105-12	annotator2	1		управление
управление-84-12	управление-85-12	annotator2	1		управление
управление-112-12	управление-113-12	annotator2	4		управление
управление-102-12	управление-103-12	annotator2	1		управление
управление-100-12	управление-101-12	annotator2	4		управление
управление-86-12	управление-87-12	annotator2	2		управление
управление-88-12	управление-89-12	annotator2	1		управление
управление-8-12	управление-9-12	annotator2	1		управление
управление-16-12	управление-17-12	annotator2	1		управление
управление-22-12	управление-23-12	annotator2	2		управление
управление-34-12	управление-35-12	annotator2	1		управление
управление-40-12	управление-41-12	annotator2	3		управление
управление-44-12	управление-45-12	annotator2	4		управление
управление-32-12	управление-33-12	annotator2	2		управление
управление-36-12	управление-37-12	annotator2	3		управление
управление-52-12	управление-53-12	annotator2	1		управление
управление-20-12	управление-21-12	annotator2	2		управление
управление-50-12	управление-51-12	annotator2	1		управление
управление-30-12	управление-31-12	annotator2	1		управление
управление-46-12	управление-47-12	annotator2	4		управление
управление-18-12	управление-19-12	annotator2	1		управление
управление-54-12	управление-55-12	annotator2	3		управление
управление-56-12	управление-57-12	annotator2	4		управление
управление-24-12	управление-25-12	annotator2	3		управление
управление-42-12	управление-43-12	annotator2	1		управление
управление-26-12	управление-27-12	annotator2	1		управление
управление-38-12	управление-39-12	annotator2	3		управление
управление-68-12	управление-69-12	annotator2	1		управление
управление-28-12	управление-29-12	annotator2	1		управление
управление-48-12	управление-49-12	annotator2	1		управление
управление-54-12	управление-55-12	annotator3	1		управление
управление-14-12	управление-15-12	annotator3	4		управление
управление-92-12	управление-93-12	annotator3	1		управление
управление-102-12	управление-103-12	annotator3	2		управление
управление-36-12	управление-37-12	annotator3	1		управление
управление-32-12	управление-33-12	annotator3	1		управление
управление-98-12	управление-99-12	annotator3	2		управление
управление-100-12	управление-101-12	annotator3	3		управление
управление-2-12	управление-3-12	annotator3	1		управление
управление-30-12	управление-31-12	annotator3	1		управление
управление-48-12	управление-49-12	annotator3	4		управление
управление-94-12	управление-95-12	annotator3	1		управление
управление-46-12	управление-47-12	annotator3	4		управление
управление-108-12	управление-109-12	annotator3	1		управление
управление-118-12	управление-119-12	annotator3	1		управление
управление-68-12	управление-69-12	annotator3	1		управление
управление-34-12	управление-35-12	annotator3	1		управление
управление-110-12	управление-111-12	annotator3	1		управление
управление-116-12	управление-117-12	annotator3	1		управление
управление-4-12	управление-5-12	annotator3	1		управление
управление-112-12	управление-113-12	annotator3	4		управление
управление-50-12	управление-51-12	annotator3	2		управление
управление-90-12	управление-91-12	annotator3	4		управление
управление-26-12	управление-27-12	annotator3	1		управление
управление-8-12	управление-9-12	annotator3	2		управление
управление-104-12	управление-105-12	annotator3	1		управление
управление-96-12	управление-97-12	annotator3	1		управление
управление-6-12	управление-7-12	annotator3	1		управление
управление-114-12	управление-115-12	annotator3	1		управление
управление-52-12	управление-53-12	annotator3	2		управление
управление-12-12	управление-13-12	annotator3	4		управление
управление-42-12	управление-43-12	annotator3	1		управление
управление-88-12	управление-89-12	annotator3	4		управление
управление-58-12	управление-59-12	annotator3	3		управление
управление-16-12	управление-17-12	annotator3	1		управление
управление-82-12	управление-83-12	annotator3	4		управление
управление-56-12	управление-57-12	annotator3	1		управление
управление-20-12	управление-21-12	annotator3	1		управление
управление-76-12	управление-77-12	annotator3	1		управление
управление-0-12	управление-1-12	annotator3	3		управление
управление-74-12	управление-75-12	annotator3	1		управление
управление-44-12	управление-45-12	annotator3	1		управление
управление-22-12	управление-23-12	annotator3	1		управление
управление-72-12	управление-73-12	annotator3	1		управление
управление-24-12	управление-25-12	annotator3	3		управление
управление-70-12	управление-71-12	annotator3	2		управление
управление-80-12	управление-81-12	annotator3	4		управление
управление-60-12	управление-61-12	annotator3	1		управление
управление-86-12	управление-87-12	annotator3	1		управление
управление-106-12	управление-107-12	annotator3	3		управление
управление-64-12	управление-65-12	annotator3	1		управление
управление-28-12	управление-29-12	annotator3	1		управление
управление-84-12	управление-85-12	annotator3	1		управление
управление-66-12	управление-67-12	annotator3	2		управление
управление-18-12	управление-19-12	annotator3	1		управление
управление-62-12	управление-63-12	annotator3	2		управление
управление-40-12	управление-41-12	annotator3	2		управление
управление-38-12	управление-39-12	annotator3	1		управление
управление-10-12	управление-11-12	annotator3	4		управление
управление-78-12	управление-79-12	annotator3	2		управление
управление-108-12	управление-109-12	annotator4	1		управление
управление-16-12	управление-17-12	annotator4	1		управление
управление-80-12	управление-81-12	annotator4	1		управление
управление-110-12	управление-111-12	annotator4	2		управление
управление-22-12	управление-23-12	annotator4	2		управление
управление-32-12	управление-33-12	annotator4	2		управление
управление-46-12	управление-47-12	annotator4	4		управление
управление-76-12	управление-77-12	annotator4	1		управление
управление-106-12	управление-107-12	annotator4	4		управление
управление-12-12	управление-13-12	annotator4	1		управление
управление-78-12	управление-79-12	annotator4	3		управление
управление-8-12	управление-9-12	annotator4	1		управление
управление-2-12	управление-3-12	annotator4	1		управление
управление-0-12	управление-1-12	annotator4	4		управление
управление-26-12	управление-27-12	annotator4	1		управление
управление-84-12	управление-85-12	annotator4	1		управление
управление-6-12	управление-7-12	annotator4	1		управление
управление-14-12	управление-15-12	annotator4	1		управление
управление-82-12	управление-83-12	annotator4	4		управление
управление-88-12	управление-89-12	annotator4	1		управление
управление-28-12	управление-29-12	annotator4	1		управление
управление-4-12	управление-5-12	annotator4	2		управление
управление-30-12	управление-31-12	annotator4	1		управление
управление-24-12	управление-25-12	annotator4	4		управление
управление-86-12	управление-87-12	annotator4	1		управление
управление-18-12	управление-19-12	annotator4	1		управление
управление-20-12	управление-21-12	annotator4	1		управление
управление-10-12	управление-11-12	annotator4	4		управление
управление-68-12	управление-69-12	annotator4	1		управление
управление-112-12	управление-113-12	annotator4	4		управление
управление-74-12	управление-75-12	annotator4	3		управление
управление-96-12	управление-97-12	annotator4	1		управление
управление-62-12	управление-63-12	annotator4	3		управление
управление-94-12	управление-95-12	annotator4	1		управление
управление-52-12	управление-53-12	annotator4	1		управление
управление-100-12	управление-101-12	annotator4	4		управление
управление-36-12	управление-37-12	annotator4	2		управление
управление-64-12	управление-65-12	annotator4	1		управление
управление-42-12	управление-43-12	annotator4	1		управление
управление-92-12	управление-93-12	annotator4	2		управление
управление-102-12	управление-103-12	annotator4	1		управление
управление-58-12	управление-59-12	annotator4	1		управление
управление-54-12	управление-55-12	annotator4	4		управление
управление-60-12	управление-61-12	annotator4	1		управление
управление-66-12	управление-67-12	annotator4	1		управление
управление-40-12	управление-41-12	annotator4	3		управление
управление-104-12	управление-105-12	annotator4	1		управление
управление-48-12	управление-49-12	annotator4	2		управление
управление-90-12	управление-91-12	annotator4	2		управление
управление-56-12	управление-57-12	annotator4	3		управление
управление-118-12	управление-119-12	annotator4	1		управление
управление-70-12	управление-71-12	annotator4	2		управление
управление-98-12	управление-99-12	annotator4	1		управление
управление-38-12	управление-39-12	annotator4	1		управление
управление-44-12	управление-45-12	annotator4	1		управление
управление-34-12	управление-35-12	annotator4	1		управление
управление-72-12	управление-73-12	annotator4	2		управление
управление-114-12	управление-115-12	annotator4	1		управление
управление-50-12	управление-51-12	annotator4	1		управление
управление-116-12	управление-117-12	annotator4	3		управление
управление-84-12	управление-85-12	annotator5	1		управление
управление-38-12	управление-39-12	annotator5	1		управление
управление-60-12	управление-61-12	annotator5	2		управление
управление-20-12	управление-21-12	annotator5	1		управление
управление-82-12	управление-83-12	annotator5	2		управление
управление-62-12	управление-63-12	annotator5	1		управление
управление-66-12	управление-67-12	annotator5	2		управление
управление-40-12	управление-41-12	annotator5	4		управление
управление-58-12	управление-59-12	annotator5	2		управление
управление-88-12	управление-89-12	annotator5	1		управление
управление-56-12	управление-57-12	annotator5	4		управление
управление-42-12	управление-43-12	annotator5	1		управление
управление-74-12	управление-75-12	annotator5	3		управление
управление-18-12	управление-19-12	annotator5	3		управление
управление-44-12	управление-45-12	annotator5	4		управление
управление-72-12	управление-73-12	annotator5	1		управление
управление-22-12	управление-23-12	annotator5	4		управление
управление-78-12	управление-79-12	annotator5	4		управление
управление-70-12	управление-71-12	annotator5	2		управление
управление-68-12	управление-69-12	annotator5	1		управление
управление-80-12	управление-81-12	annotator5	1		управление
управление-86-12	управление-87-12	annotator5	1		управление
управление-0-12	управление-1-12	annotator5	4		управление
управление-36-12	управление-37-12	annotator5	1		управление
управление-64-12	управление-65-12	annotator5	1		управление
управление-94-12	управление-95-12	annotator5	1		управление
управление-6-12	управление-7-12	annotator5	1		управление
