lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
управление	NOUN	1682-1916	1	управление-0		-- Если все управление состоит в том, чтобы сидеть против этой тряпки, курить и говорить глупости, -- я могу с успехом заменить тебя...	12:22	0:135
управление	NOUN	1918-1990	2	управление-1		Тройственная задача развилась в такую практическую программу: строго национальная, смело патриотическая внешняя политика, благодушно-либеральные, возможно гуманные приемы управления, сложные и стройные областные учреждения с участием трех сословий, салонная, литературная и педагогическая пропаганда просветительных идей времени и осторожно, но последовательно консервативное законодательство с особенным вниманием к интересам одного сословия.	171:181	0:443
управление	NOUN	1682-1916	1	управление-2		10 февраля Куропаткин показал мне письмо Сахарова с претензией на то, что Куропаткин еще отдает ему приказания, и сказал, что в отместку за это он испросил разрешение государя требовать к себе начальников главных управлений и возлагать на них поручения.	213:223	0:253
управление	NOUN	1918-1990	2	управление-3		Расширение круга ведомства органов местного самоуправления на всю область местного управления, включая и область финансового управления.	83:93	0:136
управление	NOUN	1918-1990	2	управление-4		148 сд (управление и тылы) к утру 3.9 сосредоточилась в лесах ю.-з. Салтановка, куда направлено три батальона пополнения.	8:18	0:121
управление	NOUN	1918-1990	2	управление-5		К осужденным депутатам мне пришлось встать в непосредственные отношения уже в бытность начальником главного тюремного управления, так как ко мне обратился с просьбой один из кавказских депутатов о разрешении отвезти на родину тело скончавшегося в орловской каторжной тюрьме его осужденного товарища, тоже кавказца.	118:128	0:314
управление	NOUN	1682-1916	1	управление-6		19) Возбуждение дел об ответственности должностных лиц общественного управления.	69:79	0:80
управление	NOUN	1682-1916	1	управление-7		Если есть что неприятное при управлении мотором, это встреча с таксомоторами.	29:39	0:77
управление	NOUN	1682-1916	1	управление-8		В 1868 году, для удобства управления, образована новая, Елизаветпольская губерния из частей Бакинской (прежней Шемахинской) и Тифлисской губернии и одного участка губернии Эриванской.	26:36	0:183
управление	NOUN	1682-1916	1	управление-9		Скоро будет приведен в исполнение проект Пазухина о преобразовании местного управления, прошедший сквозь столько канцелярских вертепов и в каждом получивший украшение, а ныне рассматриваемый в комиссии из трех губернаторов и трех предводителей дворянства; и когда земство будет превращено в дворянскую управу и вполне подчинено власти губернатора, то, конечно, не явится необходимости прибегать к насильственным действиям для привлечения его к участию в великопостной школьной затее наших клерикалов.	76:86	0:500
управление	NOUN	1682-1916	1	управление-10		В лабораторию при рыболовном управлении отправлено несколько туш для исследования.	29:39	0:82
управление	NOUN	1682-1916	1	управление-11		Сенат разъяснил, что выдача частным лицам разрешений на открытие мыловаренных заводов выходит из пределов власти городских и общественных управлений и всецело зависит от местной губернской власти. неизвестный.	138:148	0:209
управление	NOUN	1682-1916	1	управление-12		В настоящее время проект этот со всеми изменениями окончательно принят киевским городским управлением и вполне одобрен.	90:101	0:119
управление	NOUN	1682-1916	1	управление-13		Отделение третье О Губернских и Уездных Земских Управах и других исполнительных органах земского управления 96.	97:107	0:111
управление	NOUN	1682-1916	1	управление-14		В нем же отраслевые секретари, заведующие отделами обкома, начальники областных управлений и ведомств, как союзных, так и республиканских.	80:90	0:138
управление	NOUN	1918-1990	2	управление-15		С.-Петербург, 26 февраля 1884г От центрального управления Красного креста "Народной воли" Более чем двухлетний опыт показал, что существование "Заграничного Отдела Красного Креста Народной Воли" не представляет никакой практической необходимости, как по неимению в действительности никаких чисто заграничных дел, так и по неудобству для членов этого отдела, рассеянных по различным городам Европы, частых и живых личных сношений, вследствие чего вся деятельность их ограничивалась на практике простой пересылкой в Россию поступавших пожертвований, т.-е. такой ролью, которая могла бы быть поручена с гораздо большими удобствами простым отдельным агентам.	47:57	0:654
управление	NOUN	1682-1916	1	управление-16		В обсуждении приняли также участие К. Финн, Г. Штайн, П. Тур, Л. Ошанин и начальник Главного управления драматических театров В. Пименов.	93:103	0:137
