identifier1	identifier2	annotator	judgment	comment	lemma
участок-46-12	участок-47-12	annotator1	1		участок
участок-108-12	участок-109-12	annotator1	1		участок
участок-26-12	участок-27-12	annotator1	4		участок
участок-50-12	участок-51-12	annotator1	1		участок
участок-106-12	участок-107-12	annotator1	1		участок
участок-80-12	участок-81-12	annotator1	1		участок
участок-90-12	участок-91-12	annotator1	4		участок
участок-48-12	участок-49-12	annotator1	1		участок
участок-24-12	участок-25-12	annotator1	1		участок
участок-82-12	участок-83-12	annotator1	2		участок
участок-104-12	участок-105-12	annotator1	1		участок
участок-56-12	участок-57-12	annotator1	3		участок
участок-74-12	участок-75-12	annotator1	1		участок
участок-32-12	участок-33-12	annotator1	4		участок
участок-14-12	участок-15-12	annotator1	1		участок
участок-72-12	участок-73-12	annotator1	1		участок
участок-76-12	участок-77-12	annotator1	1		участок
участок-98-12	участок-99-12	annotator1	1		участок
участок-42-12	участок-43-12	annotator1	2		участок
участок-18-12	участок-19-12	annotator1	4		участок
участок-58-12	участок-59-12	annotator1	2		участок
участок-92-12	участок-93-12	annotator1	3		участок
участок-60-12	участок-61-12	annotator1	2		участок
участок-100-12	участок-101-12	annotator1	1		участок
участок-70-12	участок-71-12	annotator1	1		участок
участок-4-12	участок-5-12	annotator1	4		участок
участок-10-12	участок-11-12	annotator1	1		участок
участок-96-12	участок-97-12	annotator1	2		участок
участок-30-12	участок-31-12	annotator1	1		участок
участок-6-12	участок-7-12	annotator1	1		участок
участок-44-12	участок-45-12	annotator1	4		участок
участок-52-12	участок-53-12	annotator1	1		участок
участок-28-12	участок-29-12	annotator1	1		участок
участок-54-12	участок-55-12	annotator1	2		участок
участок-102-12	участок-103-12	annotator1	1		участок
участок-20-12	участок-21-12	annotator1	3		участок
участок-84-12	участок-85-12	annotator1	1		участок
участок-112-12	участок-113-12	annotator1	1		участок
участок-16-12	участок-17-12	annotator1	1		участок
участок-114-12	участок-115-12	annotator1	2		участок
участок-68-12	участок-69-12	annotator1	4		участок
участок-12-12	участок-13-12	annotator1	1		участок
участок-34-12	участок-35-12	annotator1	1		участок
участок-0-12	участок-1-12	annotator1	1		участок
участок-66-12	участок-67-12	annotator1	1		участок
участок-88-12	участок-89-12	annotator1	1		участок
участок-2-12	участок-3-12	annotator1	1		участок
участок-64-12	участок-65-12	annotator1	4		участок
участок-36-12	участок-37-12	annotator1	4		участок
участок-86-12	участок-87-12	annotator1	3		участок
участок-62-12	участок-63-12	annotator1	1		участок
участок-116-12	участок-117-12	annotator1	4		участок
участок-22-12	участок-23-12	annotator1	3		участок
участок-40-12	участок-41-12	annotator1	2		участок
участок-78-12	участок-79-12	annotator1	4		участок
участок-8-12	участок-9-12	annotator1	4		участок
участок-110-12	участок-111-12	annotator1	2		участок
участок-38-12	участок-39-12	annotator1	1		участок
участок-94-12	участок-95-12	annotator1	3		участок
участок-118-12	участок-119-12	annotator1	2		участок
участок-118-12	участок-119-12	annotator2	4		участок
участок-106-12	участок-107-12	annotator2	1		участок
участок-112-12	участок-113-12	annotator2	1		участок
участок-18-12	участок-19-12	annotator2	3		участок
участок-94-12	участок-95-12	annotator2	4		участок
участок-54-12	участок-55-12	annotator2	1		участок
участок-86-12	участок-87-12	annotator2	4		участок
участок-100-12	участок-101-12	annotator2	1		участок
участок-10-12	участок-11-12	annotator2	1		участок
участок-102-12	участок-103-12	annotator2	1		участок
участок-82-12	участок-83-12	annotator2	4		участок
участок-84-12	участок-85-12	annotator2	1		участок
участок-4-12	участок-5-12	annotator2	4		участок
участок-98-12	участок-99-12	annotator2	1		участок
участок-114-12	участок-115-12	annotator2	1		участок
участок-90-12	участок-91-12	annotator2	4		участок
участок-96-12	участок-97-12	annotator2	1		участок
участок-52-12	участок-53-12	annotator2	1		участок
участок-104-12	участок-105-12	annotator2	4		участок
участок-2-12	участок-3-12	annotator2	2		участок
участок-116-12	участок-117-12	annotator2	4		участок
участок-80-12	участок-81-12	annotator2	4		участок
участок-20-12	участок-21-12	annotator2	2		участок
участок-108-12	участок-109-12	annotator2	3		участок
участок-88-12	участок-89-12	annotator2	1		участок
участок-110-12	участок-111-12	annotator2	4		участок
участок-74-12	участок-75-12	annotator2	1		участок
участок-66-12	участок-67-12	annotator2	1		участок
участок-60-12	участок-61-12	annotator2	1		участок
участок-24-12	участок-25-12	annotator2	1		участок
участок-72-12	участок-73-12	annotator2	4		участок
участок-64-12	участок-65-12	annotator2	1		участок
участок-22-12	участок-23-12	annotator2	2		участок
участок-8-12	участок-9-12	annotator2	1		участок
участок-14-12	участок-15-12	annotator2	1		участок
участок-12-12	участок-13-12	annotator2	1		участок
участок-76-12	участок-77-12	annotator2	2		участок
участок-40-12	участок-41-12	annotator2	2		участок
участок-78-12	участок-79-12	annotator2	1		участок
участок-62-12	участок-63-12	annotator2	1		участок
участок-70-12	участок-71-12	annotator2	4		участок
участок-56-12	участок-57-12	annotator2	4		участок
участок-26-12	участок-27-12	annotator2	4		участок
участок-34-12	участок-35-12	annotator2	1		участок
участок-16-12	участок-17-12	annotator2	1		участок
участок-58-12	участок-59-12	annotator2	1		участок
участок-36-12	участок-37-12	annotator2	4		участок
участок-0-12	участок-1-12	annotator2	1		участок
участок-92-12	участок-93-12	annotator2	4		участок
участок-32-12	участок-33-12	annotator2	4		участок
участок-42-12	участок-43-12	annotator2	3		участок
участок-30-12	участок-31-12	annotator2	1		участок
участок-48-12	участок-49-12	annotator2	1		участок
участок-44-12	участок-45-12	annotator2	1		участок
участок-28-12	участок-29-12	annotator2	2		участок
участок-46-12	участок-47-12	annotator2	1		участок
участок-50-12	участок-51-12	annotator2	4		участок
участок-6-12	участок-7-12	annotator2	4		участок
участок-68-12	участок-69-12	annotator2	4		участок
участок-38-12	участок-39-12	annotator2	1		участок
участок-32-12	участок-33-12	annotator3	4		участок
участок-86-12	участок-87-12	annotator3	2		участок
участок-8-12	участок-9-12	annotator3	4		участок
участок-36-12	участок-37-12	annotator3	4		участок
участок-34-12	участок-35-12	annotator3	1		участок
участок-88-12	участок-89-12	annotator3	1		участок
участок-4-12	участок-5-12	annotator3	4		участок
участок-38-12	участок-39-12	annotator3	1		участок
участок-92-12	участок-93-12	annotator3	3		участок
участок-94-12	участок-95-12	annotator3	3		участок
участок-80-12	участок-81-12	annotator3	1		участок
участок-28-12	участок-29-12	annotator3	4		участок
участок-96-12	участок-97-12	annotator3	1		участок
участок-26-12	участок-27-12	annotator3	1		участок
участок-98-12	участок-99-12	annotator3	1		участок
участок-90-12	участок-91-12	annotator3	3		участок
участок-6-12	участок-7-12	annotator3	3		участок
участок-24-12	участок-25-12	annotator3	2		участок
участок-22-12	участок-23-12	annotator3	4		участок
участок-82-12	участок-83-12	annotator3	3		участок
участок-30-12	участок-31-12	annotator3	1		участок
участок-40-12	участок-41-12	annotator3	1		участок
участок-84-12	участок-85-12	annotator3	1		участок
участок-2-12	участок-3-12	annotator3	2		участок
участок-100-12	участок-101-12	annotator3	1		участок
участок-0-12	участок-1-12	annotator3	1		участок
участок-20-12	участок-21-12	annotator3	3		участок
участок-106-12	участок-107-12	annotator3	1		участок
участок-108-12	участок-109-12	annotator3	2		участок
участок-76-12	участок-77-12	annotator3	1		участок
участок-60-12	участок-61-12	annotator3	1		участок
участок-52-12	участок-53-12	annotator3	1		участок
участок-18-12	участок-19-12	annotator3	1		участок
участок-74-12	участок-75-12	annotator3	2		участок
участок-54-12	участок-55-12	annotator3	1		участок
участок-70-12	участок-71-12	annotator3	1		участок
участок-56-12	участок-57-12	annotator3	1		участок
участок-58-12	участок-59-12	annotator3	2		участок
участок-14-12	участок-15-12	annotator3	1		участок
участок-110-12	участок-111-12	annotator3	1		участок
участок-50-12	участок-51-12	annotator3	2		участок
участок-42-12	участок-43-12	annotator3	3		участок
участок-48-12	участок-49-12	annotator3	1		участок
участок-16-12	участок-17-12	annotator3	1		участок
участок-44-12	участок-45-12	annotator3	1		участок
участок-72-12	участок-73-12	annotator3	2		участок
участок-12-12	участок-13-12	annotator3	1		участок
участок-78-12	участок-79-12	annotator3	4		участок
участок-46-12	участок-47-12	annotator3	1		участок
участок-116-12	участок-117-12	annotator3	1		участок
участок-102-12	участок-103-12	annotator3	1		участок
участок-66-12	участок-67-12	annotator3	1		участок
участок-118-12	участок-119-12	annotator3	4		участок
участок-64-12	участок-65-12	annotator3	4		участок
участок-114-12	участок-115-12	annotator3	1		участок
участок-104-12	участок-105-12	annotator3	1		участок
участок-112-12	участок-113-12	annotator3	1		участок
участок-62-12	участок-63-12	annotator3	1		участок
участок-68-12	участок-69-12	annotator3	1		участок
участок-10-12	участок-11-12	annotator3	1		участок
участок-68-12	участок-69-12	annotator4	1		участок
участок-118-12	участок-119-12	annotator4	2		участок
участок-6-12	участок-7-12	annotator4	3		участок
участок-48-12	участок-49-12	annotator4	1		участок
участок-24-12	участок-25-12	annotator4	1		участок
участок-60-12	участок-61-12	annotator4	1		участок
участок-14-12	участок-15-12	annotator4	1		участок
участок-46-12	участок-47-12	annotator4	2		участок
участок-32-12	участок-33-12	annotator4	4		участок
участок-40-12	участок-41-12	annotator4	2		участок
участок-36-12	участок-37-12	annotator4	4		участок
участок-8-12	участок-9-12	annotator4	4		участок
участок-66-12	участок-67-12	annotator4	1		участок
участок-30-12	участок-31-12	annotator4	1		участок
участок-64-12	участок-65-12	annotator4	3		участок
участок-34-12	участок-35-12	annotator4	1		участок
участок-74-12	участок-75-12	annotator4	1		участок
участок-76-12	участок-77-12	annotator4	3		участок
участок-26-12	участок-27-12	annotator4	2		участок
участок-38-12	участок-39-12	annotator4	1		участок
участок-62-12	участок-63-12	annotator4	1		участок
участок-78-12	участок-79-12	annotator4	1		участок
участок-12-12	участок-13-12	annotator4	2		участок
участок-70-12	участок-71-12	annotator4	1		участок
участок-22-12	участок-23-12	annotator4	3		участок
участок-72-12	участок-73-12	annotator4	1		участок
участок-110-12	участок-111-12	annotator4	4		участок
участок-44-12	участок-45-12	annotator4	1		участок
участок-20-12	участок-21-12	annotator4	1		участок
участок-108-12	участок-109-12	annotator4	1		участок
участок-84-12	участок-85-12	annotator4	3		участок
участок-104-12	участок-105-12	annotator4	3		участок
участок-102-12	участок-103-12	annotator4	3		участок
участок-82-12	участок-83-12	annotator4	4		участок
участок-2-12	участок-3-12	annotator4	1		участок
участок-100-12	участок-101-12	annotator4	1		участок
участок-10-12	участок-11-12	annotator4	3		участок
участок-116-12	участок-117-12	annotator4	1		участок
участок-86-12	участок-87-12	annotator4	2		участок
участок-114-12	участок-115-12	annotator4	1		участок
участок-112-12	участок-113-12	annotator4	1		участок
участок-88-12	участок-89-12	annotator4	1		участок
участок-0-12	участок-1-12	annotator4	1		участок
участок-106-12	участок-107-12	annotator4	1		участок
участок-18-12	участок-19-12	annotator4	4		участок
участок-98-12	участок-99-12	annotator4	1		участок
участок-50-12	участок-51-12	annotator4	4		участок
участок-4-12	участок-5-12	annotator4	4		участок
участок-80-12	участок-81-12	annotator4	1		участок
участок-58-12	участок-59-12	annotator4	1		участок
участок-92-12	участок-93-12	annotator4	2		участок
участок-90-12	участок-91-12	annotator4	1		участок
участок-54-12	участок-55-12	annotator4	1		участок
участок-56-12	участок-57-12	annotator4	3		участок
участок-94-12	участок-95-12	annotator4	3		участок
участок-52-12	участок-53-12	annotator4	1		участок
участок-28-12	участок-29-12	annotator4	1		участок
участок-96-12	участок-97-12	annotator4	1		участок
участок-42-12	участок-43-12	annotator4	4		участок
участок-16-12	участок-17-12	annotator4	1		участок
участок-0-12	участок-1-12	annotator5	1		участок
участок-4-12	участок-5-12	annotator5	3		участок
участок-14-12	участок-15-12	annotator5	1		участок
участок-12-12	участок-13-12	annotator5	1		участок
участок-10-12	участок-11-12	annotator5	4		участок
участок-2-12	участок-3-12	annotator5	1		участок
участок-18-12	участок-19-12	annotator5	4		участок
участок-6-12	участок-7-12	annotator5	4		участок
участок-8-12	участок-9-12	annotator5	4		участок
участок-16-12	участок-17-12	annotator5	1		участок
участок-118-12	участок-119-12	annotator5	4		участок
участок-32-12	участок-33-12	annotator5	1		участок
участок-104-12	участок-105-12	annotator5	4		участок
участок-106-12	участок-107-12	annotator5	1		участок
участок-52-12	участок-53-12	annotator5	1		участок
участок-54-12	участок-55-12	annotator5	1		участок
участок-56-12	участок-57-12	annotator5	1		участок
участок-58-12	участок-59-12	annotator5	1		участок
участок-50-12	участок-51-12	annotator5	1		участок
участок-42-12	участок-43-12	annotator5	4		участок
участок-44-12	участок-45-12	annotator5	3		участок
участок-46-12	участок-47-12	annotator5	4		участок
участок-48-12	участок-49-12	annotator5	1		участок
участок-60-12	участок-61-12	annotator5	1		участок
участок-70-12	участок-71-12	annotator5	1		участок
участок-72-12	участок-73-12	annotator5	4		участок
участок-74-12	участок-75-12	annotator5	1		участок
участок-76-12	участок-77-12	annotator5	1		участок
участок-78-12	участок-79-12	annotator5	4		участок
участок-64-12	участок-65-12	annotator5	2		участок
участок-62-12	участок-63-12	annotator5	1		участок
участок-66-12	участок-67-12	annotator5	1		участок
участок-68-12	участок-69-12	annotator5	3		участок
участок-102-12	участок-103-12	annotator5	2		участок
участок-20-12	участок-21-12	annotator5	1		участок
участок-100-12	участок-101-12	annotator5	1		участок
участок-116-12	участок-117-12	annotator5	2		участок
участок-34-12	участок-35-12	annotator5	1		участок
участок-36-12	участок-37-12	annotator5	4		участок
участок-38-12	участок-39-12	annotator5	1		участок
участок-30-12	участок-31-12	annotator5	2		участок
участок-22-12	участок-23-12	annotator5	4		участок
участок-24-12	участок-25-12	annotator5	1		участок
участок-26-12	участок-27-12	annotator5	1		участок
участок-28-12	участок-29-12	annotator5	3		участок
участок-40-12	участок-41-12	annotator5	1		участок
участок-90-12	участок-91-12	annotator5	4		участок
участок-92-12	участок-93-12	annotator5	4		участок
участок-94-12	участок-95-12	annotator5	1		участок
участок-96-12	участок-97-12	annotator5	2		участок
участок-80-12	участок-81-12	annotator5	4		участок
участок-82-12	участок-83-12	annotator5	3		участок
участок-84-12	участок-85-12	annotator5	1		участок
участок-88-12	участок-89-12	annotator5	1		участок
участок-86-12	участок-87-12	annotator5	1		участок
участок-110-12	участок-111-12	annotator5	4		участок
участок-112-12	участок-113-12	annotator5	2		участок
участок-114-12	участок-115-12	annotator5	3		участок
участок-108-12	участок-109-12	annotator5	2		участок
участок-98-12	участок-99-12	annotator5	3		участок
