lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
участок	NOUN	1682-1916	1	участок-0		"Урания" и три советских парохода бороздили небольшой участок океана во всех направлениях.	54:61	0:90
участок	NOUN	1918-1990	2	участок-1		На лету по провинции Дамы в Ялте все исправляют да исправляют свои годы: в участок был доставлен для прописки паспорт М. А. З. В участке были обнаружены подчистка и исправление года рождения, при чем по невнимательности исправление было сделано так: в 1881 г., стоявшем в паспорте, была исправлена не вторая, а первая восьмерка, и получился 1981 год.	75:82	0:350
участок	NOUN	1682-1916	1	участок-2		-- Системы своей я вовсе не нарушу, если, вместо того чтобы дать волю чувству, сделаю выгодное дело, а сказать правду, я был бы очень рад приобрести эту кузницу и принадлежащий к ней участок.	183:190	0:191
участок	NOUN	1682-1916	1	участок-3		Корнета Савина выселяют У мирового судьи Александровекаго участка слушалось дело о выселении корнета Савина из меблированных комнат "Альгамбра", в которых он поселился вместе с женой.	58:65	0:183
участок	NOUN	1918-1990	2	участок-4		А однажды весной, в половодье, наш участок отрезало от всего мира, -- так ребята пробирались за продуктами по проводам.	35:42	0:119
участок	NOUN	1918-1990	2	участок-5		Пушицкий ползет позади угольных холмов, а Пахомов бешеным рывком проносится через опасный участок.	90:97	0:98
участок	NOUN	1682-1916	1	участок-6		Артиллерии 258 сд с 151 кап обеспечить: а) стык с 260 сд, особое внимание в направлениях Столбы-Гаммовские, Жарковка; б) не допустить скопления пехоты и мотомехчастей противника в районах Лелятино, 206.9, Мокрая, выс. 209.3; в) поставить заград. огни по дорогам, идущим на восток из лесного массива на участке дивизии; г) поддержать огнем 278 сд на участке Новая Буда, Комсомольский.	15:16	0:383
участок	NOUN	1918-1990	2	участок-7		Прииск "Новый" и весь прилегающий к нему золотоносный участок перейдут в скором времени в руки акционерного общества с основным капиталом в пять миллионов рублей.	54:61	0:162
участок	NOUN	1682-1916	1	участок-8		Биография Мироновича в обвинительном акте заканчивается следующими словами: он слыл и за человека, делавшего набеги на скопцов, проживавших в его участке, и к тому же за большого любителя женщин.	146:153	0:195
участок	NOUN	1682-1916	1	участок-9		Для внутренней обороны всей части оборонительнаго участка между 5 и 7 бастонами.	50:57	0:80
