identifier1	identifier2	annotator	judgment	comment	lemma
философ-0	философ-1	annotator1	4		философ
философ-0	философ-1	annotator2	4		философ
философ-0	философ-1	annotator3	3		философ
философ-0	философ-1	annotator4	4		философ
философ-0	философ-1	annotator5	4		философ
философ-2	философ-3	annotator1	2		философ
философ-2	философ-3	annotator2	4		философ
философ-2	философ-3	annotator3	2		философ
философ-2	философ-3	annotator4	3		философ
философ-2	философ-3	annotator5	1		философ
философ-4	философ-5	annotator1	3		философ
философ-4	философ-5	annotator2	4		философ
философ-4	философ-5	annotator3	4		философ
философ-4	философ-5	annotator4	4		философ
философ-4	философ-5	annotator5	3		философ
философ-6	философ-7	annotator1	4		философ
философ-6	философ-7	annotator2	4		философ
философ-6	философ-7	annotator3	4		философ
философ-6	философ-7	annotator4	4		философ
философ-6	философ-7	annotator5	4		философ
философ-8	философ-9	annotator1	4		философ
философ-8	философ-9	annotator2	4		философ
философ-8	философ-9	annotator3	3		философ
философ-8	философ-9	annotator4	4		философ
философ-8	философ-9	annotator5	3		философ
философ-10	философ-11	annotator1	3		философ
философ-10	философ-11	annotator2	3		философ
философ-10	философ-11	annotator3	4		философ
философ-10	философ-11	annotator4	4		философ
философ-10	философ-11	annotator5	2		философ
философ-12	философ-13	annotator1	3		философ
философ-12	философ-13	annotator2	4		философ
философ-12	философ-13	annotator3	4		философ
философ-12	философ-13	annotator4	3		философ
философ-12	философ-13	annotator5	2		философ
философ-14	философ-15	annotator1	4		философ
философ-14	философ-15	annotator2	3		философ
философ-14	философ-15	annotator3	3		философ
философ-14	философ-15	annotator4	4		философ
философ-14	философ-15	annotator5	4		философ
философ-16	философ-17	annotator1	4		философ
философ-16	философ-17	annotator2	4		философ
философ-16	философ-17	annotator3	3		философ
философ-16	философ-17	annotator4	4		философ
философ-16	философ-17	annotator5	4		философ
философ-18	философ-19	annotator1	4		философ
философ-18	философ-19	annotator2	4		философ
философ-18	философ-19	annotator3	4		философ
философ-18	философ-19	annotator4	2		философ
философ-18	философ-19	annotator5	3		философ
философ-20	философ-21	annotator1	3		философ
философ-20	философ-21	annotator2	2		философ
философ-20	философ-21	annotator3	2		философ
философ-20	философ-21	annotator4	4		философ
философ-20	философ-21	annotator5	4		философ
философ-22	философ-23	annotator1	4		философ
философ-22	философ-23	annotator2	4		философ
философ-22	философ-23	annotator3	4		философ
философ-22	философ-23	annotator4	1		философ
философ-22	философ-23	annotator5	4		философ
философ-24	философ-25	annotator1	4		философ
философ-24	философ-25	annotator2	4		философ
философ-24	философ-25	annotator3	4		философ
философ-24	философ-25	annotator4	2		философ
философ-24	философ-25	annotator5	4		философ
философ-26	философ-27	annotator1	4		философ
философ-26	философ-27	annotator2	2		философ
философ-26	философ-27	annotator3	4		философ
философ-26	философ-27	annotator4	4		философ
философ-26	философ-27	annotator5	4		философ
философ-28	философ-29	annotator1	4		философ
философ-28	философ-29	annotator2	3		философ
философ-28	философ-29	annotator3	3		философ
философ-28	философ-29	annotator4	3		философ
философ-28	философ-29	annotator5	4		философ
философ-30	философ-31	annotator1	4		философ
философ-30	философ-31	annotator2	4		философ
философ-30	философ-31	annotator3	3		философ
философ-30	философ-31	annotator4	4		философ
философ-30	философ-31	annotator5	4		философ
философ-32	философ-33	annotator1	4		философ
философ-32	философ-33	annotator2	4		философ
философ-32	философ-33	annotator3	3		философ
философ-32	философ-33	annotator4	4		философ
философ-32	философ-33	annotator5	4		философ
философ-34	философ-35	annotator1	1		философ
философ-34	философ-35	annotator2	4		философ
философ-34	философ-35	annotator3	4		философ
философ-34	философ-35	annotator4	3		философ
философ-34	философ-35	annotator5	4		философ
философ-36	философ-37	annotator1	4		философ
философ-36	философ-37	annotator2	4		философ
философ-36	философ-37	annotator3	4		философ
философ-36	философ-37	annotator4	4		философ
философ-36	философ-37	annotator5	4		философ
философ-38	философ-39	annotator1	4		философ
философ-38	философ-39	annotator2	4		философ
философ-38	философ-39	annotator3	4		философ
философ-38	философ-39	annotator4	4		философ
философ-38	философ-39	annotator5	3		философ
философ-40	философ-41	annotator1	4		философ
философ-40	философ-41	annotator2	2		философ
философ-40	философ-41	annotator3	4		философ
философ-40	философ-41	annotator4	4		философ
философ-40	философ-41	annotator5	3		философ
философ-42	философ-43	annotator1	4		философ
философ-42	философ-43	annotator2	4		философ
философ-42	философ-43	annotator3	3		философ
философ-42	философ-43	annotator4	4		философ
философ-42	философ-43	annotator5	4		философ
философ-44	философ-45	annotator1	3		философ
философ-44	философ-45	annotator2	4		философ
философ-44	философ-45	annotator3	4		философ
философ-44	философ-45	annotator4	4		философ
философ-44	философ-45	annotator5	4		философ
философ-46	философ-47	annotator1	4		философ
философ-46	философ-47	annotator2	4		философ
философ-46	философ-47	annotator3	3		философ
философ-46	философ-47	annotator4	4		философ
философ-46	философ-47	annotator5	4		философ
философ-48	философ-49	annotator1	3		философ
философ-48	философ-49	annotator2	4		философ
философ-48	философ-49	annotator3	4		философ
философ-48	философ-49	annotator4	2		философ
философ-48	философ-49	annotator5	4		философ
философ-50	философ-51	annotator1	2		философ
философ-50	философ-51	annotator2	3		философ
