lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
философ	NOUN	1682-1916	1	философ-0		В церемониал посвящения в 18-ю степень, т. е. в рыцари Розового Креста, говорит тот же философ, ложа обивается черным, в глубине ее воздвигается жертвенник, а над ним, в прозрачной картине, изображаются три креста, из которых на среднем видна обыкновенная надпись "I.Н.Р.I." Братья, облаченные в священнические одежды, должны сидеть на земле, с видом глубокого размышления и сетования, опустивши лицо на свои руки в знак горести.	87:94	0:429
философ	NOUN	1918-1990	2	философ-1		Несмотря на обещание откровенности с Дмитрием, я никому, и ему тоже, не говорил о том, как мне хотелось ездить на балы и как больно и досадно было то, что про меня забывали и, видимо, смотрели как на кого-то философа, которым я вследствие того и прикидывался.	208:216	0:259
философ	NOUN	1682-1916	1	философ-2		"Да, говори, -- повторил философ, -- говори смело, противопоставь твердую мудрость страстям человеческим, говори, что ты не хочешь лишиться благословения Божия, принимая участие в убийстве и смерти, грабеже и бедствиях, какие изливаются на Царьград, если только с мечом убийцы ты решишься исполнить судьбы -- Божественные!" -- А! я этого не знал.	25:32	0:346
философ	NOUN	1682-1916	1	философ-3		Это утверждает не философ-лицемер, не моралист-потатчик, а я -- преступник из преступников.	18:32	0:91
философ	NOUN	1918-1990	2	философ-4		-- И какие такие философы, коровьи дети, у вас в Калуге родятся "Неужто немцы", "Неужто танки" Все твои вопросы наперед знаю.	17:25	0:125
философ	NOUN	1918-1990	2	философ-5		Искусство греков, освещенное их светлым, жизнерадостным восприятием мира, возвышенные, хотя порою выраженные в неясной, затемненной форме мысли ученых и философов, которых слушал Микельанджело, глубоко захватили его.	153:162	0:216
философ	NOUN	1918-1990	2	философ-6		-- Лет тридцать назад, -- сказал Андрей, -- один английский философ тоже взывал -- слезы Вертера или белый уголь!	60:67	0:113
философ	NOUN	1918-1990	2	философ-7		Как мы видим, Юрий Олеша воспринял далеко не лучшую идею из диалектики великого философа.	80:88	0:89
философ	NOUN	1682-1916	1	философ-8		-- Руссо плачет, Байрон в отчаянии, Наполеон тревожится, Сократ оправдывается, философы ссорятся, никто не доволен.	79:87	0:115
философ	NOUN	1682-1916	1	философ-9		В Марбурге у знаменитого в то время философа Вольфа он впервые узнал, что представляет собою настоящая живая наука; с жадностью набросился он на изучение естествознания и поражал своего учителя одновременно и своими удивительными успехами в науках, и не менее удивительной бесшабашностью своей студенческой жизни.	36:44	0:313
философ	NOUN	1682-1916	1	философ-10		Философ начал на досуге осматривать те места, которые он не мог разглядеть ночью.	0:7	0:81
философ	NOUN	1682-1916	1	философ-11		-- Религия -- ведь это значит вера; так неужели же теперь, по-вашему, и веры не надо иметь Я. -- Послушали бы вы, маменька, что говорит вон немецкий философ Шеллинг (я только что слышал о нем в 10--м нумере от одного ярого поклонника -- профессора Петербургской медико-хирургической академии Веланнского).	149:156	0:305
