identifier1	identifier2	annotator	judgment	comment	lemma
червяк-0	червяк-1	annotator1	1		червяк
червяк-0	червяк-1	annotator2	1		червяк
червяк-0	червяк-1	annotator3	1		червяк
червяк-0	червяк-1	annotator4	1		червяк
червяк-0	червяк-1	annotator5	1		червяк
червяк-2	червяк-3	annotator1	1		червяк
червяк-2	червяк-3	annotator2	1		червяк
червяк-2	червяк-3	annotator3	1		червяк
червяк-2	червяк-3	annotator4	1		червяк
червяк-2	червяк-3	annotator5	1		червяк
червяк-4	червяк-5	annotator1	2		червяк
червяк-4	червяк-5	annotator2	1		червяк
червяк-4	червяк-5	annotator3	1		червяк
червяк-4	червяк-5	annotator4	4		червяк
червяк-4	червяк-5	annotator5	2		червяк
червяк-6	червяк-7	annotator1	1		червяк
червяк-6	червяк-7	annotator2	4		червяк
червяк-6	червяк-7	annotator3	4		червяк
червяк-6	червяк-7	annotator4	3		червяк
червяк-6	червяк-7	annotator5	2		червяк
червяк-8	червяк-9	annotator1	1		червяк
червяк-8	червяк-9	annotator2	1		червяк
червяк-8	червяк-9	annotator3	1		червяк
червяк-8	червяк-9	annotator4	1		червяк
червяк-8	червяк-9	annotator5	1		червяк
червяк-10	червяк-11	annotator1	2		червяк
червяк-10	червяк-11	annotator2	2		червяк
червяк-10	червяк-11	annotator3	4		червяк
червяк-10	червяк-11	annotator4	1		червяк
червяк-10	червяк-11	annotator5	1		червяк
червяк-12	червяк-13	annotator1	1		червяк
червяк-12	червяк-13	annotator2	1		червяк
червяк-12	червяк-13	annotator3	2		червяк
червяк-12	червяк-13	annotator4	1		червяк
червяк-12	червяк-13	annotator5	1		червяк
червяк-14	червяк-15	annotator1	1		червяк
червяк-14	червяк-15	annotator2	1		червяк
червяк-14	червяк-15	annotator3	3		червяк
червяк-14	червяк-15	annotator4	2		червяк
червяк-14	червяк-15	annotator5	2		червяк
червяк-16	червяк-17	annotator1	2		червяк
червяк-16	червяк-17	annotator2	1		червяк
червяк-16	червяк-17	annotator3	1		червяк
червяк-16	червяк-17	annotator4	2		червяк
червяк-16	червяк-17	annotator5	1		червяк
червяк-18	червяк-19	annotator1	1		червяк
червяк-18	червяк-19	annotator2	1		червяк
червяк-18	червяк-19	annotator3	1		червяк
червяк-18	червяк-19	annotator4	1		червяк
червяк-18	червяк-19	annotator5	1		червяк
червяк-20	червяк-21	annotator1	1		червяк
червяк-20	червяк-21	annotator2	1		червяк
червяк-20	червяк-21	annotator3	1		червяк
червяк-20	червяк-21	annotator4	2		червяк
червяк-20	червяк-21	annotator5	1		червяк
червяк-22	червяк-23	annotator1	1		червяк
червяк-22	червяк-23	annotator2	3		червяк
червяк-22	червяк-23	annotator3	2		червяк
червяк-22	червяк-23	annotator4	2		червяк
червяк-22	червяк-23	annotator5	1		червяк
червяк-24	червяк-25	annotator1	4		червяк
червяк-24	червяк-25	annotator2	2		червяк
червяк-24	червяк-25	annotator3	1		червяк
червяк-24	червяк-25	annotator4	1		червяк
червяк-24	червяк-25	annotator5	1		червяк
червяк-26	червяк-27	annotator1	1		червяк
червяк-26	червяк-27	annotator2	1		червяк
червяк-26	червяк-27	annotator3	1		червяк
червяк-26	червяк-27	annotator4	1		червяк
червяк-26	червяк-27	annotator5	1		червяк
червяк-28	червяк-29	annotator1	1		червяк
червяк-28	червяк-29	annotator2	1		червяк
червяк-28	червяк-29	annotator3	1		червяк
червяк-28	червяк-29	annotator4	1		червяк
червяк-28	червяк-29	annotator5	1		червяк
червяк-30	червяк-31	annotator1	4		червяк
червяк-30	червяк-31	annotator2	1		червяк
червяк-30	червяк-31	annotator3	1		червяк
червяк-30	червяк-31	annotator4	1		червяк
червяк-30	червяк-31	annotator5	1		червяк
червяк-32	червяк-33	annotator1	4		червяк
червяк-32	червяк-33	annotator2	3		червяк
червяк-32	червяк-33	annotator3	4		червяк
червяк-32	червяк-33	annotator4	4		червяк
червяк-32	червяк-33	annotator5	3		червяк
червяк-34	червяк-35	annotator1	2		червяк
червяк-34	червяк-35	annotator2	1		червяк
червяк-34	червяк-35	annotator3	1		червяк
червяк-34	червяк-35	annotator4	1		червяк
червяк-34	червяк-35	annotator5	1		червяк
червяк-36	червяк-37	annotator1	2		червяк
червяк-36	червяк-37	annotator2	1		червяк
червяк-36	червяк-37	annotator3	1		червяк
червяк-36	червяк-37	annotator4	1		червяк
червяк-36	червяк-37	annotator5	1		червяк
червяк-38	червяк-39	annotator1	1		червяк
червяк-38	червяк-39	annotator2	1		червяк
червяк-38	червяк-39	annotator3	4		червяк
червяк-38	червяк-39	annotator4	2		червяк
червяк-38	червяк-39	annotator5	1		червяк
червяк-40	червяк-41	annotator1	1		червяк
червяк-40	червяк-41	annotator2	3		червяк
червяк-40	червяк-41	annotator3	4		червяк
червяк-40	червяк-41	annotator4	1		червяк
червяк-40	червяк-41	annotator5	1		червяк
червяк-42	червяк-43	annotator1	1		червяк
червяк-42	червяк-43	annotator2	1		червяк
червяк-42	червяк-43	annotator3	1		червяк
червяк-42	червяк-43	annotator4	1		червяк
червяк-42	червяк-43	annotator5	1		червяк
червяк-44	червяк-45	annotator1	3		червяк
червяк-44	червяк-45	annotator2	3		червяк
червяк-44	червяк-45	annotator3	1		червяк
червяк-44	червяк-45	annotator4	1		червяк
червяк-44	червяк-45	annotator5	1		червяк
червяк-46	червяк-47	annotator1	4		червяк
червяк-46	червяк-47	annotator2	3		червяк
червяк-46	червяк-47	annotator3	4		червяк
