lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
червяк	NOUN	1918-1990	2	червяк-0		В один прекрасный вечер, не менее прекрасный экзекутор, Иван Дмитрич Червяков, сидел во втором ряду кресел и глядел в бинокль на "Корневильские колокола".	69:77	0:154
червяк	NOUN	1918-1990	2	червяк-1		Правый червяк.	7:13	0:14
червяк	NOUN	1918-1990	2	червяк-2		"На другой день Червяков надел новый вицмундир..." ) некоторые другие зевали.	16:24	0:77
червяк	NOUN	1918-1990	2	червяк-3		-- Этот книжный червяк вполне мог оказаться подсадной уткой...	16:22	0:62
червяк	NOUN	1682-1916	1	червяк-4		"Неужели это годы берут свое" -- червяком шевелилась мелкая, плоская мысль.	33:41	0:75
червяк	NOUN	1918-1990	2	червяк-5		Мне самому тошно, мне нужна была квартира на солнце; ей, моей жене, нужно было вытянуться поскорее выше проклятого пня, и я, под единственным впечатлением достать средства, не задумался оплести одного очень почтенного червяка, до логовища которого я проткнулся в землю: это был почтенный, старого завета старик, много поработавший, как я читал у Дарвина, для чернозема.	218:225	0:369
червяк	NOUN	1918-1990	2	червяк-6		"Неужели это годы берут своё" -- червяком шевелилась, мелкая, плоская мысль...	33:41	0:78
червяк	NOUN	1918-1990	2	червяк-7		А меня точил червяк "без вины виноватости" перед лицом представителя этого единственного в своем роде народа -- народа скитальца, народа-странника, сироты, лишенного родины, бездомного, бесприютного, всюду третируемого, как отверженный парий.	13:19	0:242
червяк	NOUN	1918-1990	2	червяк-8		-- И что -- сломалась телега -- Нет, но вылез червяк и сожрал лошадь!	46:52	0:69
червяк	NOUN	1918-1990	2	червяк-9		При установке киноаппарата в боксе надо следить за тем, чтобы червячное колесо и червяк вошли в зацепление.	81:87	0:107
червяк	NOUN	1682-1916	1	червяк-10		-- Маленький столик побежал тут по залу (водка действовала); маленький стол расширялся без толку и меры; Павел же Яковлевич вместе с краем стола отлетел, подвязался грязной салфеткою, копошился в салфетке и имел вид трупного червяка.	225:232	0:233
червяк	NOUN	1682-1916	1	червяк-11		Смазной, да затягивай хоть ты сдуру песню свою про червяка черемхового!	51:58	0:71
червяк	NOUN	1682-1916	1	червяк-12		-- Нам с тобой будет чем червяка заморить.	25:32	0:42
червяк	NOUN	1918-1990	2	червяк-13		И все я был один, и все мне казалось, что таинственно величавая природа, притягивающий к себе светлый круг месяца, остановившийся зачем-то на одном высоком неопределенном месте бледно-голубого неба и вместе стоящий везде и как будто наполняющий собой все необъятное пространство, и я, ничтожный червяк, уже оскверненный всеми мелкими, бедными людскими страстями, но со всей необъятной могучей силой воображения и любви, -- мне все казалось в эти минуты, что как будто природа, и луна, и я, мы были одно и то же.	295:301	0:511
червяк	NOUN	1682-1916	1	червяк-14		-- Не стану его есть, червяк не настоящий, обман".	22:28	0:50
червяк	NOUN	1918-1990	2	червяк-15		Напротив, заморить грызущего его червяка он только и может лишениями, и потому он не только готов принять всякие оскорбления, даже до мученического венца, а сам ищет их.	33:40	0:169
червяк	NOUN	1682-1916	1	червяк-16		-- Неужели, -- сказал он Границыну, -- развращение столичное так всеобще Неужели не найти дамы, на чье доброе имя, как на этот хрустальный бокал, не всползти ни одному червяку злословия -- Я не обер-полицеймейстер, милый друг; мне ведь не подают списков о числе рогатого племени в столице.	168:175	0:289
червяк	NOUN	1682-1916	1	червяк-17		В мире червей, конечно, не особенно существенно, если раздавлен какой-то один червяк.	78:84	0:85
червяк	NOUN	1682-1916	1	червяк-18		-- Посмотрите, какой красивый! и я поднесла на ладони к его лицу большого пестрого червяка.	83:90	0:91
червяк	NOUN	1682-1916	1	червяк-19		"Что значат смерть и страдания такого ничтожного червяка, как я, в сравнении с столькими смертями и столькими страданиями" Но вид чистого неба, блестящего солнца, красивого города, отворенной церкви и движущегося по разным направлениям военного люда скоро приведет ваш дух в нормальное состояние легкомыслия, маленьких забот и увлечения одним настоящим.	49:56	0:353
червяк	NOUN	1682-1916	1	червяк-20		-- Спрошу его, может, и примет,-- отвечал отец Виталий, насаживая червяка.	66:73	0:74
червяк	NOUN	1918-1990	2	червяк-21		Мы верим, что было так, как говорится в статье, но разве тем, что Остерман послушался умного совета, он доказал недостаток своих умственных способностей Если б у него был червяк в голове, как об нем отзывался Давыдов, он сделал бы противное.	171:177	0:241
червяк	NOUN	1918-1990	2	червяк-22		-- Это еще зачем, ты, грязный червяк -- Когда-то я тоже был таким крутым ковбоем, как ты.	30:36	0:89
червяк	NOUN	1918-1990	2	червяк-23		Чернушка еще в крепком состоянии часто попадается с червяком, но с наступлением холодов враги от нее отступаются, тогда чернушка держится долго".	52:60	0:145
червяк	NOUN	1682-1916	1	червяк-24		." -- Коли ты села, внучатка, так я тебе всю правдень объясню! -- сказал дед и поплевал мимо червяка.	93:100	0:101
червяк	NOUN	1918-1990	2	червяк-25		В общем, сейчас мне скучно, на душе червяк какой-то.	36:42	0:52
червяк	NOUN	1682-1916	1	червяк-26		/ "На другой день Червяков надел новый вицмундир.	18:26	0:49
червяк	NOUN	1918-1990	2	червяк-27		И зло, и глупо: чем же бедный Митя виноват, что его папа табак делает Когда мы проходили мимо того места, где мужчины рыбу ловили, Рутыгин сидел скорчившись, точно пошевельнуться боялся и все в воду смотрел; мне припомнилось, как Володя говорил, что когда удят, по одну сторону удочки бывает червяк, а по другую.	292:298	0:312
червяк	NOUN	1918-1990	2	червяк-28		Червяк из воды вылетает и орет: -- Мужик, ты что, обалдел Меня чуть рыбы не съели!!!	0:6	0:84
червяк	NOUN	1918-1990	2	червяк-29		С фильма, сделанного по этому сценарию, начинается замечательный советский кинорежиссер Евгений Вениаминович Червяков.	109:117	0:118
червяк	NOUN	1918-1990	2	червяк-30		Червяка отщипывает по кусочку.	0:7	0:30
червяк	NOUN	1918-1990	2	червяк-31		Шаг нарезки червяка рассчитан таким образом, что при повороте ручки на 10 делений червяк проходит по всей длине катушки, постепенно касаясь всех витков ее.	12:19	0:155
червяк	NOUN	1682-1916	1	червяк-32		А дома я достал маленькую книжку Платонова, развернул "Железную старуху", прочел о том, что червяк "был небольшой, чистый и кроткий, наверное, детеныш еще, а может быть, уже худой старик", и заплакал.	92:98	0:200
червяк	NOUN	1918-1990	2	червяк-33		На червяка наступают нечаянно, да и ему самому быть раздавленным не так больно, потому что он ничего не предвидит и, следовательно, ни к чему не готовится.	3:10	0:155
червяк	NOUN	1682-1916	1	червяк-34		Антон Павлович осмотрел ногу и прописал какую-то мазь; я ее привез, но Никита отказался употреблять лекарство и заявил: -- Зря деньги не плати, а что мазь эта стоит -- лучше мне отдавай деньгами либо табаку нюхательного купи: табак червяка в ноге ест.	232:239	0:251
червяк	NOUN	1682-1916	1	червяк-35		Стыдно ей будет, что вы простые хлопы, когда я сам перед ней ничто, червяк.	68:74	0:75
червяк	NOUN	1682-1916	1	червяк-36		В 1968 году "червяк" запросил уже 800 тысяч долларов.	13:19	0:53
червяк	NOUN	1918-1990	2	червяк-37		Вот такой червяк начинает глодать душу каждого ревнивца!	10:16	0:56
червяк	NOUN	1918-1990	2	червяк-38		В нынешней советской жизни это не только тихий спорт, на одном конце котораго помещается червяк, а на другом дурак.	89:95	0:115
червяк	NOUN	1918-1990	2	червяк-39		-- Ты умеешь молчать, червяк -- Не пробовал что-то.	22:28	0:51
червяк	NOUN	1682-1916	1	червяк-40		В упор глядя на него, она вызывающе продолжала: -- Вот я хорошая жена: без меня бы Викторка как червяк погиб, ведь он -- полоумный.	96:102	0:131
червяк	NOUN	1682-1916	1	червяк-41		Льётся её тихий голос в душу мне, рука её тёплая на шее у меня, голова на плече моём лежит; слушаю я, а сердце сосёт подлый червяк сомневаюсь.	124:130	0:142
червяк	NOUN	1682-1916	1	червяк-42		Вот и Чехов нам представляет, кто такой этот маленький чиновник Червяков.	64:72	0:73
червяк	NOUN	1918-1990	2	червяк-43		И по его выходит, что не только человек и обезьяна сродни, но и всякая живая тварь, примерно лошадь, змея, собака, червяк, от одной клетки произошли.	115:121	0:149
