identifier1	identifier2	annotator	judgment	comment	lemma
чиновник-0	чиновник-1	annotator1	4		чиновник
чиновник-0	чиновник-1	annotator2	4		чиновник
чиновник-0	чиновник-1	annotator3	4		чиновник
чиновник-0	чиновник-1	annotator4	4		чиновник
чиновник-0	чиновник-1	annotator5	4		чиновник
чиновник-2	чиновник-3	annotator1	3		чиновник
чиновник-2	чиновник-3	annotator2	4		чиновник
чиновник-2	чиновник-3	annotator3	3		чиновник
чиновник-2	чиновник-3	annotator4	4		чиновник
чиновник-2	чиновник-3	annotator5	4		чиновник
чиновник-4	чиновник-5	annotator1	2		чиновник
чиновник-4	чиновник-5	annotator2	4		чиновник
чиновник-4	чиновник-5	annotator3	4		чиновник
чиновник-4	чиновник-5	annotator4	4		чиновник
чиновник-4	чиновник-5	annotator5	4		чиновник
чиновник-6	чиновник-7	annotator1	4		чиновник
чиновник-6	чиновник-7	annotator2	4		чиновник
чиновник-6	чиновник-7	annotator3	4		чиновник
чиновник-6	чиновник-7	annotator4	4		чиновник
чиновник-6	чиновник-7	annotator5	4		чиновник
чиновник-8	чиновник-9	annotator1	3		чиновник
чиновник-8	чиновник-9	annotator2	4		чиновник
чиновник-8	чиновник-9	annotator3	4		чиновник
чиновник-8	чиновник-9	annotator4	4		чиновник
чиновник-8	чиновник-9	annotator5	4		чиновник
чиновник-10	чиновник-11	annotator1	4		чиновник
чиновник-10	чиновник-11	annotator2	3		чиновник
чиновник-10	чиновник-11	annotator3	4		чиновник
чиновник-10	чиновник-11	annotator4	4		чиновник
чиновник-10	чиновник-11	annotator5	4		чиновник
чиновник-12	чиновник-13	annotator1	4		чиновник
чиновник-12	чиновник-13	annotator2	4		чиновник
чиновник-12	чиновник-13	annotator3	4		чиновник
чиновник-12	чиновник-13	annotator4	4		чиновник
чиновник-12	чиновник-13	annotator5	4		чиновник
чиновник-14	чиновник-15	annotator1	4		чиновник
чиновник-14	чиновник-15	annotator2	4		чиновник
чиновник-14	чиновник-15	annotator3	2		чиновник
чиновник-14	чиновник-15	annotator4	4		чиновник
чиновник-14	чиновник-15	annotator5	4		чиновник
чиновник-16	чиновник-17	annotator1	4		чиновник
чиновник-16	чиновник-17	annotator2	4		чиновник
чиновник-16	чиновник-17	annotator3	4		чиновник
чиновник-16	чиновник-17	annotator4	4		чиновник
чиновник-16	чиновник-17	annotator5	4		чиновник
чиновник-18	чиновник-19	annotator1	4		чиновник
чиновник-18	чиновник-19	annotator2	4		чиновник
чиновник-18	чиновник-19	annotator3	4		чиновник
чиновник-18	чиновник-19	annotator4	3		чиновник
чиновник-18	чиновник-19	annotator5	3		чиновник
чиновник-20	чиновник-21	annotator1	4		чиновник
чиновник-20	чиновник-21	annotator2	4		чиновник
чиновник-20	чиновник-21	annotator3	4		чиновник
чиновник-20	чиновник-21	annotator4	3		чиновник
чиновник-20	чиновник-21	annotator5	3		чиновник
чиновник-22	чиновник-23	annotator1	4		чиновник
чиновник-22	чиновник-23	annotator2	4		чиновник
чиновник-22	чиновник-23	annotator3	4		чиновник
чиновник-22	чиновник-23	annotator4	4		чиновник
чиновник-22	чиновник-23	annotator5	4		чиновник
чиновник-24	чиновник-25	annotator1	4		чиновник
чиновник-24	чиновник-25	annotator2	4		чиновник
чиновник-24	чиновник-25	annotator3	4		чиновник
чиновник-24	чиновник-25	annotator4	4		чиновник
чиновник-24	чиновник-25	annotator5	3		чиновник
чиновник-26	чиновник-27	annotator1	4		чиновник
чиновник-26	чиновник-27	annotator2	4		чиновник
чиновник-26	чиновник-27	annotator3	4		чиновник
чиновник-26	чиновник-27	annotator4	4		чиновник
чиновник-26	чиновник-27	annotator5	4		чиновник
чиновник-28	чиновник-29	annotator1	4		чиновник
чиновник-28	чиновник-29	annotator2	4		чиновник
чиновник-28	чиновник-29	annotator3	4		чиновник
чиновник-28	чиновник-29	annotator4	4		чиновник
чиновник-28	чиновник-29	annotator5	4		чиновник
чиновник-30	чиновник-31	annotator1	4		чиновник
чиновник-30	чиновник-31	annotator2	4		чиновник
