lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
чиновник	NOUN	1918-1990	2	чиновник-0		 На этот раз нас принял не министр, а чиновник и, судя по его чрезмерной важности, не крупный.	38:46	0:94
чиновник	NOUN	1918-1990	2	чиновник-1		Правда, в "Смерти Ивана Ильича" пред нами история средней руки чиновника, и иному может показаться, что именно потому его предсмертные мысли так тяжелы и мучительны, что он был слишком ординарным человеком.	63:72	0:206
чиновник	NOUN	1682-1916	1	чиновник-2		-- А что, если я осмелюсь, пойду к "чиновнику", попрошу его -- Пойдите, быть может и в самом деле он поможет вам.	36:45	0:113
чиновник	NOUN	1682-1916	1	чиновник-3		Сюда переезжают на житье отставные чиновники, вдовы, небогатые люди, имеющие знакомство с сенатом и потому осудившие себя здесь почти на всю жизнь; выслужившиеся кухарки, толкающиеся целый день на рынках, болтающие вздор с мужиком в мелочной лавочке и забирающие каждый день на пять копеек кофию да на четыре сахару, и, наконец, весь тот разряд людей, который можно назвать одним словом: пепельный, -- людей, которые с своим платьем, лицом, волосами, глазами имеют какую-то мутную, пепельную наружность, как день, когда нет на небе ни бури, ни солнца, а бывает просто ни се ни то: сеется туман и отнимает всякую резкость у предметов.	35:44	0:633
чиновник	NOUN	1918-1990	2	чиновник-4		-- Ни про каких не про чиновников, а просто выхожу в запас и поступаю на службу, -- и тут Виктор с вызовом глянул на отца.	23:33	0:122
чиновник	NOUN	1918-1990	2	чиновник-5		Свои чиновники оказались куда горше царских -- лезли к власти, как мухи на мед, воры, всякие неудачники, обиженные на учителя, выгнавшего их из гимназии, сознательные воры-убийцы и самолюбивые гении, выгнанные из 3-го класса городского училища.	5:14	0:244
чиновник	NOUN	1682-1916	1	чиновник-6		-- Там какой-то чиновник дожидается, вас хочет видеть.	16:24	0:54
чиновник	NOUN	1682-1916	1	чиновник-7		Софью играла молодая актриса Гринева (тогда уже жена писателя Всеволода Крестовского), я -- Чацкого, известный тогда любитель из чиновников военного министерства -- Фамусова; а Григорьев должен был исполнять Репетилова.	129:139	0:219
чиновник	NOUN	1682-1916	1	чиновник-8		-- Я чиновник особых поручений при охранном отделении.	5:13	0:54
чиновник	NOUN	1918-1990	2	чиновник-9		События дня 9 августа чиновник персидского государственного банка при выезде из Кермана захвачен в плен разбойниками.	22:30	0:117
