identifier1	identifier2	annotator	judgment	comment	lemma
элемент-0	элемент-1	annotator1	1		элемент
элемент-0	элемент-1	annotator2	4		элемент
элемент-0	элемент-1	annotator3	3		элемент
элемент-0	элемент-1	annotator4	1		элемент
элемент-0	элемент-1	annotator5	2		элемент
элемент-2	элемент-3	annotator1	4		элемент
элемент-2	элемент-3	annotator2	1		элемент
элемент-2	элемент-3	annotator3	1		элемент
элемент-2	элемент-3	annotator4	1		элемент
элемент-2	элемент-3	annotator5	1		элемент
элемент-4	элемент-5	annotator1	1		элемент
элемент-4	элемент-5	annotator2	1		элемент
элемент-4	элемент-5	annotator3	1		элемент
элемент-4	элемент-5	annotator4	1		элемент
элемент-4	элемент-5	annotator5	2		элемент
элемент-6	элемент-7	annotator1	2		элемент
элемент-6	элемент-7	annotator2	1		элемент
элемент-6	элемент-7	annotator3	2		элемент
элемент-6	элемент-7	annotator4	1		элемент
элемент-6	элемент-7	annotator5	1		элемент
элемент-8	элемент-9	annotator1	4		элемент
элемент-8	элемент-9	annotator2	3		элемент
элемент-8	элемент-9	annotator3	1		элемент
элемент-8	элемент-9	annotator4	4		элемент
элемент-8	элемент-9	annotator5	3		элемент
элемент-10	элемент-11	annotator1	1		элемент
элемент-10	элемент-11	annotator2	4		элемент
элемент-10	элемент-11	annotator3	2		элемент
элемент-10	элемент-11	annotator4	1		элемент
элемент-10	элемент-11	annotator5	1		элемент
элемент-12	элемент-13	annotator1	1		элемент
элемент-12	элемент-13	annotator2	1		элемент
элемент-12	элемент-13	annotator3	1		элемент
элемент-12	элемент-13	annotator4	1		элемент
элемент-12	элемент-13	annotator5	1		элемент
элемент-14	элемент-15	annotator1	1		элемент
элемент-14	элемент-15	annotator2	2		элемент
элемент-14	элемент-15	annotator3	1		элемент
элемент-14	элемент-15	annotator4	2		элемент
элемент-14	элемент-15	annotator5	4		элемент
элемент-16	элемент-17	annotator1	3		элемент
элемент-16	элемент-17	annotator2	1		элемент
элемент-16	элемент-17	annotator3	3		элемент
элемент-16	элемент-17	annotator4	1		элемент
элемент-16	элемент-17	annotator5	4		элемент
элемент-18	элемент-19	annotator1	1		элемент
элемент-18	элемент-19	annotator2	1		элемент
элемент-18	элемент-19	annotator3	2		элемент
элемент-18	элемент-19	annotator4	4		элемент
элемент-18	элемент-19	annotator5	1		элемент
элемент-20	элемент-21	annotator1	1		элемент
элемент-20	элемент-21	annotator2	1		элемент
элемент-20	элемент-21	annotator3	2		элемент
элемент-20	элемент-21	annotator4	3		элемент
элемент-20	элемент-21	annotator5	1		элемент
элемент-22	элемент-23	annotator1	1		элемент
элемент-22	элемент-23	annotator2	1		элемент
элемент-22	элемент-23	annotator3	1		элемент
элемент-22	элемент-23	annotator4	1		элемент
элемент-22	элемент-23	annotator5	1		элемент
элемент-24	элемент-25	annotator1	4		элемент
элемент-24	элемент-25	annotator2	2		элемент
элемент-24	элемент-25	annotator3	2		элемент
элемент-24	элемент-25	annotator4	2		элемент
элемент-24	элемент-25	annotator5	1		элемент
элемент-26	элемент-27	annotator1	1		элемент
элемент-26	элемент-27	annotator2	2		элемент
элемент-26	элемент-27	annotator3	2		элемент
элемент-26	элемент-27	annotator4	4		элемент
элемент-26	элемент-27	annotator5	2		элемент
элемент-28	элемент-29	annotator1	1		элемент
элемент-28	элемент-29	annotator2	2		элемент
элемент-28	элемент-29	annotator3	1		элемент
элемент-28	элемент-29	annotator4	1		элемент
элемент-28	элемент-29	annotator5	1		элемент
элемент-30	элемент-31	annotator1	2		элемент
элемент-30	элемент-31	annotator2	1		элемент
элемент-30	элемент-31	annotator3	1		элемент
элемент-30	элемент-31	annotator4	1		элемент
элемент-30	элемент-31	annotator5	4		элемент
элемент-32	элемент-33	annotator1	4		элемент
элемент-32	элемент-33	annotator2	1		элемент
элемент-32	элемент-33	annotator3	2		элемент
элемент-32	элемент-33	annotator4	1		элемент
элемент-32	элемент-33	annotator5	4		элемент
элемент-34	элемент-35	annotator1	1		элемент
элемент-34	элемент-35	annotator2	2		элемент
элемент-34	элемент-35	annotator3	4		элемент
элемент-34	элемент-35	annotator4	1		элемент
элемент-34	элемент-35	annotator5	3		элемент
элемент-36	элемент-37	annotator1	1		элемент
элемент-36	элемент-37	annotator2	2		элемент
элемент-36	элемент-37	annotator3	1		элемент
элемент-36	элемент-37	annotator4	3		элемент
элемент-36	элемент-37	annotator5	1		элемент
элемент-38	элемент-39	annotator1	1		элемент
элемент-38	элемент-39	annotator2	2		элемент
элемент-38	элемент-39	annotator3	1		элемент
элемент-38	элемент-39	annotator4	1		элемент
элемент-38	элемент-39	annotator5	1		элемент
элемент-40	элемент-41	annotator1	1		элемент
элемент-40	элемент-41	annotator2	1		элемент
элемент-40	элемент-41	annotator3	1		элемент
элемент-40	элемент-41	annotator4	1		элемент
элемент-40	элемент-41	annotator5	1		элемент
элемент-42	элемент-43	annotator1	1		элемент
элемент-42	элемент-43	annotator2	2		элемент
элемент-42	элемент-43	annotator3	1		элемент
элемент-42	элемент-43	annotator4	1		элемент
элемент-42	элемент-43	annotator5	1		элемент
элемент-44	элемент-45	annotator1	1		элемент
элемент-44	элемент-45	annotator2	4		элемент
элемент-44	элемент-45	annotator3	2		элемент
элемент-44	элемент-45	annotator4	1		элемент
элемент-44	элемент-45	annotator5	1		элемент
элемент-46	элемент-47	annotator1	3		элемент
элемент-46	элемент-47	annotator2	1		элемент
элемент-46	элемент-47	annotator3	1		элемент
элемент-46	элемент-47	annotator4	4		элемент
элемент-46	элемент-47	annotator5	4		элемент
элемент-48	элемент-49	annotator1	3		элемент
элемент-48	элемент-49	annotator2	4		элемент
элемент-48	элемент-49	annotator3	2		элемент
элемент-48	элемент-49	annotator4	4		элемент
элемент-48	элемент-49	annotator5	2		элемент
элемент-50	элемент-51	annotator1	4		элемент
элемент-50	элемент-51	annotator2	3		элемент
элемент-50	элемент-51	annotator3	2		элемент
элемент-50	элемент-51	annotator4	2		элемент
элемент-50	элемент-51	annotator5	2		элемент
элемент-52	элемент-53	annotator1	4		элемент
элемент-52	элемент-53	annotator2	1		элемент
элемент-52	элемент-53	annotator3	1		элемент
элемент-52	элемент-53	annotator4	4		элемент
элемент-52	элемент-53	annotator5	3		элемент
элемент-54	элемент-55	annotator1	4		элемент
элемент-54	элемент-55	annotator2	4		элемент
элемент-54	элемент-55	annotator3	1		элемент
элемент-54	элемент-55	annotator4	1		элемент
элемент-54	элемент-55	annotator5	2		элемент
элемент-56	элемент-57	annotator1	2		элемент
элемент-56	элемент-57	annotator2	1		элемент
элемент-56	элемент-57	annotator3	3		элемент
элемент-56	элемент-57	annotator4	2		элемент
элемент-56	элемент-57	annotator5	4		элемент
элемент-58	элемент-59	annotator1	1		элемент
элемент-58	элемент-59	annotator2	4		элемент
элемент-58	элемент-59	annotator3	1		элемент
элемент-58	элемент-59	annotator4	1		элемент
элемент-58	элемент-59	annotator5	3		элемент
элемент-60	элемент-61	annotator1	3		элемент
элемент-60	элемент-61	annotator2	3		элемент
элемент-60	элемент-61	annotator3	2		элемент
элемент-60	элемент-61	annotator4	1		элемент
элемент-60	элемент-61	annotator5	1		элемент
элемент-62	элемент-63	annotator1	1		элемент
элемент-62	элемент-63	annotator2	1		элемент
элемент-62	элемент-63	annotator3	1		элемент
элемент-62	элемент-63	annotator4	1		элемент
элемент-62	элемент-63	annotator5	1		элемент
элемент-64	элемент-65	annotator1	2		элемент
элемент-64	элемент-65	annotator2	3		элемент
элемент-64	элемент-65	annotator3	3		элемент
элемент-64	элемент-65	annotator4	2		элемент
элемент-64	элемент-65	annotator5	1		элемент
элемент-66	элемент-67	annotator1	2		элемент
элемент-66	элемент-67	annotator2	1		элемент
элемент-66	элемент-67	annotator3	1		элемент
элемент-66	элемент-67	annotator4	1		элемент
элемент-66	элемент-67	annotator5	1		элемент
элемент-68	элемент-69	annotator1	2		элемент
элемент-68	элемент-69	annotator2	1		элемент
элемент-68	элемент-69	annotator3	3		элемент
элемент-68	элемент-69	annotator4	4		элемент
элемент-68	элемент-69	annotator5	2		элемент
элемент-70	элемент-71	annotator1	1		элемент
элемент-70	элемент-71	annotator2	2		элемент
элемент-70	элемент-71	annotator3	1		элемент
элемент-70	элемент-71	annotator4	1		элемент
элемент-70	элемент-71	annotator5	1		элемент
элемент-72	элемент-73	annotator1	1		элемент
элемент-72	элемент-73	annotator2	4		элемент
элемент-72	элемент-73	annotator3	1		элемент
элемент-72	элемент-73	annotator4	2		элемент
элемент-72	элемент-73	annotator5	3		элемент
элемент-74	элемент-75	annotator1	1		элемент
элемент-74	элемент-75	annotator2	1		элемент
элемент-74	элемент-75	annotator3	1		элемент
элемент-74	элемент-75	annotator4	1		элемент
элемент-74	элемент-75	annotator5	1		элемент
элемент-76	элемент-77	annotator1	1		элемент
элемент-76	элемент-77	annotator2	1		элемент
элемент-76	элемент-77	annotator3	1		элемент
элемент-76	элемент-77	annotator4	1		элемент
элемент-76	элемент-77	annotator5	1		элемент
элемент-78	элемент-79	annotator1	1		элемент
элемент-78	элемент-79	annotator2	2		элемент
элемент-78	элемент-79	annotator3	1		элемент
элемент-78	элемент-79	annotator4	1		элемент
элемент-78	элемент-79	annotator5	1		элемент
элемент-80	элемент-81	annotator1	1		элемент
элемент-80	элемент-81	annotator2	1		элемент
