lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
элемент	NOUN	1682-1916	1	элемент-0		2) Создание "учредительного органа", составленного из представителей земского самоуправления и дополненного элементами, недостаточно в нем представленными (формула Шаховского).	108:118	0:176
элемент	NOUN	1918-1990	2	элемент-1		Но жизнь имеет главным своим элементом труд, а потому главный элемент реальности -- труд, и самый верный признак реальности -- дельность.	29:38	0:137
элемент	NOUN	1682-1916	1	элемент-2		Элементы залегания кристаллических сланцев и гнейсов при общем преобладающем меридиональном простирании для различных участков разнятся по ориентировке и углам падения, давая колебания от 20 до 30 в случае односторонней ориентировки.	0:8	0:233
элемент	NOUN	1918-1990	2	элемент-3		Победоносные войны дали правительству возможность усилить крестьянский элемент путем особого рода переселенческой системы -- так называемой клерухии.	71:78	0:149
элемент	NOUN	1682-1916	1	элемент-4		Благодаря своей необыкновенной общительности и подвижности гиляки издавна успели породниться со всеми соседними народами, и потому встретить теперь гиляка pur sang, без примеси монгольских, тунгусских или аинских элементов, почти невозможно.	213:222	0:241
элемент	NOUN	1682-1916	1	элемент-5		Во всяком случае, ни о "внутренних врагах", ни о "неблагонадежных элементах" тогда даже в помине не было.	66:75	0:105
элемент	NOUN	1918-1990	2	элемент-6		В "Айболите" будут органически сочетаться элементы кино, пантомимы, цирка, театра.	42:50	0:82
элемент	NOUN	1918-1990	2	элемент-7		Что касается анархистов, то они, будучи и так ничтожной по своему влиянию группой, теперь окончательно распались на мелкие группки, из которых одни смешались с уголовно-воровскими и провокаторскими элементами подонков общества, другие ушли в "идейные" экспроприаторы, грабившие крестьян и мелкий городской люд и отбиравшие у рабочих клубов их помещения, их сбережения, а третьи перекочевали открыто в лагерь контрреволюционеров, устраивая свою личную жизнь на задворках у буржуазии.	198:208	0:482
элемент	NOUN	1682-1916	1	элемент-8		В Быхове составлялась преподанная Ставке дислокация казачьих частей для занятия важнейших железнодорожных узлов на путях с фронта к югу, чтобы в случае ожидаемого крушения фронта, сдержать поток бегущих, собрать устойчивый элемент и обеспечить продвижение его на Юг.	223:230	0:266
элемент	NOUN	1918-1990	2	элемент-9		Индийские чандалы живут вне кастового строя и состоят частью из плодов строго воспрещенных mesalliance'ов между представителями трех высших каст, частью из потомков судр, за преступления или по каким-нибудь другим причинам выбывших из своей касты, частью, наконец, из покоренных неарийских туземных элементов.	299:308	0:309
элемент	NOUN	1682-1916	1	элемент-10		В головном мозгу наблюдаются изменения преимущественно воспалительного характера -- инфильтрация периваскулярных пространств и самого вещества мозга лимфоцитами и плазматическими клетками, образование особых скоплений из клеток в виде узелков (tubercula rabica) и перерождение нервных элементов.	285:294	0:295
элемент	NOUN	1918-1990	2	элемент-11		Хитрый немец должен был служить в качестве какого-то изолирующего элемента.	66:74	0:75
элемент	NOUN	1918-1990	2	элемент-12		В каждой из этих пьес элементы моралите приспособлены к историческому или мифологическому сюжету.	22:30	0:97
элемент	NOUN	1918-1990	2	элемент-13		Вот в какой скверной истории оказался замешан элемент 15.	46:53	0:57
элемент	NOUN	1682-1916	1	элемент-14		В конце концов у него получился такой вывод: как ни различны элементы вселенной, -- электроны, атомы, вещи, люди, идеи, планеты, звезды, -- и как ни различны по внешности их комбинации, но возможно установить небольшое число общих методов, по которым эти какие угодно элементы соединяются между собою, как в стихийном процессе природы, так и в человеческой деятельности.	61:69	0:370
элемент	NOUN	1682-1916	1	элемент-15		Духовное общество -- церковь -- должно подчинить себе общество мирское, возвышая его до себя, одухотворяя его, делая мирской элемент своим орудием и посредством -- своим телом, причем внешнее единство является само собою как естественный результат.	125:132	0:248
