identifier1	identifier2	annotator	judgment	comment	lemma
юношество-76-12	юношество-77-12	annotator1	3		юношество
юношество-72-12	юношество-73-12	annotator1	2		юношество
юношество-6-12	юношество-7-12	annotator1	4		юношество
юношество-112-12	юношество-113-12	annotator1	4		юношество
юношество-14-12	юношество-15-12	annotator1	4		юношество
юношество-78-12	юношество-79-12	annotator1	1		юношество
юношество-56-12	юношество-57-12	annotator1	4		юношество
юношество-22-12	юношество-23-12	annotator1	1		юношество
юношество-82-12	юношество-83-12	annotator1	4		юношество
юношество-68-12	юношество-69-12	annotator1	4		юношество
юношество-16-12	юношество-17-12	annotator1	4		юношество
юношество-58-12	юношество-59-12	annotator1	4		юношество
юношество-118-12	юношество-119-12	annotator1	4		юношество
юношество-20-12	юношество-21-12	annotator1	3		юношество
юношество-70-12	юношество-71-12	annotator1	4		юношество
юношество-84-12	юношество-85-12	annotator1	4		юношество
юношество-46-12	юношество-47-12	annotator1	4		юношество
юношество-18-12	юношество-19-12	annotator1	3		юношество
юношество-10-12	юношество-11-12	annotator1	1		юношество
юношество-100-12	юношество-101-12	annotator1	4		юношество
юношество-60-12	юношество-61-12	annotator1	1		юношество
юношество-90-12	юношество-91-12	annotator1	2		юношество
юношество-98-12	юношество-99-12	annotator1	1		юношество
юношество-30-12	юношество-31-12	annotator1	4		юношество
юношество-44-12	юношество-45-12	annotator1	4		юношество
юношество-8-12	юношество-9-12	annotator1	4		юношество
юношество-50-12	юношество-51-12	annotator1	3		юношество
юношество-86-12	юношество-87-12	annotator1	1		юношество
юношество-102-12	юношество-103-12	annotator1	4		юношество
юношество-48-12	юношество-49-12	annotator1	3		юношество
юношество-110-12	юношество-111-12	annotator1	4		юношество
юношество-114-12	юношество-115-12	annotator1	4		юношество
юношество-52-12	юношество-53-12	annotator1	4		юношество
юношество-108-12	юношество-109-12	annotator1	4		юношество
юношество-54-12	юношество-55-12	annotator1	3		юношество
юношество-92-12	юношество-93-12	annotator1	4		юношество
юношество-62-12	юношество-63-12	annotator1	4		юношество
юношество-4-12	юношество-5-12	annotator1	4		юношество
юношество-40-12	юношество-41-12	annotator1	4		юношество
юношество-38-12	юношество-39-12	annotator1	4		юношество
юношество-2-12	юношество-3-12	annotator1	4		юношество
юношество-104-12	юношество-105-12	annotator1	4		юношество
юношество-42-12	юношество-43-12	annotator1	4		юношество
юношество-28-12	юношество-29-12	annotator1	1		юношество
юношество-96-12	юношество-97-12	annotator1	4		юношество
юношество-36-12	юношество-37-12	annotator1	4		юношество
юношество-80-12	юношество-81-12	annotator1	4		юношество
юношество-74-12	юношество-75-12	annotator1	4		юношество
юношество-66-12	юношество-67-12	annotator1	4		юношество
юношество-94-12	юношество-95-12	annotator1	3		юношество
юношество-106-12	юношество-107-12	annotator1	1		юношество
юношество-32-12	юношество-33-12	annotator1	1		юношество
юношество-88-12	юношество-89-12	annotator1	4		юношество
юношество-24-12	юношество-25-12	annotator1	4		юношество
юношество-64-12	юношество-65-12	annotator1	4		юношество
юношество-0-12	юношество-1-12	annotator1	4		юношество
юношество-116-12	юношество-117-12	annotator1	1		юношество
юношество-34-12	юношество-35-12	annotator1	3		юношество
юношество-12-12	юношество-13-12	annotator1	4		юношество
юношество-26-12	юношество-27-12	annotator1	3		юношество
юношество-20-12	юношество-21-12	annotator2	4		юношество
юношество-108-12	юношество-109-12	annotator2	4		юношество
юношество-8-12	юношество-9-12	annotator2	3		юношество
юношество-4-12	юношество-5-12	annotator2	2		юношество
юношество-86-12	юношество-87-12	annotator2	2		юношество
юношество-22-12	юношество-23-12	annotator2	1		юношество
юношество-16-12	юношество-17-12	annotator2	1		юношество
юношество-2-12	юношество-3-12	annotator2	4		юношество
юношество-88-12	юношество-89-12	annotator2	4		юношество
юношество-82-12	юношество-83-12	annotator2	4		юношество
юношество-6-12	юношество-7-12	annotator2	4		юношество
юношество-0-12	юношество-1-12	annotator2	4		юношество
юношество-24-12	юношество-25-12	annotator2	4		юношество
юношество-90-12	юношество-91-12	annotator2	4		юношество
юношество-98-12	юношество-99-12	annotator2	2		юношество
юношество-110-12	юношество-111-12	annotator2	4		юношество
юношество-28-12	юношество-29-12	annotator2	1		юношество
юношество-14-12	юношество-15-12	annotator2	4		юношество
юношество-112-12	юношество-113-12	annotator2	4		юношество
юношество-18-12	юношество-19-12	annotator2	4		юношество
юношество-62-12	юношество-63-12	annotator2	4		юношество
юношество-60-12	юношество-61-12	annotator2	1		юношество
юношество-26-12	юношество-27-12	annotator2	2		юношество
юношество-12-12	юношество-13-12	annotator2	1		юношество
юношество-114-12	юношество-115-12	annotator2	4		юношество
юношество-100-12	юношество-101-12	annotator2	0		юношество
юношество-10-12	юношество-11-12	annotator2	4		юношество
юношество-64-12	юношество-65-12	annotator2	4		юношество
юношество-44-12	юношество-45-12	annotator2	4		юношество
юношество-36-12	юношество-37-12	annotator2	4		юношество
юношество-72-12	юношество-73-12	annotator2	1		юношество
юношество-92-12	юношество-93-12	annotator2	3		юношество
юношество-34-12	юношество-35-12	annotator2	3		юношество
юношество-116-12	юношество-117-12	annotator2	2		юношество
юношество-32-12	юношество-33-12	annotator2	3		юношество
юношество-94-12	юношество-95-12	annotator2	3		юношество
юношество-80-12	юношество-81-12	annotator2	4		юношество
юношество-96-12	юношество-97-12	annotator2	4		юношество
юношество-42-12	юношество-43-12	annotator2	3		юношество
юношество-104-12	юношество-105-12	annotator2	3		юношество
юношество-40-12	юношество-41-12	annotator2	4		юношество
юношество-74-12	юношество-75-12	annotator2	4		юношество
юношество-38-12	юношество-39-12	annotator2	4		юношество
юношество-54-12	юношество-55-12	annotator2	4		юношество
юношество-56-12	юношество-57-12	annotator2	1		юношество
юношество-78-12	юношество-79-12	annotator2	4		юношество
юношество-48-12	юношество-49-12	annotator2	4		юношество
юношество-68-12	юношество-69-12	annotator2	4		юношество
юношество-84-12	юношество-85-12	annotator2	1		юношество
юношество-50-12	юношество-51-12	annotator2	3		юношество
юношество-102-12	юношество-103-12	annotator2	4		юношество
юношество-66-12	юношество-67-12	annotator2	2		юношество
юношество-76-12	юношество-77-12	annotator2	1		юношество
юношество-46-12	юношество-47-12	annotator2	1		юношество
юношество-106-12	юношество-107-12	annotator2	3		юношество
юношество-30-12	юношество-31-12	annotator2	2		юношество
юношество-118-12	юношество-119-12	annotator2	4		юношество
юношество-58-12	юношество-59-12	annotator2	4		юношество
юношество-52-12	юношество-53-12	annotator2	4		юношество
юношество-70-12	юношество-71-12	annotator2	4		юношество
юношество-90-12	юношество-91-12	annotator3	4		юношество
юношество-100-12	юношество-101-12	annotator3	4		юношество
юношество-114-12	юношество-115-12	annotator3	4		юношество
юношество-104-12	юношество-105-12	annotator3	4		юношество
юношество-2-12	юношество-3-12	annotator3	4		юношество
юношество-84-12	юношество-85-12	annotator3	1		юношество
юношество-112-12	юношество-113-12	annotator3	4		юношество
юношество-20-12	юношество-21-12	annotator3	4		юношество
юношество-74-12	юношество-75-12	annotator3	2		юношество
юношество-94-12	юношество-95-12	annotator3	4		юношество
юношество-0-12	юношество-1-12	annotator3	4		юношество
юношество-116-12	юношество-117-12	annotator3	3		юношество
юношество-92-12	юношество-93-12	annotator3	1		юношество
юношество-102-12	юношество-103-12	annotator3	3		юношество
юношество-118-12	юношество-119-12	annotator3	3		юношество
юношество-98-12	юношество-99-12	annotator3	1		юношество
юношество-96-12	юношество-97-12	annotator3	4		юношество
юношество-62-12	юношество-63-12	annotator3	4		юношество
юношество-22-12	юношество-23-12	annotator3	1		юношество
юношество-46-12	юношество-47-12	annotator3	4		юношество
юношество-86-12	юношество-87-12	annotator3	2		юношество
юношество-52-12	юношество-53-12	annotator3	4		юношество
юношество-58-12	юношество-59-12	annotator3	4		юношество
юношество-56-12	юношество-57-12	annotator3	3		юношество
юношество-70-12	юношество-71-12	annotator3	4		юношество
юношество-54-12	юношество-55-12	annotator3	4		юношество
юношество-44-12	юношество-45-12	annotator3	4		юношество
юношество-78-12	юношество-79-12	annotator3	4		юношество
юношество-64-12	юношество-65-12	annotator3	4		юношество
юношество-34-12	юношество-35-12	annotator3	1		юношество
юношество-32-12	юношество-33-12	annotator3	1		юношество
юношество-30-12	юношество-31-12	annotator3	3		юношество
юношество-36-12	юношество-37-12	annotator3	4		юношество
юношество-66-12	юношество-67-12	annotator3	3		юношество
юношество-60-12	юношество-61-12	annotator3	4		юношество
юношество-42-12	юношество-43-12	annotator3	3		юношество
юношество-80-12	юношество-81-12	annotator3	4		юношество
юношество-40-12	юношество-41-12	annotator3	4		юношество
юношество-38-12	юношество-39-12	annotator3	4		юношество
юношество-72-12	юношество-73-12	annotator3	4		юношество
юношество-48-12	юношество-49-12	annotator3	4		юношество
юношество-76-12	юношество-77-12	annotator3	4		юношество
юношество-50-12	юношество-51-12	annotator3	2		юношество
юношество-28-12	юношество-29-12	annotator3	2		юношество
юношество-106-12	юношество-107-12	annotator3	2		юношество
юношество-26-12	юношество-27-12	annotator3	1		юношество
юношество-24-12	юношество-25-12	annotator3	4		юношество
юношество-4-12	юношество-5-12	annotator3	2		юношество
юношество-88-12	юношество-89-12	annotator3	4		юношество
