lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
юношество	NOUN	1682-1916	1	юношество-0		(Нужны для юношества средние художественные! учебн[ые] заведения!	11:20	0:65
юношество	NOUN	1918-1990	2	юношество-1		Императрица Елизавета обошлась с учениками весьма милостиво и, по ходатайству Шувалова, "для лучшего одобрения и поощрения учащегося юношества", пожаловала их чинами, с оставлением до окончания курса в университете.	133:142	0:215
юношество	NOUN	1682-1916	1	юношество-2		-- Шиллер! -- говорил он: -- благословляю тебя! тебе я обязан святыми минутами юности Сколько слез лилось из глаз моих на твои поэмы! какой алтарь воздвигнул я тебе в душе моей! ты по преимуществу поэт юношества, тот же мечтательный взор, обращенный на одно будущее, те же энергические благородные чувства, та же любовь к людям, та же симпатия к современности.	202:211	0:360
юношество	NOUN	1682-1916	1	юношество-3		Ив. Невзоров издавал журнал Друг юношества, который в последнее время назвал Другом юношества и всяких лет.	33:42	0:107
юношество	NOUN	1682-1916	1	юношество-4		-- Я юношества не допускаю.	5:14	0:27
юношество	NOUN	1682-1916	1	юношество-5		Наши современные безбожники во главе со Львом Толстым считают Евангелие за басни и не верят в Божество Иисуса Христа, как и в Его Божественное посланничество, Божественное слово и чудеса, и своим неверием и клеветою на Господа и на Церковь Его смутили все современное русское учащееся юношество, поколебали веру в недоучках и переучках, подкопали своею ложью и дерзким вольнодумством все основы веры и нравственности, произвели безнравственность, анархию, неповиновение детей родителям, учащихся и подчиненных начальству, подданных верховной власти, незаконные, безумные забастовки, сделали правильную гражданскую жизнь невозможною при настоящих условиях и попустительстве власти.	285:294	0:680
юношество	NOUN	1918-1990	2	юношество-6		А Метаморфозы Овидия Назона, в обработке для детей и юношества, под редакцией Авенариуса!	53:62	0:89
юношество	NOUN	1918-1990	2	юношество-7		По этому поводу он говорил сотрудникам газет: "Ругают меня за первую часть "Ямы", называют порнографом, губителем юношества и, главное, автором грязных пасквилей на мужчин.	114:123	0:172
юношество	NOUN	1918-1990	2	юношество-8		А нам, как в далеком и беззаботном солдатском юношестве, остаются два варианта: когда кто-то из нас в казарме перед отбоем, уже приготовившись к залпу и предварительно очистив душу, восклицал: "Зуб!", обычно следовало благосклонное разрешение: "Дергай!"; но если звучало: "Воздух!", мы весело и хором откликались: "Ложись!"	46:55	0:323
юношество	NOUN	1918-1990	2	юношество-9		Советская книга для юношества воспитала не одно поколение замечательных борцов за дело коммунизма.	20:29	0:98
юношество	NOUN	1918-1990	2	юношество-10		В чем же эта единственность, которую отмечают в своих отзывах писатели, в чем своеобычность Грина, одного из любимых авторов юношества не только в нашей стране, но и за ее рубежами Гриновские произведения переводятся на иностранные языки, их читают во многих странах.	125:134	0:267
юношество	NOUN	1918-1990	2	юношество-11		Сын армян, которых османское палачество бросило далеко ни север, Акоп прожил свое детство и, пожалуй, юношество в Харькове.	102:111	0:123
юношество	NOUN	1682-1916	1	юношество-12		Вводилась мерами принуждения, и средствами слишком часто морально унижающими, что в особенности чувствовалось при той "всеконечной скудости", т. е. прямой нищете, которые преобладали в школах и в начале следующего века, -- духовное юношество, говорил уже о своем времени Филарет Московский, "более терпением и неутомимостью, нежели обилием пособий приготовлялось к служению Церкви, в самых обыкновенных степенях весьма важному".	232:241	0:428
юношество	NOUN	1918-1990	2	юношество-13		Университет московский, старинный юношества наставник, прислал ради сего сюда одного из своих профессоров.	34:43	0:106
юношество	NOUN	1918-1990	2	юношество-14		Внушили юношеству, что каждый может греметь на всю страну.	8:17	0:58
юношество	NOUN	1918-1990	2	юношество-15		Только при условии, что окончательно будет отброшена система муштры и казарменного духа, только при развитии допризывной подготовки и спорта, при воспитании юношества, мы сумеем создать действительно стройный и грозный военный коммунистический лагерь, стройный организм милиции.	157:166	0:278
юношество	NOUN	1682-1916	1	юношество-16		Во младенчестве чувствует он токмо голод и жажду, побуждающие к подкреплению жизни; в ребячестве начинает уже научаться волею или неволею перенимать от окружающих его; в юношестве, видя уже различные примеры подобных себе и по бесконечному врожденному желанию услаждения, восхищается всем окружающим его и стремится достигнуть и наслаждаться тем, что у других лестного для себя видит и к приобретению чего легкие и приятные воображает пути.	170:179	0:440
юношество	NOUN	1682-1916	1	юношество-17		"Так как таковые театральные представления в учебных заведениях не могут быть допущены без особого дозволения высшего начальства, -- доносил конференции в письменном рапорте Билевич, -- то, дабы мне, как члену конференции, на которой лежит ответственность смотрения за нравственным воспитанием обучающегося юношества, безвинно не ответствовать за мое о сем молчание перед высшим начальством, всепокорнейше оную прошу уволить меня по сему предмету от всякой ответственности".	307:316	0:474
