data	avg_judgment_no	kri_full	kri2_full	spr_mean_weighted	spr_mean	ham_mean_weighted	ham_mean	judgments_total	judgment_1.0	judgment_2.0	judgment_3.0	judgment_4.0	judgment_0.0
full	5	0.5041276719	0.5041276719	0.5050456053	0.5050479344	0.5748181256	0.5748184161	21075	4446	1739	3258	11610	22
агентство	5	0.2128021871	0.4064503174	0.2177401681	0.2177401681	0.535	0.535	300	23	22	55	200	0
археолог	5	0.1818164009	0.579420726	0.1769099171	0.1775559583	0.7331081081	0.7332067017	300	10	7	35	246	2
богадельня	5	0.2262672405	0.4171985331	0.2282732182	0.2282732182	0.515	0.515	300	20	27	62	191	0
больница	5	0.2170728177	0.7076036775	0.2468783223	0.2468783223	0.8183333333	0.8183333333	300	6	5	23	266	0
бюрократ	5	-0.0398216805	0.3452076527	-0.0392840455	-0.0392840455	0.5666666667	0.5666666667	300	9	19	48	224	0
весна	5	0.3728775109	0.5896818426	0.3778330002	0.3778330002	0.73	0.73	300	26	10	29	235	0
вино	5	0.8213687479	0.8985963384	0.8286277202	0.8286277202	0.9366666667	0.9366666667	300	35	2	9	254	0
влажный	5	0.0557021452	0.0758022401	0.0580222302	0.0580222302	0.3	0.3	300	72	38	64	126	0
войско	5	0.1177042687	0.6076242268	0.1347426814	0.1347426814	0.76	0.76	300	6	9	28	257	0
вывеска	5	0.3262070822	0.5090746079	0.337619473	0.337619473	0.6733333333	0.6733333333	300	32	15	26	227	0
графиня	5	-0.0006869052	0.838464746	0.0049562097	0.0049562097	0.915	0.915	300	2	1	10	287	0
декрет	5	0.2097473426	0.4083654231	0.2216695123	0.2216695123	0.5516666667	0.5516666667	300	23	19	59	199	0
директор	5	0.0713750493	0.4426341818	0.0782786538	0.0782786538	0.6316666667	0.6316666667	300	7	13	53	227	0
дождь	5	0.525368632	0.7436339945	0.5266125263	0.5268808376	0.8255033557	0.8256214689	300	15	15	21	248	1
дума	5	0.8949856336	0.8517132391	0.8978606172	0.8978606172	0.8433333333	0.8433333333	300	157	8	20	115	0
заведующий	5	0.1636286956	0.3896567874	0.1622724126	0.161763062	0.4060402685	0.4059322034	300	21	35	98	145	1
заключенный	5	0.7910814903	0.7064609357	0.8011426102	0.8014060921	0.8007518797	0.8007122507	135	61	2	9	62	1
защитник	5	0.286321614	0.3125566925	0.2897342433	0.2897342433	0.3583333333	0.3583333333	300	75	46	66	113	0
знатный	5	0.5204401044	0.5233554366	0.5246504067	0.5246504067	0.5166666667	0.5166666667	300	71	32	61	136	0
казенный	5	0.2048447347	0.3037619456	0.2024566752	0.2024566752	0.3666666667	0.3666666667	300	53	39	79	129	0
классный	5	0.3748645628	0.3135331445	0.3776971902	0.3776971902	0.4866666667	0.4866666667	300	93	24	54	129	0
клиника	5	0.4314403316	0.553921897	0.4260975663	0.4260975663	0.72	0.72	300	42	8	27	223	0
комиссар	5	0.2170634537	0.3431937004	0.2189958259	0.2189958259	0.4383333333	0.4383333333	300	34	34	62	170	0
мазь	5	0.5236011862	0.5356035777	0.5247213108	0.5247213108	0.6233333333	0.6233333333	300	59	19	41	181	0
мама	5	0.4018718981	0.6937042537	0.3942694824	0.3942694824	0.8033333333	0.8033333333	300	20	6	20	254	0
