агентство	0.07
богадельня	0.01
больница	0.21
весна	0.05
вино	0.09
вывеска	0.08
декрет	0.21
дождь	0.22
дума	0.08
заключенный	0.91
защитник	0.29
знатный	0.24
казенный	0.01
классный	0.26
клиника	0.07
комиссар	0.01
мазь	0.31
мама	0.19
машина	0.44
молодец	0.01
насаждение	0.67
отдел	0.61
отделение	0.09
отрывок	0.08
пакет	0.45
палата	0.63
передовой	0.13
пионер	0.13
правитель	0.22
привет	0.52
присутствие	0.12
пружина	0.41
свалка	0.75
сволочь	0.02
секция	0.44
собор	0.49
стиль	0.23
тетка	0.21
трибунал	0.57
тройка	1.9
трубка	0.04
уклон	0.48
управа	0.38
управление	0.11
участок	0.12
червяк	0.58
элемент	0.29
юношество	0.21
