identifier1	identifier2	annotator	judgment	comment	lemma
ателье-4-13	ателье-5-13	annotator1	4		ателье
ателье-26-13	ателье-27-13	annotator1	4		ателье
ателье-70-13	ателье-71-13	annotator1	4		ателье
ателье-28-13	ателье-29-13	annotator1	4		ателье
ателье-68-13	ателье-69-13	annotator1	2		ателье
ателье-30-13	ателье-31-13	annotator1	4		ателье
ателье-84-13	ателье-85-13	annotator1	4		ателье
ателье-88-13	ателье-89-13	annotator1	4		ателье
ателье-32-13	ателье-33-13	annotator1	4		ателье
ателье-90-13	ателье-91-13	annotator1	4		ателье
ателье-112-13	ателье-113-13	annotator1	3		ателье
ателье-82-13	ателье-83-13	annotator1	4		ателье
ателье-110-13	ателье-111-13	annotator1	1		ателье
ателье-80-13	ателье-81-13	annotator1	4		ателье
ателье-108-13	ателье-109-13	annotator1	4		ателье
ателье-106-13	ателье-107-13	annotator1	4		ателье
ателье-54-13	ателье-55-13	annotator1	4		ателье
ателье-118-13	ателье-119-13	annotator1	4		ателье
ателье-72-13	ателье-73-13	annotator1	3		ателье
ателье-78-13	ателье-79-13	annotator1	1		ателье
ателье-24-13	ателье-25-13	annotator1	3		ателье
ателье-74-13	ателье-75-13	annotator1	3		ателье
ателье-2-13	ателье-3-13	annotator1	3		ателье
ателье-6-13	ателье-7-13	annotator1	3		ателье
ателье-8-13	ателье-9-13	annotator1	4		ателье
ателье-10-13	ателье-11-13	annotator1	3		ателье
ателье-20-13	ателье-21-13	annotator1	1		ателье
ателье-22-13	ателье-23-13	annotator1	2		ателье
ателье-18-13	ателье-19-13	annotator1	4		ателье
ателье-36-13	ателье-37-13	annotator1	4		ателье
ателье-52-13	ателье-53-13	annotator1	4		ателье
ателье-16-13	ателье-17-13	annotator1	4		ателье
ателье-34-13	ателье-35-13	annotator1	4		ателье
ателье-14-13	ателье-15-13	annotator1	4		ателье
ателье-40-13	ателье-41-13	annotator1	4		ателье
ателье-12-13	ателье-13-13	annotator1	1		ателье
ателье-44-13	ателье-45-13	annotator1	3		ателье
ателье-42-13	ателье-43-13	annotator1	1		ателье
ателье-0-13	ателье-1-13	annotator1	3		ателье
ателье-76-13	ателье-77-13	annotator1	1		ателье
