lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
ателье	NOUN	1918-1990	1	ателье-0		"Ателье -- налево".	1:7	0:19
ателье	NOUN	1918-1990	1	ателье-1		(Написано в машине в ожидании Л. из ателье мод.)	36:42	0:48
ателье	NOUN	1991-2017	2	ателье-2		"Карат" привез в Россию "Куллинан" Бельгийская компания Carat Duchatelet, престижное тюнинговое ателье, представила в Москве, в салоне Larin's Trading, Mercedes S-Klasse W 220 в исполнении "Куллинан" -- так назывался один из крупнейших добытых в мире алмазов.	96:102	0:259
ателье	NOUN	1991-2017	2	ателье-3		Хотя Петр Петрович запретил Ираиде привозить вещи, одевал Олю сам, все шили в закрытом ателье, ему хотелось показать: он сам может одеть дочь не хуже.	87:93	0:150
ателье	NOUN	1918-1990	1	ателье-4		С жиру бесились, что ли Им бы помотаться по магазинам, по ателье, постоять бы в ГУМе в очереди за сапогами.	58:64	0:107
ателье	NOUN	1918-1990	1	ателье-5		Они и над универмагом так измывались, и над женским ателье, и над химчисткой, и столовую до того довели, что там на столики розы поставили и семгу вместо селедки подают!	52:58	0:169
ателье	NOUN	1991-2017	2	ателье-6		-- Посмотришь на нее, когда выходит из ателье: фу-ты ну-ты!	39:45	0:59
ателье	NOUN	1991-2017	2	ателье-7		Для Easy Tiger это два партнерских ателье, которые берут на себя часть заказов.	35:41	0:79
ателье	NOUN	1918-1990	1	ателье-8		...Я еду в трамвае из ателье индивидуального пошива.	22:28	0:52
ателье	NOUN	1991-2017	2	ателье-9		Вокруг Зиновая Ивановича скоро организовался кружок художников; они выпросили у совета командиров маленькую комнатку в мезонине и устроили ателье.	139:145	0:146
ателье	NOUN	1918-1990	1	ателье-10		АТЕЛЬЕ МОД, дом слета.	0:6	0:22
ателье	NOUN	1918-1990	1	ателье-11		В журчащий зимний вечер в ателье Буцая идет самая горячая работа, и стены мезонина дрожат от смеха художников и гостей-меценатов.	26:32	0:129
ателье	NOUN	1918-1990	1	ателье-12		Ателье имело привычное социалистическое название "Силуэт".	0:6	0:58
ателье	NOUN	1991-2017	2	ателье-13		Их ателье живописны и напоминают монмартрские ателье, может быть.	3:9	0:65
ателье	NOUN	1918-1990	1	ателье-14		Белла решила сшить себе платье из парижского рулона в ателье котельнического дома.	54:60	0:82
ателье	NOUN	1991-2017	2	ателье-15		Объявления Ателье художественного костюма принимает заказы на пошивку мужского и дамского платья (из материала заказчиков) от государственных музыкальных и зрелищных коллективов и от работников искусств.	11:17	0:203
ателье	NOUN	1918-1990	1	ателье-16		В 1869 году выпускник петербургской Академии художеств Андрей Осипович Карелин (1837-1906) открыл в Нижнем Новгороде ателье "Фотография и живопись".	117:123	0:148
ателье	NOUN	1991-2017	2	ателье-17		Еще до опубликования открытия он дал секретные инструкции австрийскому послу в Париже -- как можно раньше п подробнее выведать сущность открытия, а затем командировал к Дагерру профессора физики Венского университета фон-Этингсгаузена, который достал для Метерниха два дагерротипа, подробно отписанные в венских газетах того времени: Второй снимок показывает ателье г-на Дагерра.	359:365	0:379
ателье	NOUN	1918-1990	1	ателье-18		В другой раз подрабатывал прямо на соседней улице -- сварил козырек для ателье.	72:78	0:79
