identifier1	identifier2	annotator	judgment	comment	lemma
бескомпромиссность-0	бескомпромиссность-1	annotator1	4		бескомпромиссность
бескомпромиссность-0	бескомпромиссность-1	annotator2	4		бескомпромиссность
бескомпромиссность-0	бескомпромиссность-1	annotator3	4		бескомпромиссность
бескомпромиссность-0	бескомпромиссность-1	annotator4	2		бескомпромиссность
бескомпромиссность-0	бескомпромиссность-1	annotator5	4		бескомпромиссность
бескомпромиссность-2	бескомпромиссность-3	annotator1	4		бескомпромиссность
бескомпромиссность-2	бескомпромиссность-3	annotator2	4		бескомпромиссность
бескомпромиссность-2	бескомпромиссность-3	annotator3	4		бескомпромиссность
бескомпромиссность-2	бескомпромиссность-3	annotator4	4		бескомпромиссность
бескомпромиссность-2	бескомпромиссность-3	annotator5	4		бескомпромиссность
бескомпромиссность-4	бескомпромиссность-5	annotator1	4		бескомпромиссность
бескомпромиссность-4	бескомпромиссность-5	annotator2	4		бескомпромиссность
бескомпромиссность-4	бескомпромиссность-5	annotator3	4		бескомпромиссность
бескомпромиссность-4	бескомпромиссность-5	annotator4	4		бескомпромиссность
бескомпромиссность-4	бескомпромиссность-5	annotator5	4		бескомпромиссность
бескомпромиссность-6	бескомпромиссность-7	annotator1	3		бескомпромиссность
бескомпромиссность-6	бескомпромиссность-7	annotator2	4		бескомпромиссность
бескомпромиссность-6	бескомпромиссность-7	annotator3	4		бескомпромиссность
бескомпромиссность-6	бескомпромиссность-7	annotator4	4		бескомпромиссность
бескомпромиссность-6	бескомпромиссность-7	annotator5	4		бескомпромиссность
бескомпромиссность-8	бескомпромиссность-9	annotator1	3		бескомпромиссность
бескомпромиссность-8	бескомпромиссность-9	annotator2	4		бескомпромиссность
бескомпромиссность-8	бескомпромиссность-9	annotator3	4		бескомпромиссность
бескомпромиссность-8	бескомпромиссность-9	annotator4	4		бескомпромиссность
бескомпромиссность-8	бескомпромиссность-9	annotator5	3		бескомпромиссность
бескомпромиссность-10	бескомпромиссность-11	annotator1	4		бескомпромиссность
бескомпромиссность-10	бескомпромиссность-11	annotator2	4		бескомпромиссность
бескомпромиссность-10	бескомпромиссность-11	annotator3	4		бескомпромиссность
бескомпромиссность-10	бескомпромиссность-11	annotator4	4		бескомпромиссность
бескомпромиссность-10	бескомпромиссность-11	annotator5	4		бескомпромиссность
бескомпромиссность-12	бескомпромиссность-13	annotator1	4		бескомпромиссность
бескомпромиссность-12	бескомпромиссность-13	annotator2	2		бескомпромиссность
бескомпромиссность-12	бескомпромиссность-13	annotator3	4		бескомпромиссность
бескомпромиссность-12	бескомпромиссность-13	annotator4	4		бескомпромиссность
