lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-0		Бескомпромиссность.	0:18	0:19
бескомпромиссность	NOUN	1991-2017	2	бескомпромиссность-1		Далее, он должен иметь свой негативный полюс, дабы "верность" могла переживаться как "непримиримость", "бескомпромиссность", "принципиальность".	104:122	0:144
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-2		Бескомпромиссность исследовательской этики стала логикой поведения редкостно одаренного юноши.	0:18	0:94
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-3		Твердолобая бескомпромиссность в перестройке политической системы, экономики и национальных отношений опасна реставрацией диктатуры.	12:30	0:132
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-4		бескомпромиссность.	0:18	0:19
бескомпромиссность	NOUN	1991-2017	2	бескомпромиссность-5		Если я отвечу: главное -- честность, либо же бескомпромиссность, либо могучая сила духа, это будет не весь ответ, а лишь пояснение части.	45:63	0:137
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-6		В любом случае, само существование таких групп, их честность, злость и бескомпромиссность заставляют надеяться, что для гитарного рока еще не все потеряно и рано или поздно всяким сопливым сплинам придется подвинуться.	71:89	0:218
бескомпромиссность	NOUN	1991-2017	2	бескомпромиссность-7		-- Хочу тебе напомнить, отец, упрямство и бескомпромиссность -- понятия разные.	42:60	0:79
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-8		В этом сказались высокие нравственные принципы американца, его бескомпромиссность, его высокая требовательность к себе: никто не мог ему сказать, что выводы, к которым он пришел, исследуя советскую жизнь, голословны, что они не опираются на доподлинное знание этой жизни.	63:81	0:271
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-9		Полемика с чрезвычайно распространившимся и у нас и на Западе представлением о русском национальном характере как о характере крайности и бескомпромиссности, "загадочном" и во всем доходящем до пределов возможного и невозможного (и, в сущности, недобром).	138:156	0:255
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-10		Вождю приходится руководить славными действиями по защита его жителей от агрессии Соединенных Штате, он готов умереть во имя свободы города, он успокаивает тех, кто тревожится за судьбу Джонстауна -- он готов бороться до конца, он полон решимости и бескомпромиссности, а враги, некие "они", "могущественное учреждение", рвутся к старикам и детям, чтобы над ними надругаться, засылают провокаторов; вот это уже не "они", а "какой-то человек", "какая-то группа", которые замышляют убить Джонса, заглушить его одинокий голос; здесь же мельком он говорит, что его хотят также запятнать и очернить.	249:267	0:593
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-11		Реакция Чехова на события этой войны, запечатленная в знаменитой книге К. С. Станиславского "Моя жизнь в искусстве" и в ныне публикуемой мемуарной заметке В. Л. Книппер-Нардова, по своей страстности и бескомпромиссности живо напоминает отношение передовой части русского общества середины прошлого века к Крымской войне, чреватой в случае победы упрочением реакционного порядка, а в случае поражения -- возможностью "сильных и благих потрясений", если воспользоваться пушкинскими словами.	201:219	0:488
бескомпромиссность	NOUN	1991-2017	2	бескомпромиссность-12		Все кичились своей бескомпромиссностью.	19:38	0:39
бескомпромиссность	NOUN	1991-2017	2	бескомпромиссность-13		И вот эта девица со всей бескомпромиссностью юного темперамента решила развенчать, как ей казалось, чрезмерно и несправедливо раздутую репутацию маэстро.	25:44	0:153
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-14		Его убежденность в своей правоте и бескомпромиссность не позволили ему согласиться с требованием такого могущественного в то время, но малокомпетентного в вопросах авиации Хрущева".	35:53	0:181
бескомпромиссность	NOUN	1991-2017	2	бескомпромиссность-15		Ну как прикажете понять сравнение Проскурина с Аввакумом Аввакум -- символ бескомпромиссности, за которую плачено собственной реальной, человеческой жизнью.	75:93	0:156
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-16		Здесь что-то от давно утраченного юношеского максимализма и бескомпромиссности.	60:78	0:79
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-17		Наиболее яркой такой фигурой является Гойя с его необузданным темпераментом, чувственным восприятием жизни и в то же время непоколебимой внутренней цельностью, бескомпромиссностью и духовной стойкостью.	160:179	0:202
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-18		И безжалостно расставляются акценты: бескомпромиссность -- такая желанная и недоступная внизу -- ее дарят нам горы.	37:55	0:115
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-19		А за убийство что полагается -- Смерть, -- со свойственной ей бескомпромиссностью заявила Катя.	62:81	0:95
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-20		И при этом поражает цельностью характера, бескомпромиссностью убеждений и поступков.	42:61	0:84
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-21		Современников потрясала бескомпромиссность, с которой этот человек признал для себя обязательными максимальные требования своей веры; они были пресыщены словами и жаждали дел, которые были бы по-своему столь же весомы, как героизм мучеников былых времен.	24:42	0:254
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-22		И те люди, которые встречали Иоанна Крестителя, встречались не только с его силой (я уже об этом говорил), с его прозрачностью, которая его делала только гласом Божиим, или с его смирением, -- они встречались с бескомпромиссностью в его лице, с человеком радикальной цельности.	211:230	0:277
бескомпромиссность	NOUN	1918-1990	1	бескомпромиссность-23		И ваша жадность к работе, и ваша бескомпромиссность.	33:51	0:52
бескомпромиссность	NOUN	1991-2017	2	бескомпромиссность-24		Из-за своей бескомпромиссности в этих вопросах стал крайне неудобным человеком для Кремля.	12:30	0:90
бескомпромиссность	NOUN	1991-2017	2	бескомпромиссность-25		Между тем, этот по-французски писавший поэт, критик и -- кто еще -- уже здесь начинаются сложности и темноты -- почему он, Двигубский, позволит себе просто повторить блеклое слово автор -- между тем, еще раз, этот писавший по-французски автор румынско-еврейского происхождения имеет самое непосредственное касательство к истории русской философии, поскольку его можно считать, и он сам считал себя, единственным учеником Льва Шестова, философа, как все здесь присутствующие прекрасно знают, слишком своеобразного, парадоксального и, если угодно, экзотического, чтобы иметь учеников, или, скажем иначе, философа, у которого если и мог бы какой-нибудь ученик, то вот только такой, не уступавший ему, на своей лад, в парадоксализме и своеобразии, в отчаянной безоглядности и беспощадной бескомпромиссности, граничащей, пожалуй, с чудачеством и, в высоком смысле слова, юродством.	784:802	0:876
бескомпромиссность	NOUN	1991-2017	2	бескомпромиссность-26		Иначе говоря, глава государства вновь подтвердил: бескомпромиссность остается главным инструментом "чеченского урегулирования".	50:68	0:127
бескомпромиссность	NOUN	1991-2017	2	бескомпромиссность-27		Это исключительно интересное свидетельство одного из Вагнеров о жизни членов вагнеровского клана, их повседневных днях, связанных с Байройтом, их нацистской бескомпромиссности (как уже говорилось -- бабушка Винифред была душой всего этого), интриг, скандалов, сопутствующих их жизни и по сей день.	157:175	0:297
