identifier1	identifier2	annotator	judgment	comment	lemma
беспредел-0	беспредел-1	annotator1	3		беспредел
беспредел-0	беспредел-1	annotator2	3		беспредел
беспредел-0	беспредел-1	annotator3	4		беспредел
беспредел-0	беспредел-1	annotator4	1		беспредел
беспредел-0	беспредел-1	annotator5	2		беспредел
беспредел-2	беспредел-3	annotator1	4		беспредел
беспредел-2	беспредел-3	annotator2	4		беспредел
беспредел-2	беспредел-3	annotator3	4		беспредел
беспредел-2	беспредел-3	annotator4	3		беспредел
беспредел-2	беспредел-3	annotator5	4		беспредел
беспредел-4	беспредел-5	annotator1	4		беспредел
беспредел-4	беспредел-5	annotator2	3		беспредел
беспредел-4	беспредел-5	annotator3	4		беспредел
беспредел-4	беспредел-5	annotator4	4		беспредел
беспредел-4	беспредел-5	annotator5	3		беспредел
беспредел-6	беспредел-7	annotator1	3		беспредел
беспредел-6	беспредел-7	annotator2	3		беспредел
беспредел-6	беспредел-7	annotator3	1		беспредел
беспредел-6	беспредел-7	annotator4	4		беспредел
беспредел-6	беспредел-7	annotator5	4		беспредел
беспредел-8	беспредел-9	annotator1	4		беспредел
беспредел-8	беспредел-9	annotator2	4		беспредел
беспредел-8	беспредел-9	annotator3	3		беспредел
беспредел-8	беспредел-9	annotator4	4		беспредел
беспредел-8	беспредел-9	annotator5	4		беспредел
беспредел-10	беспредел-11	annotator1	4		беспредел
беспредел-10	беспредел-11	annotator2	4		беспредел
беспредел-10	беспредел-11	annotator3	3		беспредел
беспредел-10	беспредел-11	annotator4	1		беспредел
беспредел-10	беспредел-11	annotator5	4		беспредел
беспредел-12	беспредел-13	annotator1	4		беспредел
беспредел-12	беспредел-13	annotator2	4		беспредел
беспредел-12	беспредел-13	annotator3	3		беспредел
беспредел-12	беспредел-13	annotator4	1		беспредел
беспредел-12	беспредел-13	annotator5	3		беспредел
беспредел-14	беспредел-15	annotator1	4		беспредел
беспредел-14	беспредел-15	annotator2	4		беспредел
беспредел-14	беспредел-15	annotator3	3		беспредел
беспредел-14	беспредел-15	annotator4	3		беспредел
беспредел-14	беспредел-15	annotator5	4		беспредел
беспредел-16	беспредел-17	annotator1	3		беспредел
беспредел-16	беспредел-17	annotator2	1		беспредел
беспредел-16	беспредел-17	annotator3	4		беспредел
беспредел-16	беспредел-17	annotator4	1		беспредел
беспредел-16	беспредел-17	annotator5	3		беспредел
беспредел-18	беспредел-19	annotator1	4		беспредел
беспредел-18	беспредел-19	annotator2	3		беспредел
беспредел-18	беспредел-19	annotator3	3		беспредел
беспредел-18	беспредел-19	annotator4	4		беспредел
беспредел-18	беспредел-19	annotator5	4		беспредел
беспредел-20	беспредел-21	annotator1	2		беспредел
беспредел-20	беспредел-21	annotator2	4		беспредел
беспредел-20	беспредел-21	annotator3	3		беспредел
беспредел-20	беспредел-21	annotator4	3		беспредел
беспредел-20	беспредел-21	annotator5	4		беспредел
беспредел-22	беспредел-23	annotator1	4		беспредел
беспредел-22	беспредел-23	annotator2	4		беспредел
беспредел-22	беспредел-23	annotator3	3		беспредел
беспредел-22	беспредел-23	annotator4	4		беспредел
беспредел-22	беспредел-23	annotator5	4		беспредел
