lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
беспредел	NOUN	1991-2017	2	беспредел-0		Мне кажется, -- говорит депутат, -- что высшую точку информационного беспредела мы уже прошли, пора сбавить обороты.	69:79	0:116
беспредел	NOUN	1991-2017	2	беспредел-1		Война оборачивается гибелью мирных граждан и беспределом "человека с ружьем" независимо от того, носит он форму российского солдата или облачен в камуфляж чеченского боевика.	45:56	0:174
беспредел	NOUN	1991-2017	2	беспредел-2		Беспредел!	0:9	0:10
беспредел	NOUN	1991-2017	2	беспредел-3		В основе лежат процессы и механизмы, компенсирующие работнику правовой беспредел.	71:80	0:81
беспредел	NOUN	1918-1990	1	беспредел-4		Был полный произвол и беспредел.	22:31	0:32
беспредел	NOUN	1991-2017	2	беспредел-5		(Кстати, только наши практики решили вместо слова "произвол" пользоваться словом "беспредел", которого нет ни в одном словаре русского языка.)	82:91	0:142
беспредел	NOUN	1918-1990	1	беспредел-6		Дорожный беспредел -- Я, к сожалению, пополнил список тех, кто лишился своего авто.	9:18	0:83
беспредел	NOUN	1991-2017	2	беспредел-7		Вы смотрели фильм "Беспредел" О жизни зэков в колонии.	19:28	0:54
беспредел	NOUN	1918-1990	1	беспредел-8		Кстати, тему "беспредела спецслужб" Березовский осваивал и в ноябре 1998-го.	14:24	0:76
беспредел	NOUN	1991-2017	2	беспредел-9		Куда пропало слово "произвол", когда к нему подселили "беспредел", который оказался, если быть справедливым, словом сочным, густым и ярким А в том дело, что "раскрутили" слово, как смазливую и безголосую певичку или как бездарного политика-кликуху.	55:64	0:248
беспредел	NOUN	1918-1990	1	беспредел-10		Меня мало волнует тотальное использование таких родных драгоценностей, как "беспредел" или "однозначно" (которых, кстати, нет ни в одном российском словаре).	76:85	0:157
беспредел	NOUN	1918-1990	1	беспредел-11		Не могу представить себе, чтобы такие политические деятели, как Евгений Примаков, Олег Сысуев, Григорий Явлинский, Егор Гайдар, Сергей Кириенко, Владимир Рыжков, Геннадий Селезнев или Егор Строев (кстати, по мнению авторитетных русистов, все они говорят весьма грамотно), вдруг нежданно прорезались бы с публично произнесенным "беспределом" и "однозначно", или согрешили каким-то другим сленговым словечком, которое, как вирус, вселилось бы в их словарный запас, моя позиция не дрогнет.	12:13	0:486
беспредел	NOUN	1991-2017	2	беспредел-12		Она не сумела поставить заслон разрушительным идейным тенденциям и нравственному беспределу.	81:91	0:92
беспредел	NOUN	1991-2017	2	беспредел-13		И беспредел мусоров и отступников от воровской идеи.	2:11	0:52
беспредел	NOUN	1991-2017	2	беспредел-14		По состоянию здоровья ему стало трудно сдерживать беспредел демократии, как я называю время конца восьмидесятых.	50:59	0:112
беспредел	NOUN	1991-2017	2	беспредел-15		Дмитрий Гололобов расценил действия правоохранительных органов как "продолжение беспредела" в отношении компании.	80:90	0:113
беспредел	NOUN	1918-1990	1	беспредел-16		Примеров прорва: "беспредел", "однозначно" -- ни у Даля, ни у Ожегова, и ни в одном из современных словарей этих слов не найти, но уже все их употребляют: и дети, и политические деятели, и литераторы, и даже дикторы телевидения.	18:27	0:228
беспредел	NOUN	1918-1990	1	беспредел-17		Особенно славен был жестоким произволом и беспределом Крым, где покрыл себя недоброй славой известный в советской спелеологической среде Геннадий Пантюхин.	42:53	0:155
беспредел	NOUN	1918-1990	1	беспредел-18		Скоро беспредел примет цивилизованные, культурные формы.	6:15	0:56
беспредел	NOUN	1918-1990	1	беспредел-19		Беспредел.	0:9	0:10
беспредел	NOUN	1918-1990	1	беспредел-20		Там обязательно будет рассказано об умопомрачении сходящего на нет в определенный момент жизни периода, в котором есть место эмоциональному беспределу.	140:150	0:151
беспредел	NOUN	1918-1990	1	беспредел-21		Теперь, когда начался то ли беспредел, то ли вольница, то ли демократия, коллективные оценки содеянного в театре стали происходить реже, чем в вышеописанное время.	28:37	0:163
беспредел	NOUN	1918-1990	1	беспредел-22		Твердая и несмущаемая воля, направленная на решение реальной проблемы (Чечня, прекращение олигархического беспредела), -- это внятный ответ: "Не запугаете".	106:116	0:156
беспредел	NOUN	1991-2017	2	беспредел-23		Если с ними дружить, то кругом -- беспредел, а ты живешь в правовом государстве.	34:43	0:80
