identifier1	identifier2	annotator	judgment	comment	lemma
благотворительность-2-13	благотворительность-3-13	annotator1	1		благотворительность
благотворительность-96-13	благотворительность-97-13	annotator1	4		благотворительность
благотворительность-20-13	благотворительность-21-13	annotator1	4		благотворительность
благотворительность-90-13	благотворительность-91-13	annotator1	4		благотворительность
благотворительность-104-13	благотворительность-105-13	annotator1	2		благотворительность
благотворительность-68-13	благотворительность-69-13	annotator1	4		благотворительность
благотворительность-0-13	благотворительность-1-13	annotator1	4		благотворительность
благотворительность-30-13	благотворительность-31-13	annotator1	4		благотворительность
благотворительность-60-13	благотворительность-61-13	annotator1	3		благотворительность
благотворительность-114-13	благотворительность-115-13	annotator1	2		благотворительность
благотворительность-74-13	благотворительность-75-13	annotator1	4		благотворительность
благотворительность-80-13	благотворительность-81-13	annotator1	4		благотворительность
благотворительность-56-13	благотворительность-57-13	annotator1	4		благотворительность
благотворительность-116-13	благотворительность-117-13	annotator1	4		благотворительность
благотворительность-88-13	благотворительность-89-13	annotator1	4		благотворительность
благотворительность-78-13	благотворительность-79-13	annotator1	4		благотворительность
благотворительность-32-13	благотворительность-33-13	annotator1	4		благотворительность
благотворительность-52-13	благотворительность-53-13	annotator1	4		благотворительность
благотворительность-118-13	благотворительность-119-13	annotator1	4		благотворительность
благотворительность-112-13	благотворительность-113-13	annotator1	4		благотворительность
благотворительность-76-13	благотворительность-77-13	annotator1	4		благотворительность
благотворительность-34-13	благотворительность-35-13	annotator1	4		благотворительность
благотворительность-84-13	благотворительность-85-13	annotator1	4		благотворительность
благотворительность-48-13	благотворительность-49-13	annotator1	2		благотворительность
благотворительность-106-13	благотворительность-107-13	annotator1	4		благотворительность
благотворительность-82-13	благотворительность-83-13	annotator1	4		благотворительность
благотворительность-36-13	благотворительность-37-13	annotator1	1		благотворительность
благотворительность-108-13	благотворительность-109-13	annotator1	2		благотворительность
благотворительность-110-13	благотворительность-111-13	annotator1	2		благотворительность
благотворительность-50-13	благотворительность-51-13	annotator1	4		благотворительность
благотворительность-44-13	благотворительность-45-13	annotator1	3		благотворительность
благотворительность-66-13	благотворительность-67-13	annotator1	3		благотворительность
благотворительность-86-13	благотворительность-87-13	annotator1	4		благотворительность
благотворительность-38-13	благотворительность-39-13	annotator1	4		благотворительность
благотворительность-62-13	благотворительность-63-13	annotator1	4		благотворительность
благотворительность-100-13	благотворительность-101-13	annotator1	4		благотворительность
благотворительность-72-13	благотворительность-73-13	annotator1	4		благотворительность
благотворительность-8-13	благотворительность-9-13	annotator1	4		благотворительность
благотворительность-40-13	благотворительность-41-13	annotator1	4		благотворительность
благотворительность-14-13	благотворительность-15-13	annotator1	4		благотворительность
благотворительность-102-13	благотворительность-103-13	annotator1	3		благотворительность
благотворительность-24-13	благотворительность-25-13	annotator1	1		благотворительность
благотворительность-22-13	благотворительность-23-13	annotator1	4		благотворительность
благотворительность-58-13	благотворительность-59-13	annotator1	3		благотворительность
благотворительность-26-13	благотворительность-27-13	annotator1	4		благотворительность
благотворительность-6-13	благотворительность-7-13	annotator1	3		благотворительность
благотворительность-98-13	благотворительность-99-13	annotator1	4		благотворительность
благотворительность-12-13	благотворительность-13-13	annotator1	3		благотворительность
благотворительность-28-13	благотворительность-29-13	annotator1	0		благотворительность
благотворительность-64-13	благотворительность-65-13	annotator1	4		благотворительность
благотворительность-70-13	благотворительность-71-13	annotator1	4		благотворительность
благотворительность-42-13	благотворительность-43-13	annotator1	4		благотворительность
благотворительность-54-13	благотворительность-55-13	annotator1	4		благотворительность
благотворительность-92-13	благотворительность-93-13	annotator1	4		благотворительность
благотворительность-16-13	благотворительность-17-13	annotator1	4		благотворительность
благотворительность-46-13	благотворительность-47-13	annotator1	3		благотворительность
благотворительность-10-13	благотворительность-11-13	annotator1	3		благотворительность
благотворительность-18-13	благотворительность-19-13	annotator1	4		благотворительность
благотворительность-94-13	благотворительность-95-13	annotator1	3		благотворительность
благотворительность-4-13	благотворительность-5-13	annotator1	4		благотворительность
благотворительность-60-13	благотворительность-61-13	annotator2	2		благотворительность
благотворительность-46-13	благотворительность-47-13	annotator2	1		благотворительность
благотворительность-64-13	благотворительность-65-13	annotator2	4		благотворительность
благотворительность-52-13	благотворительность-53-13	annotator2	4		благотворительность
благотворительность-74-13	благотворительность-75-13	annotator2	4		благотворительность
благотворительность-58-13	благотворительность-59-13	annotator2	4		благотворительность
благотворительность-84-13	благотворительность-85-13	annotator2	4		благотворительность
благотворительность-2-13	благотворительность-3-13	annotator2	4		благотворительность
благотворительность-50-13	благотворительность-51-13	annotator2	4		благотворительность
благотворительность-88-13	благотворительность-89-13	annotator2	4		благотворительность
благотворительность-4-13	благотворительность-5-13	annotator2	4		благотворительность
благотворительность-6-13	благотворительность-7-13	annotator2	4		благотворительность
благотворительность-14-13	благотворительность-15-13	annotator2	3		благотворительность
благотворительность-24-13	благотворительность-25-13	annotator2	3		благотворительность
благотворительность-12-13	благотворительность-13-13	annotator2	4		благотворительность
благотворительность-26-13	благотворительность-27-13	annotator2	4		благотворительность
благотворительность-28-13	благотворительность-29-13	annotator2	3		благотворительность
благотворительность-10-13	благотворительность-11-13	annotator2	3		благотворительность
благотворительность-22-13	благотворительность-23-13	annotator2	4		благотворительность
благотворительность-16-13	благотворительность-17-13	annotator2	4		благотворительность
благотворительность-18-13	благотворительность-19-13	annotator2	4		благотворительность
благотворительность-8-13	благотворительность-9-13	annotator2	4		благотворительность
благотворительность-20-13	благотворительность-21-13	annotator2	4		благотворительность
благотворительность-80-13	благотворительность-81-13	annotator2	4		благотворительность
благотворительность-78-13	благотворительность-79-13	annotator2	1		благотворительность
благотворительность-76-13	благотворительность-77-13	annotator2	4		благотворительность
благотворительность-48-13	благотворительность-49-13	annotator2	4		благотворительность
благотворительность-118-13	благотворительность-119-13	annotator2	4		благотворительность
благотворительность-82-13	благотворительность-83-13	annotator2	4		благотворительность
благотворительность-86-13	благотворительность-87-13	annotator2	4		благотворительность
благотворительность-66-13	благотворительность-67-13	annotator2	4		благотворительность
благотворительность-62-13	благотворительность-63-13	annotator2	4		благотворительность
благотворительность-114-13	благотворительность-115-13	annotator2	4		благотворительность
благотворительность-92-13	благотворительность-93-13	annotator2	2		благотворительность
благотворительность-36-13	благотворительность-37-13	annotator2	4		благотворительность
благотворительность-106-13	благотворительность-107-13	annotator2	3		благотворительность
благотворительность-110-13	благотворительность-111-13	annotator2	4		благотворительность
благотворительность-90-13	благотворительность-91-13	annotator2	4		благотворительность
благотворительность-96-13	благотворительность-97-13	annotator2	3		благотворительность
благотворительность-104-13	благотворительность-105-13	annotator2	4		благотворительность
благотворительность-34-13	благотворительность-35-13	annotator2	4		благотворительность
благотворительность-94-13	благотворительность-95-13	annotator2	4		благотворительность
благотворительность-44-13	благотворительность-45-13	annotator2	4		благотворительность
благотворительность-32-13	благотворительность-33-13	annotator2	4		благотворительность
благотворительность-42-13	благотворительность-43-13	annotator2	4		благотворительность
благотворительность-68-13	благотворительность-69-13	annotator2	4		благотворительность
благотворительность-102-13	благотворительность-103-13	annotator2	4		благотворительность
благотворительность-38-13	благотворительность-39-13	annotator2	4		благотворительность
благотворительность-100-13	благотворительность-101-13	annotator2	4		благотворительность
благотворительность-56-13	благотворительность-57-13	annotator2	4		благотворительность
благотворительность-30-13	благотворительность-31-13	annotator2	3		благотворительность
благотворительность-0-13	благотворительность-1-13	annotator2	3		благотворительность
благотворительность-98-13	благотворительность-99-13	annotator2	4		благотворительность
благотворительность-40-13	благотворительность-41-13	annotator2	3		благотворительность
благотворительность-112-13	благотворительность-113-13	annotator2	2		благотворительность
благотворительность-72-13	благотворительность-73-13	annotator2	4		благотворительность
благотворительность-70-13	благотворительность-71-13	annotator2	4		благотворительность
благотворительность-54-13	благотворительность-55-13	annotator2	3		благотворительность
благотворительность-116-13	благотворительность-117-13	annotator2	4		благотворительность
благотворительность-108-13	благотворительность-109-13	annotator2	3		благотворительность
благотворительность-104-13	благотворительность-105-13	annotator3	4		благотворительность
благотворительность-8-13	благотворительность-9-13	annotator3	2		благотворительность
благотворительность-112-13	благотворительность-113-13	annotator3	3		благотворительность
благотворительность-42-13	благотворительность-43-13	annotator3	4		благотворительность
благотворительность-94-13	благотворительность-95-13	annotator3	4		благотворительность
благотворительность-92-13	благотворительность-93-13	annotator3	2		благотворительность
благотворительность-20-13	благотворительность-21-13	annotator3	4		благотворительность
благотворительность-28-13	благотворительность-29-13	annotator3	0		благотворительность
