lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
благотворительность	NOUN	1991-2017	2	благотворительность-0		"Потерянный ребенок" может с головой уйти в благотворительность -- спасать и помогать, хотя в глубине души ему хочется, чтобы "спасли" его.	44:63	0:139
благотворительность	NOUN	1991-2017	2	благотворительность-1		Все, что позволялось общественным организациям, -- это минимальная благотворительность, сбор народных пожертвований на нужды флота и моряков.	67:86	0:141
благотворительность	NOUN	1918-1990	1	благотворительность-2		"благотворительности" Занималась иною благотворительностью: благотворила профессорам, совершая периодические, обер-полицмейстерские объезды квартир, в результате которых роптали профессорши (мать моя -- плакала); профессорам же -- каждение: лучшие все Гогенштауфены!	38:58	0:266
благотворительность	NOUN	1918-1990	1	благотворительность-3		Они поддерживают порядок в храме, чинят облачения, ревностно занимаются благотворительностью.	72:92	0:93
благотворительность	NOUN	1918-1990	1	благотворительность-4		-- Ежели там расходы какие или, к примеру сказать, благотворительность, то мы с превеликим нашим удовольствием!	51:70	0:111
благотворительность	NOUN	1918-1990	1	благотворительность-5		-- И потом -- я не терплю благотворительности.	26:45	0:46
благотворительность	NOUN	1918-1990	1	благотворительность-6		-- И кого ты злил -- Неважно, -- Табаки быстро сует наушник обратно в ухо и начинает перебирать провода: -- Важна благотворительность как таковая, а не ее объект.	114:133	0:162
благотворительность	NOUN	1991-2017	2	благотворительность-7		Они сознательно отказываются признавать законодательство о религиозных культах, запрещают детям по субботам посещать школу, считают обязательным взимание десятины, организацию благотворительности, занимаются изданием и распространением среди верующих нелегальной литературы, разжигающей вражду между верующими и неверующими, содержащей преломленный сквозь призму библейских пророчеств "анализ" исторических событий последнего времени и выводы о том, что приближается конец света.	176:195	0:479
благотворительность	NOUN	1991-2017	2	благотворительность-8		Благотворительность же является делом сугубо добровольным, частным и направлена на решение конкретных задач, определяемых исключительно спонсорами.	0:19	0:147
благотворительность	NOUN	1991-2017	2	благотворительность-9		- Благотворительность за счет нашего здоровья" "Проблемных ситуаций много.	2:21	0:74
благотворительность	NOUN	1918-1990	1	благотворительность-10		А самая "благотворительность" ее и "покровительство" несчастным русским -- это только мостик, по которому "княгиня" думает пройти в здешнее английское общество.	9:28	0:160
благотворительность	NOUN	1918-1990	1	благотворительность-11		Он попробовал было заняться благотворительностью, но это оказалось скучным и неинтересным.	28:48	0:90
благотворительность	NOUN	1918-1990	1	благотворительность-12		В библиотеках устраиваются балы шляп, а кто-то занимается благотворительностью и собирает вещи и деньги для бедных -- и это тоже при библиотеке.	58:78	0:144
благотворительность	NOUN	1991-2017	2	благотворительность-13		Худого в ней ничего не было, она, поскольку могла, занималась благотворительностью и произносила проповеди своего прадеда, видимо, недосказанные им при жизни.	62:82	0:158
благотворительность	NOUN	1918-1990	1	благотворительность-14		В газетах хоть изредка что-то бывало о боксе, бейсболе, в письмах -- никогда ничего: просьбы, обычно денежные, попытки установить родство, завести знакомство, связь, привлечь в какой-нибудь клуб или к липовой благотворительности, иногда просто чушь и блажь, вроде предложения сделать совместно талантливого и умного ребенка, бывали и непонятные угрозы и ничем не мотивированная брань, порой спрашивали советов, как стать писателем, о чем писать и сколько это приносит.	209:228	0:468
благотворительность	NOUN	1918-1990	1	благотворительность-15		Аксаков, -- души убивают, заменяясь усовершенствованием государственных форм, полицейским благоустройствием; совесть заменяется законом, внутренние побуждения -- регламентом, даже благотворительность превращается в механическое дело; на Западе вся забота о государственных формах".	180:199	0:281
благотворительность	NOUN	1918-1990	1	благотворительность-16		В связи с его немецкой фамилией и восточно-прусской трагедией по всей стране пошел слух, что "Ренненкампф -- изменник!" , женщины, увлекавшейся мистикой и благотворительностью и никакой политической роли не игравшей.	155:175	0:216
благотворительность	NOUN	1918-1990	1	благотворительность-17		Мы знаем, со слов С. П. Белецкого, что, "при каждой смене министра внутренних дел или председателя совета, поднимался вопрос о материальном обеспечении Распутина, какое исключало бы возможность проведения им дел, во многих случаях, сомнительного характера" [С. П. Белецкий "Григорий Распутин", стр. 63.]; знаем, что министр А. Н., Хвостов и тот же Белецкий выдавали Распутину ежемесячные субсидии, имевшие целью подкуп "старца" в их карьеристических целях; знаем, что целый ряд аферистов и просто ходатаев за себя и других делали изрядно-крупные подношения Распутину в виде подарков, пожертвований и т. п., предназначавшихся "старцем" отчасти на дела благотворительности (ради широкой популярности), отчасти же на перестройку и омеблирование дома в с.	651:670	0:751
благотворительность	NOUN	1918-1990	1	благотворительность-18		В течение архипастырского своего служения, занимаясь внимательно и плодотворно епархиальными делами, уделяя время широкой благотворительности, преосвященный оставался сокровенным от мира подвижником и теплым молитвенником.	122:141	0:222
благотворительность	NOUN	1918-1990	1	благотворительность-19		Иногда может показаться, что несправедливый строй обязывает отдельного человека к порядочности, к частной благотворительности, благородству, личной ответственности за неустройство мира.	106:125	0:185
благотворительность	NOUN	1918-1990	1	благотворительность-20		Василий Дмитриевич был в своем роде феномен: в продолжение всей жизни не имел близких отношений к женщинам, не пил, не курил, посвящал свое время только работе в своем и общественных делах; он не отказывал никому из просящих у него; его доходы шли в значительной степени на благотворительность.	274:293	0:294
благотворительность	NOUN	1918-1990	1	благотворительность-21		При отсутствии прирожденного и пожизненного места в иерархии, в тесном и развороченном быту, обнаженном от условных целей и фикций (сравним: клубы, благотворительность, синекуры, аффектация почета -- все, что старый мир на социальных верхах предлагал обеспеченной старости), притязания стариков кажутся незаконными.	148:167	0:315
благотворительность	NOUN	1918-1990	1	благотворительность-22		Все эти деньги она тратила на благотворительность.	30:49	0:50
благотворительность	NOUN	1918-1990	1	благотворительность-23		В чем же вы видите опасность Я понимаю, что можно было бы опасаться распространения масонства, если бы это было тайным политическим сообществом, а ведь это общество существует только для благотворительности и для развлечений; там много едят, пьют, рассуждают, поют, а король говорит, что люди, которые пьют и поют, не могут быть заговорщиками.	187:206	0:343
благотворительность	NOUN	1918-1990	1	благотворительность-24		Вы, видимо, хотите их свалить на шею благотворительности.	37:56	0:57
благотворительность	NOUN	1918-1990	1	благотворительность-25		Иона Овсеич терпеливо ждал, когда кончится эта благотворительность, но неожиданно нагрянула милиция с проверкой паспортного режима, и счастье, что успели предупредить Ефима, он незаметно вышел за ворота, а то дело не ограничилось бы одними словами.	47:66	0:248
благотворительность	NOUN	1918-1990	1	благотворительность-26		Гедонист на службе обществу Дмитрий Зимин: самым знаменитым инакомыслящим был Иисус Христос Основатель "ВымпелКома", пионер отечественной мобильной телефонии, построивший свой бизнес с нуля, ученый, мультимиллионер и меценат, первый, кто пожертвовал все свое состояние на благотворительность, Дмитрий Зимин знает, как все делать вовремя.	272:291	0:337
благотворительность	NOUN	1991-2017	2	благотворительность-27		Им-то Россия и строилась больше всего: из него исходила (в отличие от католичества и протестантства) Православная вера; на нем покоилось в России верное правосознание и военная доблесть; им было проникнуто все русское искусство; им вдохновлялась ее медицина, ее благотворительность, ее чувство справедливости, ее многонародное братство.	262:281	0:336
благотворительность	NOUN	1918-1990	1	благотворительность-28		Главнейшие средства, которые употребляет франк-масонский союз для достижения своей высокой цели, и в которых он поэтому видит путь, ведущий к развитию истинной гуманности -- это работа над самим собой, благотворительность, сближение людей.	202:221	0:239
благотворительность	NOUN	1918-1990	1	благотворительность-29		Благотворительность.	0:19	0:20
благотворительность	NOUN	1918-1990	1	благотворительность-30		Далее шла самая разнообразная благотворительность, ложившаяся наличные средства государя.	30:49	0:89
благотворительность	NOUN	1918-1990	1	благотворительность-31		Так наивно, по-скотски божественно прожив жизнь над бездной, ни разу не почувствовав головокружения, вдруг в один прекрасный вечер сорвется, постарев, в такое мертвое отчаяние, что всех пропойц перепьет, или так никогда и не узнает своего отчаяния, не посмеет его понять и застынет, оплывет жиром среди карт, книг, благотворительности, собачьей, свинячей, конурной жизни.	315:334	0:371
благотворительность	NOUN	1991-2017	2	благотворительность-32		Для целей благотворительности, да и вообще.	10:29	0:43
благотворительность	NOUN	1991-2017	2	благотворительность-33		Церковная и общественная благотворительность вошла тогда среди купечества Астрахани в традицию, стала неписаной нормой русского предпринимательства в крае.	25:44	0:155
благотворительность	NOUN	1918-1990	1	благотворительность-34		Жена нового посла Германии в России тоже будет заниматься благотворительностью, но уже известно, что она интересуется не медициной, а искусством.	58:78	0:145
